State,District,Year,Season,Crop,Area,Production,Yield,AvgTemperature,MaxTemperature,MinTemperature,TotalRainfall,AvgRainfall,MaxRainfall,AvgHumidity,AvgWindSpeed,RainyDays,TemperatureStd,RainfallStd
Tamil Nadu,ARIYALUR,2009,Whole Year,Arhar/Tur,160.0,122.0,0.7625,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68
Tamil Nadu,ARIYALUR,2009,Whole Year,Bajra,644.0,1082.0,1.6801242236024845,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68
Tamil Nadu,ARIYALUR,2009,Whole Year,Banana,134.0,5761.0,42.992537313432834,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68
Tamil Nadu,ARIYALUR,2009,Whole Year,Cashewnut,31188.0,9975.0,0.3198345517506733,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68
Tamil Nadu,ARIYALUR,2009,Whole Year,Coriander,338.0,134.0,0.3964497041420118,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68
Tamil Nadu,ARIYALUR,2009,Whole Year,Cotton(lint),4074.0,11033.0,2.7081492390770743,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68
Tamil Nadu,ARIYALUR,2009,Whole Year,Dry chillies,1676.0,608.0,0.3627684964200477,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68
Tamil Nadu,ARIYALUR,2009,Whole Year,Groundnut,13878.0,27002.0,1.9456694048133736,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68
Tamil Nadu,ARIYALUR,2009,Whole Year,Jowar,4959.0,7043.0,1.420246017342206,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68
Tamil Nadu,ARIYALUR,2009,Whole Year,Maize,9979.0,23891.0,2.394127668103016,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68
