Climate_District,Agriculture_District
Ariyalur,Ariyalur
Chengalpattu,Kanchipuram
Chennai,Chennai
Coimbatore,Coimbatore
Cuddalore,Cuddalore
Dharmapuri,Dharmapuri
Dindigul,Dindigul
Erode,Erode
Kallakurichi,Villupuram
Kanchipuram,Kancheepuram
Kanyakumari,Kanyakumari
Karur,Karur
Krishnagiri,Krishnagiri
Madurai,Madurai
Mayiladuthurai,Nagapattinam
Nagapattinam,Nagapattinam
Namakkal,Namakkal
Nilgiris,The Nilgiris
Perambalur,Perambalur
Pudukkottai,Pudukkottai
Ramanathapuram,Ramanathapuram
Ranipet,Vellore
Salem,Salem
Sivagangai,Sivaganga
Tenkasi,Tirunelveli
Thanjavur,Thanjavur
Theni,Theni
Thoothukudi,Tuticorin
Tiruchirappalli,Tiruchirappalli
Tirunelveli,Tirunelveli
Tirupathur,Vellore
Tiruppur,Tiruppur
Tiruvallur,Thiruvallur
Tiruvannamalai,Tiruvannamalai
Tiruvarur,Thiruvarur
Vellore,Vellore
Viluppuram,Villupuram
Virudhunagar,Virudhunagar
