Date,Temperature,Rainfall,Humidity,WindSpeed
2005-01-01,23.99,0.0,77.75,2.69
2005-01-02,24.25,0.15,79.9,2.73
2005-01-03,24.31,0.08,78.55,2.81
2005-01-04,24.46,0.09,79.03,3.53
2005-01-05,24.17,0.02,76.87,3.43
2005-01-06,24.25,0.1,75.58,3.71
2005-01-07,24.9,0.07,75.82,3.93
2005-01-08,24.38,0.0,76.51,3.6
2005-01-09,23.82,0.0,76.82,3.4
2005-01-10,23.45,0.0,74.48,2.23
2005-01-11,23.39,0.0,72.01,1.37
2005-01-12,23.92,0.0,75.59,2.1
2005-01-13,24.1,0.0,77.1,3.1
2005-01-14,24.17,0.07,76.46,3.36
2005-01-15,23.73,0.0,72.27,3.12
2005-01-16,24.33,0.05,72.13,2.75
2005-01-17,24.88,0.12,73.26,2.53
2005-01-18,25.44,0.01,76.48,2.46
2005-01-19,25.65,0.0,79.98,3.01
2005-01-20,25.49,0.01,78.86,4.01
2005-01-21,25.94,0.7,77.18,4.38
2005-01-22,25.84,0.42,76.68,3.9
2005-01-23,25.77,0.07,77.37,3.02
2005-01-24,25.82,0.01,79.37,2.44
2005-01-25,25.78,0.0,78.74,2.43
2005-01-26,25.62,0.0,77.56,2.36
2005-01-27,25.32,0.0,79.26,2.62
2005-01-28,25.29,0.03,77.56,2.35
2005-01-29,25.48,0.01,75.06,2.93
2005-01-30,25.93,0.11,73.36,3.12
2005-01-31,26.14,0.44,75.06,3.43
2005-02-01,25.68,2.42,80.33,3.13
2005-02-02,25.87,0.92,79.09,3.7
2005-02-03,26.05,3.25,77.69,4.0
2005-02-04,25.94,0.62,75.3,3.7
2005-02-05,25.77,0.03,71.15,2.95
2005-02-06,25.4,0.0,69.63,3.13
2005-02-07,24.87,0.0,72.53,3.15
2005-02-08,25.19,0.0,74.31,3.7
2005-02-09,25.84,0.0,71.0,4.11
2005-02-10,26.01,0.0,72.06,3.87
2005-02-11,25.77,0.0,74.46,3.47
2005-02-12,25.44,0.0,70.99,3.35
2005-02-13,25.38,0.0,67.03,2.45
2005-02-14,25.51,0.0,59.08,1.63
2005-02-15,26.13,0.0,64.3,2.18
2005-02-16,26.56,0.0,71.45,3.43
2005-02-17,26.48,0.0,73.59,3.43
2005-02-18,26.41,0.0,73.45,3.29
2005-02-19,26.13,0.0,75.75,2.59
2005-02-20,25.83,0.0,75.86,2.79
2005-02-21,26.01,0.0,75.41,2.77
2005-02-22,26.99,0.12,74.46,3.11
2005-02-23,27.66,0.05,73.76,2.93
2005-02-24,27.74,0.0,70.67,2.92
2005-02-25,27.46,0.0,65.89,2.57
2005-02-26,27.74,0.0,61.25,2.22
2005-02-27,27.19,0.0,61.2,2.42
2005-02-28,27.32,0.0,65.01,2.46
2005-03-01,27.24,0.0,71.0,2.98
2005-03-02,27.25,0.0,70.42,2.67
2005-03-03,27.18,0.0,72.83,2.88
2005-03-04,27.47,0.0,74.6,3.06
2005-03-05,28.18,0.4,74.12,3.23
2005-03-06,27.85,0.05,72.28,3.0
2005-03-07,28.02,0.04,73.03,3.12
2005-03-08,27.98,0.49,69.96,2.9
2005-03-09,27.89,0.8,75.5,2.78
2005-03-10,28.26,0.19,70.7,2.29
2005-03-11,28.1,0.66,72.7,2.49
2005-03-12,28.91,0.22,71.11,3.45
2005-03-13,28.54,0.74,73.28,3.3
2005-03-14,28.48,0.13,65.89,2.76
2005-03-15,28.34,0.0,64.36,2.78
2005-03-16,28.35,0.0,61.94,2.66
2005-03-17,27.73,0.0,66.37,3.14
2005-03-18,27.75,0.0,62.53,2.54
2005-03-19,28.16,0.0,64.85,2.43
2005-03-20,29.05,0.0,65.53,2.59
2005-03-21,28.96,0.0,67.65,2.61
2005-03-22,28.89,0.0,68.43,3.27
2005-03-23,29.34,0.0,68.57,4.42
2005-03-24,30.27,0.73,68.92,4.7
2005-03-25,30.17,0.3,70.37,4.13
2005-03-26,30.56,0.04,67.27,3.54
2005-03-27,29.9,0.3,69.73,3.28
2005-03-28,30.01,0.0,65.77,3.48
2005-03-29,30.55,0.0,64.43,3.93
2005-03-30,30.64,0.02,69.75,3.9
2005-03-31,30.49,0.38,68.95,4.08
2005-04-01,30.24,0.05,68.41,3.47
2005-04-02,30.1,2.45,70.72,3.26
2005-04-03,28.38,24.73,80.74,3.04
2005-04-04,27.58,38.57,84.24,4.35
2005-04-05,26.86,55.67,89.83,3.63
2005-04-06,26.19,21.61,90.03,2.19
2005-04-07,27.02,5.94,87.37,1.61
2005-04-08,27.5,2.34,84.4,2.96
2005-04-09,27.96,1.64,83.11,2.94
2005-04-10,28.16,0.67,85.12,3.25
2005-04-11,27.95,0.51,87.38,2.59
2005-04-12,27.86,0.18,88.83,2.61
2005-04-13,28.19,0.03,83.81,2.44
2005-04-14,27.97,0.02,81.75,2.3
2005-04-15,28.48,0.01,78.22,2.53
2005-04-16,28.68,0.02,77.09,2.66
2005-04-17,28.53,0.02,74.25,2.67
2005-04-18,28.62,0.27,78.18,3.11
2005-04-19,28.95,1.02,77.22,2.82
2005-04-20,28.45,1.88,79.9,2.41
2005-04-21,28.6,0.2,73.9,2.32
2005-04-22,28.72,0.13,74.43,2.49
2005-04-23,29.13,0.28,76.19,3.34
2005-04-24,29.39,0.16,74.75,3.08
2005-04-25,29.54,0.19,75.18,2.48
2005-04-26,29.53,0.65,75.23,2.39
2005-04-27,30.08,0.06,72.96,2.63
2005-04-28,30.71,0.26,73.9,2.81
2005-04-29,31.14,0.39,72.84,3.28
2005-04-30,30.62,0.71,74.56,3.87
2005-05-01,29.95,15.59,77.98,3.55
2005-05-02,29.28,10.06,80.75,2.9
2005-05-03,29.67,7.01,77.2,3.2
2005-05-04,28.8,17.1,82.01,2.9
2005-05-05,29.04,3.28,77.57,2.29
2005-05-06,30.13,1.22,75.64,2.7
2005-05-07,30.54,0.34,74.36,3.13
2005-05-08,30.41,0.23,76.02,3.06
2005-05-09,30.45,0.44,71.45,3.52
2005-05-10,31.04,0.11,69.05,4.03
2005-05-11,31.06,0.3,72.35,3.44
2005-05-12,30.59,0.03,75.83,3.82
2005-05-13,31.01,0.03,73.57,4.57
2005-05-14,30.89,0.02,73.4,5.15
2005-05-15,31.59,0.05,67.72,4.96
2005-05-16,30.94,0.01,69.33,4.35
2005-05-17,31.06,0.0,67.96,4.03
2005-05-18,30.79,0.01,70.83,4.07
2005-05-19,30.23,0.0,71.74,3.93
2005-05-20,30.3,0.02,74.27,4.11
2005-05-21,30.66,0.11,73.09,4.04
2005-05-22,30.71,0.21,75.67,3.32
2005-05-23,30.4,0.31,78.03,3.55
2005-05-24,31.09,0.21,72.82,4.69
2005-05-25,30.36,0.19,77.3,3.61
2005-05-26,30.56,0.88,76.36,3.29
2005-05-27,29.97,1.44,76.12,2.65
2005-05-28,29.81,0.68,74.49,3.24
2005-05-29,30.59,0.9,70.19,2.73
2005-05-30,29.87,0.55,73.63,3.22
2005-05-31,30.09,1.27,75.42,3.59
2005-06-01,31.31,0.29,68.92,3.9
2005-06-02,31.42,0.42,69.3,3.64
2005-06-03,30.56,0.44,72.67,3.45
2005-06-04,30.69,0.36,76.13,3.37
2005-06-05,30.46,0.57,74.21,4.21
2005-06-06,30.16,0.34,73.54,4.63
2005-06-07,30.29,0.53,72.91,4.06
2005-06-08,31.28,1.37,69.76,4.06
2005-06-09,28.54,1.48,79.75,4.27
2005-06-10,28.58,0.58,73.38,4.97
2005-06-11,30.73,0.24,65.2,4.89
2005-06-12,31.5,0.1,64.28,3.57
2005-06-13,31.83,0.14,63.89,3.99
2005-06-14,30.92,0.14,66.66,2.76
2005-06-15,31.06,0.08,66.05,3.23
2005-06-16,31.14,0.04,63.48,3.37
2005-06-17,32.26,0.03,58.54,4.5
2005-06-18,31.92,0.01,57.83,4.85
2005-06-19,31.56,0.05,58.75,4.09
2005-06-20,30.04,1.31,67.11,4.6
2005-06-21,29.55,1.4,65.45,4.32
2005-06-22,30.34,1.3,62.34,3.82
2005-06-23,30.14,0.29,60.57,4.05
2005-06-24,30.07,1.69,64.16,3.28
2005-06-25,30.94,0.82,63.7,3.41
2005-06-26,30.87,0.28,61.91,3.33
2005-06-27,30.93,0.18,60.15,3.91
2005-06-28,31.0,0.07,59.21,3.96
2005-06-29,31.41,0.01,57.49,4.06
2005-06-30,31.16,0.08,60.33,3.4
2005-07-01,31.15,0.3,61.61,3.66
2005-07-02,30.87,0.56,62.7,3.64
2005-07-03,30.98,0.17,62.79,4.42
2005-07-04,31.48,0.39,60.22,4.67
2005-07-05,31.19,0.97,59.97,5.1
2005-07-06,31.16,0.26,57.75,4.48
2005-07-07,31.14,0.45,59.13,3.72
2005-07-08,31.19,0.47,59.68,2.91
2005-07-09,31.74,0.83,55.05,5.15
2005-07-10,30.88,2.24,57.24,3.58
2005-07-11,30.32,0.27,62.21,3.42
2005-07-12,30.73,0.23,63.1,3.22
2005-07-13,30.17,0.57,70.35,2.62
2005-07-14,29.32,1.96,72.31,2.01
2005-07-15,28.39,1.28,77.95,2.18
2005-07-16,28.38,1.36,77.49,2.2
2005-07-17,28.95,0.59,74.85,2.56
2005-07-18,30.22,0.12,70.25,2.43
2005-07-19,30.47,0.39,70.08,2.83
2005-07-20,30.23,11.15,71.36,2.57
2005-07-21,30.04,3.98,71.32,3.03
2005-07-22,29.73,5.55,68.96,3.97
2005-07-23,28.93,18.86,72.5,4.67
2005-07-24,28.91,3.03,71.46,5.67
2005-07-25,29.98,1.37,66.44,5.79
2005-07-26,30.08,0.43,63.71,6.24
2005-07-27,30.23,0.7,64.36,5.42
2005-07-28,30.44,1.56,63.01,5.22
2005-07-29,30.14,0.52,62.59,5.97
2005-07-30,30.28,0.27,62.61,5.64
2005-07-31,30.59,0.14,62.61,5.38
2005-08-01,30.21,0.07,64.0,5.53
2005-08-02,29.7,0.03,64.4,5.09
2005-08-03,30.32,0.01,59.7,4.19
2005-08-04,30.3,0.33,60.64,3.19
2005-08-05,30.13,0.49,62.06,4.42
2005-08-06,31.35,0.03,57.42,3.94
2005-08-07,31.58,0.06,57.59,3.54
