Date,Temperature,Rainfall,Humidity,WindSpeed
2005-01-01,24.99,0.22,78.27,3.38
2005-01-02,25.34,0.42,77.36,3.54
2005-01-03,25.4,0.41,76.82,3.52
2005-01-04,25.61,0.17,78.11,4.47
2005-01-05,25.44,0.14,76.15,4.54
2005-01-06,25.4,0.74,74.36,4.67
2005-01-07,25.85,1.33,76.25,5.11
2005-01-08,25.64,0.17,74.72,4.75
2005-01-09,25.14,0.22,75.76,4.73
2005-01-10,24.55,0.0,76.5,3.38
2005-01-11,24.36,0.0,73.34,2.21
2005-01-12,24.84,0.0,78.74,2.94
2005-01-13,25.03,0.0,76.91,4.08
2005-01-14,25.07,0.25,76.05,4.38
2005-01-15,24.87,0.94,71.18,4.13
2005-01-16,25.12,0.02,75.39,3.72
2005-01-17,25.53,0.25,76.06,3.25
2005-01-18,25.91,0.14,80.17,3.15
2005-01-19,26.19,0.04,82.17,3.95
2005-01-20,26.15,0.55,81.7,5.16
2005-01-21,26.52,1.57,79.75,5.64
2005-01-22,26.27,0.75,79.26,4.96
2005-01-23,26.05,0.13,79.16,3.85
2005-01-24,26.17,0.13,80.32,3.32
2005-01-25,25.98,0.01,80.89,3.22
2005-01-26,25.7,0.0,81.43,3.27
2005-01-27,25.63,0.0,79.65,3.3
2005-01-28,26.08,0.11,74.58,2.88
2005-01-29,25.97,0.12,75.69,3.42
2005-01-30,26.4,0.47,73.22,3.45
2005-01-31,26.42,0.66,76.6,3.73
2005-02-01,26.23,1.09,80.48,3.72
2005-02-02,26.12,0.61,79.77,4.18
2005-02-03,26.32,2.35,78.89,4.52
2005-02-04,26.33,0.73,77.52,4.42
2005-02-05,26.08,0.03,73.88,3.67
2005-02-06,25.79,0.0,73.07,4.01
2005-02-07,25.53,0.0,73.18,3.94
2005-02-08,25.81,0.0,75.46,4.58
2005-02-09,26.33,0.03,74.11,5.21
2005-02-10,26.81,0.0,71.94,5.14
2005-02-11,26.58,0.0,73.69,4.75
2005-02-12,26.26,0.0,70.01,4.83
2005-02-13,26.02,0.0,71.91,3.78
2005-02-14,26.01,0.0,67.71,2.52
2005-02-15,26.78,0.0,66.48,2.13
2005-02-16,26.76,0.0,73.51,3.45
2005-02-17,26.75,0.0,75.65,3.48
2005-02-18,26.5,0.0,76.84,3.11
2005-02-19,26.49,0.0,77.0,2.73
2005-02-20,26.37,0.0,76.05,3.26
2005-02-21,26.73,0.01,75.6,3.33
2005-02-22,27.28,0.38,76.23,3.49
2005-02-23,27.63,0.17,78.04,3.46
2005-02-24,27.59,0.01,77.3,3.62
2005-02-25,27.42,0.0,71.01,3.18
2005-02-26,27.39,0.0,69.46,2.71
2005-02-27,27.23,0.0,65.77,3.14
2005-02-28,27.15,0.0,70.45,3.13
2005-03-01,27.13,0.0,74.64,3.68
2005-03-02,27.17,0.0,74.17,3.31
2005-03-03,27.08,0.0,77.09,3.42
2005-03-04,27.55,0.02,76.88,3.34
2005-03-05,28.01,3.25,78.24,3.64
2005-03-06,27.8,0.62,76.88,3.5
2005-03-07,28.02,0.37,76.16,3.54
2005-03-08,28.16,0.73,73.98,3.32
2005-03-09,27.9,1.14,77.48,3.16
2005-03-10,28.01,0.67,74.86,2.46
2005-03-11,28.25,0.5,74.96,2.84
2005-03-12,28.65,0.43,74.89,3.6
2005-03-13,28.43,3.87,76.95,3.56
2005-03-14,28.02,0.35,74.49,3.01
2005-03-15,27.78,0.0,70.84,3.14
2005-03-16,27.81,0.0,69.17,3.13
2005-03-17,27.39,0.0,71.91,3.67
2005-03-18,27.45,0.03,71.16,2.71
2005-03-19,27.85,0.07,73.61,3.11
2005-03-20,28.43,0.06,72.77,2.91
2005-03-21,28.56,0.01,73.4,2.84
2005-03-22,28.51,0.0,73.13,3.21
2005-03-23,28.93,0.0,73.27,4.21
2005-03-24,29.67,0.5,74.3,4.59
2005-03-25,29.74,0.66,74.98,4.18
2005-03-26,29.92,0.34,73.67,3.6
2005-03-27,29.58,0.97,74.47,3.43
2005-03-28,29.5,0.0,70.28,3.4
2005-03-29,29.76,0.01,71.3,3.84
2005-03-30,30.04,0.03,75.54,3.89
2005-03-31,29.91,2.72,74.73,4.19
2005-04-01,29.68,0.1,74.34,3.49
2005-04-02,29.63,1.71,75.59,3.64
2005-04-03,28.13,18.41,83.55,4.48
2005-04-04,27.9,40.15,87.89,6.59
2005-04-05,27.55,21.64,88.82,4.13
2005-04-06,27.12,11.1,86.13,2.33
2005-04-07,27.67,7.13,85.78,3.54
2005-04-08,27.66,4.97,82.57,4.14
2005-04-09,28.46,4.62,81.97,3.71
2005-04-10,28.57,2.58,84.38,3.5
2005-04-11,28.41,1.84,86.63,3.36
2005-04-12,28.37,0.62,86.91,3.18
2005-04-13,28.79,0.24,80.93,2.9
2005-04-14,28.73,0.12,78.82,2.48
2005-04-15,29.18,0.05,75.78,2.64
2005-04-16,29.27,0.15,75.8,2.8
2005-04-17,29.4,0.19,73.19,2.94
2005-04-18,29.39,1.14,78.07,3.3
2005-04-19,29.53,2.64,77.59,3.01
2005-04-20,28.87,6.14,78.9,2.71
2005-04-21,29.0,0.61,72.07,2.71
2005-04-22,28.8,0.25,76.05,2.25
2005-04-23,29.27,1.27,77.36,3.22
2005-04-24,29.74,0.4,75.08,3.26
2005-04-25,29.94,0.44,74.67,2.66
2005-04-26,30.1,0.23,72.61,2.58
2005-04-27,30.44,0.41,72.84,2.93
2005-04-28,30.7,0.77,75.17,3.09
2005-04-29,30.96,1.88,74.71,3.56
2005-04-30,30.59,3.45,76.1,4.04
2005-05-01,30.25,7.98,77.03,3.53
2005-05-02,29.53,7.04,80.75,3.08
2005-05-03,29.87,4.1,78.29,3.47
2005-05-04,29.16,13.6,81.51,3.39
2005-05-05,29.34,2.56,77.64,2.75
2005-05-06,29.96,1.89,77.35,3.41
2005-05-07,30.64,1.09,74.0,3.88
2005-05-08,30.96,0.62,73.7,3.85
2005-05-09,31.28,1.87,72.5,4.27
2005-05-10,30.98,0.58,70.98,4.81
2005-05-11,30.73,0.74,74.3,4.76
2005-05-12,30.46,0.26,78.04,4.79
2005-05-13,30.7,0.21,75.64,5.24
2005-05-14,30.51,0.16,77.39,5.51
2005-05-15,30.45,0.2,77.34,5.82
2005-05-16,30.35,0.02,74.27,5.17
2005-05-17,30.66,0.0,72.66,4.96
2005-05-18,30.59,0.02,72.69,4.69
2005-05-19,30.27,0.03,74.12,4.18
2005-05-20,30.45,0.1,75.88,4.4
2005-05-21,30.71,0.28,74.79,4.5
2005-05-22,30.52,0.62,77.79,4.14
2005-05-23,30.46,0.46,78.57,4.14
2005-05-24,30.55,0.53,77.54,4.8
2005-05-25,30.32,0.82,79.84,4.11
2005-05-26,30.39,3.54,78.78,3.68
2005-05-27,30.08,3.88,77.32,2.95
