Date,Temperature,Rainfall,Humidity,WindSpeed
2005-01-01,23.26,0.06,81.07,1.5
2005-01-02,22.8,0.11,82.36,1.74
2005-01-03,23.51,0.09,82.68,1.7
2005-01-04,23.09,0.0,77.82,1.87
2005-01-05,22.5,0.0,79.91,2.04
2005-01-06,21.65,0.0,78.12,2.0
2005-01-07,22.36,0.0,79.12,2.44
2005-01-08,22.77,0.0,78.21,2.12
2005-01-09,21.78,0.0,79.5,2.08
2005-01-10,22.02,0.0,73.03,1.53
2005-01-11,22.23,0.0,69.03,1.42
2005-01-12,22.09,0.0,70.07,1.56
2005-01-13,22.48,0.0,72.6,1.9
2005-01-14,22.4,0.0,74.85,2.23
2005-01-15,22.15,0.0,73.44,1.88
2005-01-16,22.59,0.0,75.12,1.54
2005-01-17,23.71,0.01,74.89,1.37
2005-01-18,24.7,0.17,75.97,1.43
2005-01-19,25.37,0.02,75.69,1.57
2005-01-20,25.02,0.15,73.98,2.42
2005-01-21,24.63,0.95,77.22,2.94
2005-01-22,24.93,0.87,78.41,2.64
2005-01-23,25.45,0.08,72.9,2.1
2005-01-24,25.36,0.01,75.23,1.81
2005-01-25,25.38,0.0,71.4,1.95
2005-01-26,25.49,0.0,70.47,1.83
2005-01-27,25.22,0.58,72.02,1.7
2005-01-28,24.26,0.2,75.39,1.34
2005-01-29,24.79,3.16,72.5,1.59
2005-01-30,25.01,2.1,75.62,1.69
2005-01-31,25.76,2.16,77.46,2.03
2005-02-01,25.32,0.59,81.14,1.86
2005-02-02,26.2,0.22,73.27,2.06
2005-02-03,25.88,0.69,72.56,2.2
2005-02-04,26.08,0.06,70.84,2.24
2005-02-05,26.25,0.01,67.98,1.9
2005-02-06,25.6,0.0,64.4,1.94
2005-02-07,24.29,0.0,66.45,1.86
2005-02-08,24.8,0.0,68.41,2.4
2005-02-09,24.64,0.0,68.15,2.85
2005-02-10,24.94,0.0,67.18,2.91
2005-02-11,24.7,0.0,66.24,2.45
2005-02-12,24.27,0.0,64.71,2.55
2005-02-13,23.93,0.0,61.96,2.08
2005-02-14,24.28,0.0,59.88,1.71
2005-02-15,25.6,0.0,52.8,1.25
2005-02-16,26.64,0.0,48.41,1.49
2005-02-17,26.67,0.0,53.17,1.69
2005-02-18,26.88,0.0,52.05,1.88
2005-02-19,26.03,0.0,56.8,1.79
2005-02-20,25.54,0.0,64.76,1.6
2005-02-21,26.15,0.01,67.72,1.46
2005-02-22,27.26,1.79,69.41,1.83
2005-02-23,28.11,0.28,66.29,1.92
2005-02-24,28.24,0.0,64.08,1.97
2005-02-25,27.35,0.0,58.95,1.78
2005-02-26,26.73,0.0,55.41,1.85
2005-02-27,26.51,0.0,55.13,1.68
2005-02-28,26.29,0.0,52.71,1.81
2005-03-01,27.06,0.0,59.36,2.08
2005-03-02,27.62,0.0,58.25,1.73
2005-03-03,28.27,0.0,58.03,1.96
2005-03-04,29.03,0.02,57.73,1.89
2005-03-05,29.35,1.48,62.09,2.19
2005-03-06,28.61,0.27,62.43,2.02
2005-03-07,28.55,0.01,62.38,2.34
2005-03-08,27.62,0.0,64.46,2.01
2005-03-09,27.97,0.0,63.72,1.89
2005-03-10,27.8,1.66,64.5,1.15
2005-03-11,28.37,0.93,62.57,1.66
2005-03-12,29.68,0.19,57.35,1.85
2005-03-13,29.21,7.31,63.48,1.53
2005-03-14,27.99,5.62,70.94,1.99
2005-03-15,27.99,0.0,61.3,1.75
2005-03-16,27.75,0.0,57.84,1.86
2005-03-17,27.38,0.0,57.86,2.36
2005-03-18,27.58,0.18,56.66,1.58
2005-03-19,28.8,0.7,57.66,1.71
2005-03-20,29.6,0.0,55.16,1.32
2005-03-21,30.42,0.0,52.6,1.81
2005-03-22,30.96,0.0,48.33,1.54
2005-03-23,31.78,0.0,47.87,1.32
2005-03-24,32.29,0.24,49.38,1.48
2005-03-25,32.37,0.04,46.6,1.23
2005-03-26,32.11,0.0,44.14,1.56
2005-03-27,32.57,0.02,44.34,1.92
2005-03-28,32.79,0.0,42.49,2.41
2005-03-29,33.35,0.0,43.33,1.49
2005-03-30,33.03,1.24,46.57,2.04
2005-03-31,31.77,0.05,49.52,1.71
2005-04-01,32.26,0.01,50.0,2.42
2005-04-02,31.58,1.0,56.31,2.86
2005-04-03,27.77,17.64,73.44,2.01
2005-04-04,25.11,18.14,88.03,3.59
2005-04-05,25.29,12.05,87.7,2.56
2005-04-06,26.27,20.59,83.64,1.6
2005-04-07,26.45,14.7,81.9,1.66
2005-04-08,26.82,0.4,78.03,1.5
2005-04-09,28.51,0.12,69.81,1.49
2005-04-10,28.69,0.34,70.4,0.99
2005-04-11,28.23,1.25,75.62,1.07
2005-04-12,27.76,0.53,78.09,1.07
2005-04-13,27.82,0.63,76.13,1.59
2005-04-14,28.86,0.02,68.9,1.65
2005-04-15,28.85,0.04,67.85,1.99
2005-04-16,29.52,0.79,62.66,1.67
2005-04-17,29.42,0.19,60.8,1.96
2005-04-18,28.99,0.2,63.02,1.75
2005-04-19,29.13,1.07,66.82,2.15
2005-04-20,26.98,7.72,78.85,2.05
2005-04-21,27.55,0.9,72.3,1.77
2005-04-22,27.92,0.07,70.86,1.71
2005-04-23,28.91,0.04,67.36,2.08
2005-04-24,29.33,0.03,67.06,1.43
2005-04-25,28.93,0.76,68.66,0.91
2005-04-26,29.69,0.25,64.36,1.23
2005-04-27,29.99,0.07,63.01,1.11
2005-04-28,31.03,0.0,61.25,1.1
2005-04-29,31.45,0.01,60.68,1.52
2005-04-30,29.69,21.23,72.34,1.09
2005-05-01,29.28,9.37,74.65,1.06
2005-05-02,28.19,2.83,78.04,1.2
2005-05-03,29.81,1.39,68.26,1.24
2005-05-04,28.76,4.59,72.73,0.68
2005-05-05,29.23,0.29,68.98,1.1
2005-05-06,29.99,1.2,64.18,1.89
2005-05-07,29.83,0.91,63.12,2.06
2005-05-08,28.82,0.0,66.1,2.18
2005-05-09,31.24,0.06,58.09,1.86
2005-05-10,30.26,0.0,57.7,3.08
2005-05-11,29.42,0.04,64.98,2.58
2005-05-12,30.38,0.47,64.85,2.07
2005-05-13,30.99,0.05,61.78,1.9
2005-05-14,30.45,0.64,63.22,1.74
2005-05-15,30.56,1.88,64.28,1.75
2005-05-16,29.49,0.05,63.85,1.56
2005-05-17,31.09,0.0,55.98,1.45
2005-05-18,31.95,0.0,55.86,1.89
2005-05-19,32.32,0.0,55.35,1.93
2005-05-20,32.07,0.0,57.32,1.88
2005-05-21,32.17,0.03,57.99,1.53
2005-05-22,32.22,0.07,56.95,1.72
2005-05-23,31.95,0.14,58.47,1.47
2005-05-24,31.36,0.01,59.25,1.09
2005-05-25,31.2,0.07,58.44,1.63
2005-05-26,30.73,17.28,62.05,1.91
2005-05-27,28.71,1.38,73.23,2.1
2005-05-28,27.74,2.69,71.13,2.34
2005-05-29,29.04,6.31,67.06,2.15
2005-05-30,29.34,0.04,66.59,1.78
2005-05-31,29.4,0.71,64.98,2.16
2005-06-01,29.52,0.06,66.46,2.24
2005-06-02,30.24,0.05,64.02,2.46
2005-06-03,29.44,0.03,68.52,1.75
2005-06-04,29.45,1.18,67.98,1.6
2005-06-05,29.07,2.09,70.35,1.6
2005-06-06,29.58,0.23,65.43,1.24
2005-06-07,29.48,0.44,66.51,1.73
2005-06-08,29.94,1.11,66.26,2.37
2005-06-09,27.69,3.14,70.82,3.51
2005-06-10,27.85,1.11,61.95,3.65
2005-06-11,28.99,0.36,66.3,3.32
2005-06-12,30.35,0.55,59.45,3.71
2005-06-13,29.85,1.09,60.83,3.36
2005-06-14,27.7,0.03,68.36,3.45
2005-06-15,29.55,0.57,60.47,3.02
2005-06-16,29.33,3.42,66.5,3.57
2005-06-17,28.5,0.74,67.56,4.37
2005-06-18,28.06,0.3,64.25,4.68
2005-06-19,28.49,1.78,66.64,3.89
2005-06-20,27.92,3.84,69.13,4.11
2005-06-21,27.79,0.49,68.84,4.26
2005-06-22,28.0,0.28,64.16,4.73
2005-06-23,28.63,0.01,62.34,4.14
2005-06-24,29.45,0.32,61.2,4.59
2005-06-25,29.28,1.25,64.54,3.65
2005-06-26,28.9,0.43,65.16,3.91
2005-06-27,28.56,0.08,65.06,3.7
2005-06-28,28.39,0.18,64.22,3.88
2005-06-29,28.05,0.28,63.99,3.31
2005-06-30,28.89,1.31,63.75,3.07
2005-07-01,28.22,1.08,69.5,3.32
2005-07-02,28.57,0.59,65.23,3.29
2005-07-03,28.25,0.6,66.35,3.69
2005-07-04,28.0,1.58,68.34,3.41
2005-07-05,28.12,0.25,67.58,4.08
2005-07-06,27.77,0.14,64.85,4.91
2005-07-07,28.64,0.05,59.69,4.95
2005-07-08,29.27,0.25,62.91,4.27
2005-07-09,28.29,1.6,64.59,5.07
2005-07-10,27.31,1.32,66.7,3.93
2005-07-11,28.05,0.35,63.43,4.2
2005-07-12,28.47,0.01,65.2,3.55
2005-07-13,27.06,1.92,73.62,2.4
2005-07-14,27.51,15.85,71.9,2.6
2005-07-15,27.18,3.04,74.77,1.61
2005-07-16,27.44,0.67,74.01,1.36
2005-07-17,27.59,1.7,71.93,2.45
2005-07-18,28.62,0.22,67.32,2.5
2005-07-19,28.13,0.03,69.38,3.29
2005-07-20,27.89,0.47,70.05,3.48
2005-07-21,27.61,0.0,66.98,4.2
2005-07-22,27.73,0.58,66.42,3.99
2005-07-23,27.35,0.94,69.4,3.9
2005-07-24,27.71,0.42,65.69,5.08
2005-07-25,27.37,0.18,63.57,6.03
2005-07-26,28.18,1.34,62.53,6.22
2005-07-27,28.46,0.88,63.47,5.16
2005-07-28,28.0,1.51,65.83,4.42
2005-07-29,27.35,3.11,67.89,4.7
2005-07-30,27.68,2.02,65.46,5.57
2005-07-31,28.29,1.58,64.45,6.43
2005-08-01,27.76,2.0,65.67,6.23
2005-08-02,27.56,0.85,62.4,6.49
2005-08-03,28.03,0.09,57.91,4.98
2005-08-04,27.49,0.16,65.08,4.54
2005-08-05,28.35,0.12,61.54,5.12
2005-08-06,28.97,0.0,59.38,4.61
2005-08-07,29.25,0.0,59.1,4.3
2005-08-08,28.62,0.01,60.26,4.26
2005-08-09,28.46,0.18,63.06,3.86
2005-08-10,28.45,0.29,64.93,4.63
2005-08-11,28.29,0.72,66.05,4.73
2005-08-12,28.66,0.19,62.04,5.08
2005-08-13,28.9,0.05,61.65,4.57
2005-08-14,29.2,0.59,61.24,4.8
