Date,Temperature,Rainfall,Humidity,WindSpeed
2005-01-01,23.26,0.02,70.45,0.98
2005-01-02,23.08,0.03,72.13,1.18
2005-01-03,24.01,0.05,73.65,1.02
2005-01-04,23.87,0.0,66.25,1.39
2005-01-05,22.29,0.0,67.74,1.34
2005-01-06,21.45,0.0,69.23,1.43
2005-01-07,21.99,0.0,70.56,1.6
2005-01-08,22.38,0.0,69.54,1.41
2005-01-09,22.16,0.0,67.3,1.44
2005-01-10,21.79,0.0,63.14,1.02
2005-01-11,22.3,0.0,55.79,0.87
2005-01-12,22.63,0.0,52.05,1.0
2005-01-13,22.58,0.0,62.26,1.24
2005-01-14,22.12,0.0,66.65,1.51
2005-01-15,21.76,0.0,65.44,1.26
2005-01-16,21.78,0.0,66.22,0.99
2005-01-17,23.37,0.0,66.57,0.94
2005-01-18,24.83,0.0,64.38,0.84
2005-01-19,25.15,0.0,69.05,1.02
2005-01-20,24.92,0.0,64.37,1.38
2005-01-21,24.57,0.23,67.03,1.78
2005-01-22,24.78,0.16,70.41,1.52
2005-01-23,25.63,0.0,65.24,1.22
2005-01-24,25.78,0.0,63.33,1.2
2005-01-25,25.4,0.0,63.58,1.22
2005-01-26,25.2,0.0,63.21,1.06
2005-01-27,25.0,0.59,67.39,1.11
2005-01-28,23.43,0.11,71.55,0.93
2005-01-29,24.02,1.37,66.11,1.03
2005-01-30,24.35,1.44,71.43,0.99
2005-01-31,23.44,3.85,82.05,1.0
2005-02-01,23.18,1.65,84.53,1.13
2005-02-02,25.21,0.48,71.83,1.17
2005-02-03,25.69,0.61,68.66,1.54
2005-02-04,25.6,0.25,69.25,1.55
2005-02-05,26.08,0.0,64.12,1.36
2005-02-06,25.76,0.0,58.86,1.28
2005-02-07,24.39,0.0,54.49,1.3
2005-02-08,24.26,0.0,60.46,1.48
2005-02-09,24.13,0.0,58.14,1.88
2005-02-10,23.89,0.0,57.75,2.01
2005-02-11,24.16,0.0,52.81,1.78
2005-02-12,23.84,0.0,51.16,1.78
2005-02-13,24.02,0.0,41.48,1.7
2005-02-14,25.13,0.0,35.46,1.44
2005-02-15,26.39,0.0,34.16,1.17
2005-02-16,27.49,0.0,28.58,1.22
2005-02-17,27.95,0.0,32.51,1.27
2005-02-18,27.9,0.0,36.98,1.41
2005-02-19,26.83,0.0,37.49,1.32
2005-02-20,26.38,0.0,42.38,1.19
2005-02-21,26.26,0.0,49.05,1.3
2005-02-22,27.38,0.72,57.43,1.36
2005-02-23,27.89,0.14,57.55,1.22
2005-02-24,28.53,0.0,56.11,1.56
2005-02-25,27.82,0.0,45.26,1.42
2005-02-26,27.9,0.0,40.67,1.47
2005-02-27,26.96,0.0,36.24,1.35
2005-02-28,26.28,0.0,32.98,1.25
2005-03-01,27.45,0.0,43.86,1.45
2005-03-02,27.66,0.0,42.31,1.1
2005-03-03,27.93,0.0,46.84,1.22
2005-03-04,28.7,0.01,43.86,1.23
2005-03-05,29.44,0.49,53.08,1.55
2005-03-06,29.08,0.02,52.44,1.51
2005-03-07,28.97,0.0,47.71,1.53
2005-03-08,28.04,0.02,54.55,1.57
2005-03-09,27.64,0.0,57.06,1.11
2005-03-10,27.1,4.4,60.25,0.77
2005-03-11,26.52,2.59,62.73,0.69
2005-03-12,28.32,0.48,58.16,0.76
2005-03-13,28.13,11.2,62.81,0.8
2005-03-14,26.44,11.83,70.45,1.36
2005-03-15,27.27,0.04,60.82,1.1
2005-03-16,26.63,0.0,55.51,1.03
2005-03-17,26.4,0.0,50.17,1.47
2005-03-18,26.21,0.0,46.87,0.93
2005-03-19,27.15,0.02,49.17,0.99
2005-03-20,27.55,0.0,54.57,0.69
2005-03-21,28.7,0.0,47.1,0.9
2005-03-22,29.46,0.0,45.68,0.83
2005-03-23,30.4,0.0,49.35,1.17
2005-03-24,31.82,0.18,45.51,1.21
2005-03-25,32.04,0.12,37.75,1.22
2005-03-26,30.56,0.0,41.95,1.57
2005-03-27,30.99,0.0,45.14,1.36
2005-03-28,32.46,0.0,41.0,1.14
2005-03-29,32.64,0.0,43.43,1.53
2005-03-30,31.74,2.76,47.8,1.48
2005-03-31,30.35,0.06,52.38,1.27
2005-04-01,31.78,0.8,44.66,1.16
2005-04-02,31.29,0.12,49.29,1.81
2005-04-03,28.63,12.05,65.81,1.61
2005-04-04,25.29,7.2,80.28,1.36
2005-04-05,24.36,7.15,84.34,2.11
2005-04-06,25.7,17.43,80.73,1.1
2005-04-07,24.86,9.06,83.57,1.38
2005-04-08,27.65,0.16,67.93,1.23
2005-04-09,28.32,0.19,67.27,1.14
2005-04-10,28.62,1.94,67.82,0.76
2005-04-11,27.74,0.6,71.82,0.74
2005-04-12,27.94,0.18,68.69,0.96
2005-04-13,27.81,0.16,70.93,0.98
2005-04-14,28.68,0.08,64.47,0.95
2005-04-15,28.88,0.16,61.61,1.27
2005-04-16,29.43,0.01,55.38,1.0
2005-04-17,28.94,0.01,55.53,1.01
2005-04-18,28.66,0.04,58.23,0.86
2005-04-19,29.03,0.14,58.04,1.24
2005-04-20,26.92,2.36,73.07,1.09
2005-04-21,27.5,0.24,65.22,1.35
2005-04-22,27.4,0.0,67.96,0.75
2005-04-23,29.09,0.09,59.76,1.18
2005-04-24,28.62,0.01,64.78,0.73
2005-04-25,27.71,1.37,67.56,0.65
2005-04-26,28.09,6.18,67.92,0.83
2005-04-27,28.92,1.29,65.14,0.55
2005-04-28,30.91,0.01,56.42,0.88
2005-04-29,31.32,0.0,56.04,0.91
2005-04-30,29.24,8.2,66.72,1.15
2005-05-01,28.77,9.81,72.99,0.86
2005-05-02,27.89,1.74,75.19,0.83
2005-05-03,29.95,0.46,61.84,0.91
2005-05-04,27.61,6.22,71.15,1.05
2005-05-05,28.92,3.21,66.09,0.73
2005-05-06,29.52,2.97,63.79,1.37
2005-05-07,29.39,3.39,64.91,1.1
2005-05-08,28.44,0.0,64.68,1.0
2005-05-09,30.36,0.09,57.0,1.58
2005-05-10,29.48,0.05,60.81,2.07
2005-05-11,29.42,0.07,64.18,1.56
2005-05-12,30.67,1.39,60.16,1.43
2005-05-13,29.93,0.13,61.64,1.75
2005-05-14,31.04,0.15,56.27,1.53
2005-05-15,30.94,0.74,56.97,1.94
2005-05-16,30.37,0.04,56.55,1.76
2005-05-17,31.17,0.0,53.84,1.5
2005-05-18,32.38,0.0,49.88,1.67
2005-05-19,32.82,0.0,47.98,1.34
2005-05-20,32.7,0.0,47.61,1.13
2005-05-21,31.33,1.0,54.47,1.36
2005-05-22,32.21,1.36,54.04,1.45
2005-05-23,31.3,4.55,57.49,1.23
2005-05-24,30.91,0.31,58.45,1.58
2005-05-25,30.57,1.17,58.17,1.17
2005-05-26,29.78,23.41,66.08,1.35
2005-05-27,27.6,11.36,74.92,1.17
2005-05-28,27.67,2.3,68.09,1.56
2005-05-29,28.36,1.08,64.3,1.22
2005-05-30,28.55,0.22,64.82,1.61
2005-05-31,27.34,9.04,73.14,1.83
2005-06-01,28.27,1.33,70.85,1.91
2005-06-02,27.78,1.54,71.49,2.12
2005-06-03,28.42,0.12,69.0,1.14
2005-06-04,28.09,2.63,72.56,1.21
2005-06-05,28.31,1.55,71.5,1.35
2005-06-06,27.45,0.36,73.53,1.9
2005-06-07,28.17,0.05,68.67,1.97
2005-06-08,28.57,0.33,67.88,2.21
2005-06-09,25.93,1.03,78.18,2.86
2005-06-10,26.11,1.5,68.78,3.54
2005-06-11,27.8,0.09,66.57,2.35
2005-06-12,28.81,0.23,61.42,2.53
2005-06-13,28.01,0.3,66.59,2.66
2005-06-14,27.56,0.01,67.85,2.13
2005-06-15,28.56,0.06,63.53,2.19
2005-06-16,28.52,0.63,66.32,2.68
2005-06-17,27.85,0.3,67.96,3.37
2005-06-18,26.79,0.31,66.47,3.35
2005-06-19,27.59,0.43,66.01,3.3
2005-06-20,26.97,2.86,69.4,2.85
2005-06-21,26.99,0.52,69.04,2.87
2005-06-22,26.44,0.58,62.31,3.35
2005-06-23,27.33,0.03,61.42,2.89
2005-06-24,28.0,0.55,64.04,2.95
2005-06-25,28.1,0.27,65.22,2.7
2005-06-26,27.08,0.05,69.0,2.56
2005-06-27,26.67,0.07,70.5,2.47
2005-06-28,26.98,0.13,66.48,2.93
2005-06-29,27.58,0.12,64.51,2.93
2005-06-30,27.19,1.83,69.56,2.5
2005-07-01,26.61,1.33,72.46,2.35
2005-07-02,27.16,0.93,66.86,2.49
2005-07-03,27.07,0.21,69.45,2.7
2005-07-04,27.25,0.85,67.87,2.8
2005-07-05,27.05,0.38,68.58,3.11
2005-07-06,27.32,0.34,60.65,3.77
2005-07-07,27.95,0.08,60.98,3.43
2005-07-08,27.91,0.74,66.21,2.73
2005-07-09,27.19,0.16,65.54,3.28
2005-07-10,26.21,1.99,62.03,2.89
2005-07-11,26.83,0.56,61.6,2.87
2005-07-12,27.29,0.3,67.15,2.29
2005-07-13,26.23,3.42,74.25,1.12
2005-07-14,25.82,14.8,76.49,1.7
2005-07-15,25.95,7.17,79.3,1.07
2005-07-16,25.56,4.96,81.61,0.87
2005-07-17,26.42,1.56,75.9,1.94
2005-07-18,27.37,0.11,70.95,1.97
2005-07-19,27.12,0.21,73.64,2.01
2005-07-20,26.74,0.65,72.95,2.02
2005-07-21,26.42,0.03,71.68,2.38
2005-07-22,26.32,0.47,70.49,2.46
2005-07-23,25.74,6.11,74.89,2.29
2005-07-24,25.9,1.82,71.85,3.35
2005-07-25,26.19,1.27,67.41,4.23
2005-07-26,26.81,0.75,64.39,4.15
2005-07-27,27.07,0.43,65.75,3.85
2005-07-28,26.7,0.58,65.75,3.49
2005-07-29,25.88,0.63,66.23,3.68
2005-07-30,26.5,1.21,67.45,4.05
2005-07-31,27.22,1.03,65.48,4.47
2005-08-01,26.61,1.61,67.53,4.13
2005-08-02,26.46,0.7,64.98,4.42
2005-08-03,25.92,0.14,65.83,3.57
2005-08-04,26.16,0.23,67.69,3.27
2005-08-05,26.68,0.11,63.53,3.57
2005-08-06,27.55,0.04,60.67,3.22
2005-08-07,27.3,0.02,62.9,3.02
2005-08-08,26.93,0.08,64.81,2.9
2005-08-09,27.38,0.19,64.7,2.73
2005-08-10,26.92,5.07,68.05,2.89
2005-08-11,27.54,0.4,64.95,3.05
2005-08-12,27.87,0.31,62.27,3.3
2005-08-13,27.95,0.37,62.23,3.05
2005-08-14,27.95,0.49,62.52,3.25
2005-08-15,27.7,2.81,63.7,3.19
2005-08-16,26.14,0.59,63.78,3.33
2005-08-17,27.6,0.1,60.44,3.16
2005-08-18,27.26,0.01,59.84,2.86
2005-08-19,27.09,0.82,64.88,2.61
2005-08-20,28.02,0.0,59.98,2.58
2005-08-21,28.44,0.61,59.81,2.28
2005-08-22,28.2,0.84,62.56,1.66
2005-08-23,26.8,18.41,72.44,1.03
2005-08-24,26.42,2.5,72.75,1.37
2005-08-25,27.01,6.69,67.56,1.64
2005-08-26,26.58,4.45,71.35,1.22
2005-08-27,25.84,9.86,78.14,1.13
2005-08-28,27.59,5.09,73.87,0.72
2005-08-29,27.79,1.48,70.4,1.15
2005-08-30,29.11,0.1,64.03,1.4
2005-08-31,27.13,2.23,70.1,1.53
2005-09-01,27.2,4.5,72.68,1.2
2005-09-02,26.16,11.15,81.12,1.28
2005-09-03,25.85,9.33,83.08,1.17
2005-09-04,25.79,7.27,83.25,1.44
2005-09-05,25.69,0.67,78.06,2.14
2005-09-06,25.94,2.03,78.22,1.69
2005-09-07,24.96,4.39,79.96,1.8
2005-09-08,26.68,1.17,75.26,2.19
2005-09-09,26.86,0.37,71.52,2.66
2005-09-10,25.76,3.73,73.89,2.56
2005-09-11,25.25,1.73,74.95,2.42
2005-09-12,25.62,0.29,75.14,2.62
2005-09-13,26.1,0.33,72.11,2.85
2005-09-14,26.7,0.24,69.45,2.6
2005-09-15,25.63,7.26,73.35,1.75
2005-09-16,26.06,0.07,75.38,1.58
2005-09-17,27.28,0.06,67.17,1.83
2005-09-18,27.01,0.0,66.09,2.34
2005-09-19,26.2,0.16,65.89,3.03
2005-09-20,26.17,1.56,68.98,3.27
2005-09-21,27.26,0.25,67.68,2.7
2005-09-22,27.55,0.07,66.11,2.02
2005-09-23,27.47,0.0,64.07,1.95
2005-09-24,27.68,0.39,63.7,1.7
2005-09-25,27.62,0.89,64.79,1.65
2005-09-26,28.0,0.01,61.45,1.68
2005-09-27,27.84,0.02,64.23,1.47
2005-09-28,26.8,5.67,71.39,1.41
2005-09-29,26.52,3.5,72.32,1.34
2005-09-30,25.54,5.88,75.64,1.47
2005-10-01,26.05,0.71,70.98,1.13
2005-10-02,26.01,3.27,73.76,0.7
2005-10-03,26.39,5.61,73.73,0.97
2005-10-04,26.39,33.29,76.76,0.66
2005-10-05,26.12,8.75,78.97,0.79
2005-10-06,26.82,0.38,74.41,0.99
2005-10-07,26.75,5.9,78.68,0.68
2005-10-08,25.95,22.36,82.67,1.1
2005-10-09,25.3,11.08,83.88,0.71
2005-10-10,24.32,13.35,86.96,0.77
2005-10-11,24.75,16.86,83.29,0.75
2005-10-12,23.89,7.83,87.84,0.74
2005-10-13,24.05,12.61,89.5,0.91
2005-10-14,24.41,0.73,85.22,1.4
2005-10-15,25.19,1.73,81.81,1.04
2005-10-16,25.24,2.8,78.61,0.81
