Date,Temperature,Rainfall,Humidity,WindSpeed
2005-01-01,22.54,0.0,78.36,1.84
2005-01-02,22.59,0.0,79.66,1.95
2005-01-03,23.31,0.01,80.51,1.96
2005-01-04,22.83,0.0,76.53,2.41
2005-01-05,22.17,0.0,77.88,2.38
2005-01-06,21.61,0.0,77.13,2.5
2005-01-07,22.49,0.0,77.7,2.77
2005-01-08,22.39,0.0,77.71,2.48
2005-01-09,21.82,0.0,77.42,2.53
2005-01-10,21.75,0.0,71.82,1.71
2005-01-11,22.11,0.0,68.69,1.36
2005-01-12,22.22,0.0,71.42,1.72
2005-01-13,21.96,0.0,73.54,2.08
2005-01-14,21.94,0.0,76.06,2.41
2005-01-15,21.84,0.0,72.87,2.18
2005-01-16,22.25,0.0,75.03,1.96
2005-01-17,23.25,0.01,74.61,1.76
2005-01-18,24.57,0.02,74.82,1.77
2005-01-19,24.97,0.0,75.87,2.02
2005-01-20,24.47,0.02,74.2,2.91
2005-01-21,24.56,0.75,74.86,3.53
2005-01-22,24.54,0.33,76.47,2.92
2005-01-23,24.99,0.02,73.33,2.31
2005-01-24,25.06,0.0,73.94,2.01
2005-01-25,24.86,0.0,72.47,2.1
2005-01-26,24.97,0.0,72.46,2.04
2005-01-27,24.75,0.23,72.59,2.01
2005-01-28,23.7,0.15,76.33,1.37
2005-01-29,24.31,0.3,71.51,2.08
2005-01-30,24.7,0.61,72.36,2.09
2005-01-31,24.85,2.13,76.9,2.13
2005-02-01,23.9,1.79,84.13,2.01
2005-02-02,25.39,0.56,76.15,2.42
2005-02-03,25.09,1.93,76.39,2.6
2005-02-04,25.03,0.53,75.68,2.54
2005-02-05,25.39,0.0,69.81,2.16
2005-02-06,24.77,0.0,68.42,2.25
2005-02-07,23.71,0.0,68.29,2.37
2005-02-08,23.98,0.0,71.66,2.9
2005-02-09,23.99,0.0,69.63,3.19
2005-02-10,24.22,0.0,69.41,3.13
2005-02-11,24.16,0.0,68.44,2.78
2005-02-12,23.44,0.0,65.99,2.66
2005-02-13,23.45,0.0,61.95,2.32
2005-02-14,24.26,0.0,56.44,1.95
2005-02-15,25.63,0.0,50.7,1.51
2005-02-16,26.07,0.0,54.43,1.5
2005-02-17,26.25,0.0,56.16,1.71
2005-02-18,26.5,0.0,54.22,1.87
2005-02-19,25.76,0.0,59.57,1.9
2005-02-20,25.12,0.0,63.49,1.85
2005-02-21,25.39,0.0,67.4,1.68
2005-02-22,27.02,1.32,68.46,1.96
2005-02-23,27.78,0.14,65.99,2.29
2005-02-24,27.86,0.0,63.94,2.41
2005-02-25,26.71,0.0,59.9,2.09
2005-02-26,26.36,0.0,59.21,2.06
2005-02-27,26.23,0.0,53.99,2.17
2005-02-28,26.23,0.0,56.06,2.22
2005-03-01,26.94,0.0,61.39,2.56
2005-03-02,27.22,0.0,60.1,2.21
2005-03-03,27.69,0.0,59.58,2.35
2005-03-04,28.28,0.0,60.97,2.29
2005-03-05,28.66,0.13,63.44,2.57
2005-03-06,28.3,0.02,61.12,2.48
2005-03-07,28.29,0.0,62.59,2.51
2005-03-08,27.1,0.04,66.19,2.11
2005-03-09,27.61,0.02,67.29,2.2
2005-03-10,27.59,1.63,63.87,1.32
2005-03-11,27.92,2.18,63.28,1.28
2005-03-12,29.23,0.24,60.78,1.58
2005-03-13,28.45,6.18,66.33,1.62
2005-03-14,27.54,4.71,65.52,2.14
2005-03-15,27.7,0.0,61.35,2.01
2005-03-16,27.19,0.0,59.06,1.93
2005-03-17,26.6,0.0,60.64,2.47
2005-03-18,27.03,0.0,56.5,1.87
2005-03-19,28.11,0.1,57.97,1.96
2005-03-20,28.91,0.0,57.02,1.7
2005-03-21,29.55,0.0,54.96,2.04
2005-03-22,29.71,0.0,53.41,1.59
2005-03-23,30.64,0.0,50.0,2.06
2005-03-24,31.61,0.46,52.21,2.19
2005-03-25,31.52,0.18,52.75,2.19
2005-03-26,31.8,0.0,48.99,2.41
2005-03-27,31.55,0.0,49.54,2.19
2005-03-28,31.81,0.0,47.82,2.11
2005-03-29,32.5,0.0,44.38,2.01
2005-03-30,31.72,1.12,51.31,2.47
2005-03-31,31.12,0.04,53.86,2.2
2005-04-01,30.9,0.54,55.69,2.51
2005-04-02,30.59,0.22,60.15,2.91
2005-04-03,27.34,23.53,75.9,2.64
2005-04-04,25.15,25.37,87.02,3.79
2005-04-05,25.37,15.61,87.39,2.27
2005-04-06,25.87,17.43,84.38,1.3
2005-04-07,25.18,11.73,88.23,1.58
2005-04-08,26.13,0.67,78.51,1.87
2005-04-09,27.78,0.26,73.18,1.83
2005-04-10,27.96,1.61,75.09,1.17
2005-04-11,27.42,0.98,80.53,0.98
2005-04-12,27.12,0.31,82.93,0.88
2005-04-13,27.49,0.07,77.86,1.66
2005-04-14,28.37,0.05,70.94,1.6
2005-04-15,28.55,0.05,68.53,1.51
2005-04-16,28.46,0.0,66.95,1.57
2005-04-17,28.62,0.0,64.79,1.72
2005-04-18,28.46,0.01,66.24,1.6
2005-04-19,28.93,0.03,68.21,1.89
2005-04-20,27.02,5.72,77.91,1.68
2005-04-21,27.38,0.5,70.79,1.88
2005-04-22,27.92,0.0,69.76,1.53
2005-04-23,28.47,0.01,68.87,1.82
2005-04-24,28.66,0.0,66.59,1.34
2005-04-25,28.51,0.53,70.33,0.92
2005-04-26,28.21,4.92,72.97,1.13
2005-04-27,29.1,0.66,68.07,1.18
2005-04-28,30.46,0.02,64.65,1.14
2005-04-29,31.26,0.0,60.98,1.37
2005-04-30,29.47,12.59,73.64,1.86
2005-05-01,28.73,11.55,76.12,1.3
2005-05-02,27.74,1.9,78.36,1.31
2005-05-03,28.89,1.85,72.61,1.44
2005-05-04,27.14,11.28,80.27,1.41
2005-05-05,28.47,3.2,74.22,1.15
2005-05-06,29.78,1.49,66.5,1.85
2005-05-07,30.45,0.69,64.4,1.69
2005-05-08,29.85,0.0,64.53,1.97
2005-05-09,30.27,0.03,62.17,2.15
2005-05-10,30.49,0.03,61.09,3.27
2005-05-11,29.73,0.05,66.56,2.4
2005-05-12,31.07,0.45,60.66,2.45
2005-05-13,31.19,0.06,60.29,2.28
2005-05-14,30.4,0.02,63.54,2.75
2005-05-15,29.81,1.31,64.87,2.74
2005-05-16,29.32,0.04,63.77,2.51
2005-05-17,31.25,0.0,56.24,2.07
2005-05-18,31.7,0.0,55.42,2.3
2005-05-19,31.39,0.0,57.32,2.03
2005-05-20,31.22,0.0,61.21,2.12
2005-05-21,31.54,0.77,60.83,1.81
2005-05-22,31.93,0.99,58.7,2.11
2005-05-23,30.47,3.3,66.11,1.39
2005-05-24,30.8,0.45,62.12,2.05
2005-05-25,30.75,0.88,61.25,1.72
2005-05-26,29.58,12.25,69.02,1.72
2005-05-27,27.91,9.09,77.19,1.55
2005-05-28,27.88,2.52,72.11,2.12
2005-05-29,28.65,0.91,67.86,1.79
2005-05-30,28.51,0.14,68.17,2.35
2005-05-31,28.57,6.88,71.35,1.81
2005-06-01,29.03,0.91,69.84,2.83
2005-06-02,29.53,1.14,67.34,3.09
2005-06-03,28.92,0.11,70.67,1.89
2005-06-04,28.76,1.86,74.31,1.79
2005-06-05,29.13,0.87,69.7,2.15
2005-06-06,28.27,0.02,72.51,2.07
2005-06-07,29.15,0.02,68.17,2.06
2005-06-08,29.93,0.18,64.63,2.85
2005-06-09,26.49,0.87,78.04,3.99
2005-06-10,27.11,1.16,67.88,4.11
2005-06-11,28.31,0.04,66.52,3.34
2005-06-12,30.48,0.03,58.13,2.95
2005-06-13,30.37,0.18,58.02,3.47
2005-06-14,29.21,0.0,62.73,3.17
2005-06-15,30.27,0.01,58.4,2.77
2005-06-16,30.56,0.09,57.97,3.81
2005-06-17,29.25,0.05,63.09,5.12
2005-06-18,28.93,0.09,60.06,4.71
2005-06-19,29.11,0.05,61.15,4.33
2005-06-20,27.86,1.18,67.64,3.76
2005-06-21,27.93,0.12,65.49,3.91
2005-06-22,28.99,0.26,56.39,4.89
2005-06-23,29.31,0.0,51.99,4.05
2005-06-24,29.76,0.37,56.76,3.33
2005-06-25,29.9,0.26,57.97,3.36
2005-06-26,29.44,0.01,59.36,3.92
2005-06-27,28.82,0.0,61.34,3.9
2005-06-28,29.22,0.02,58.42,4.47
2005-06-29,29.66,0.01,56.2,4.47
2005-06-30,29.36,0.76,59.4,3.75
2005-07-01,28.79,0.46,63.16,3.6
2005-07-02,29.18,0.49,59.19,3.34
2005-07-03,28.8,0.04,62.89,3.81
2005-07-04,28.74,0.27,62.86,4.07
2005-07-05,28.58,0.14,63.45,4.42
2005-07-06,29.32,0.15,55.76,4.57
2005-07-07,29.62,0.01,53.27,3.95
2005-07-08,29.75,0.53,58.63,3.58
2005-07-09,29.52,0.12,56.71,4.84
2005-07-10,29.0,1.91,53.37,4.19
2005-07-11,29.42,0.52,53.95,3.47
2005-07-12,29.04,0.24,59.85,2.62
2005-07-13,27.26,2.97,70.33,2.61
2005-07-14,27.14,11.49,74.95,2.53
2005-07-15,26.51,6.19,78.47,1.39
2005-07-16,26.62,3.9,79.06,0.97
2005-07-17,27.43,1.27,74.13,1.95
2005-07-18,28.31,0.02,68.64,2.29
2005-07-19,27.93,0.07,72.47,2.86
2005-07-20,28.4,0.7,68.66,2.76
2005-07-21,27.65,0.02,69.34,3.38
2005-07-22,27.98,0.46,65.98,3.54
2005-07-23,27.54,5.1,70.1,3.65
2005-07-24,27.75,1.23,67.26,4.78
2005-07-25,27.66,0.81,64.48,5.85
2005-07-26,28.47,0.54,60.11,5.7
2005-07-27,28.99,0.5,60.54,5.17
2005-07-28,28.34,0.61,60.22,4.89
2005-07-29,27.56,0.21,60.72,5.41
2005-07-30,28.58,0.5,59.72,5.65
2005-07-31,29.54,0.67,57.62,6.05
2005-08-01,28.38,0.5,61.39,6.2
2005-08-02,28.61,0.25,58.6,5.97
2005-08-03,28.69,0.04,55.83,5.1
2005-08-04,28.51,0.1,58.75,4.17
2005-08-05,29.21,0.05,55.41,4.48
2005-08-06,30.54,0.03,49.84,4.43
2005-08-07,30.56,0.0,50.13,4.23
2005-08-08,29.79,0.02,53.47,4.16
2005-08-09,30.3,0.05,53.51,3.74
2005-08-10,29.39,4.23,58.6,3.95
2005-08-11,28.99,1.56,60.24,4.1
2005-08-12,29.77,1.12,57.38,3.99
2005-08-13,30.17,0.33,54.78,3.83
2005-08-14,29.85,0.81,57.21,3.73
2005-08-15,29.26,2.51,60.25,3.48
2005-08-16,27.75,0.24,59.43,4.41
2005-08-17,30.13,0.06,51.12,4.14
2005-08-18,29.73,0.01,51.62,3.43
2005-08-19,29.36,0.77,55.3,3.24
2005-08-20,30.09,0.0,52.21,2.64
2005-08-21,30.93,0.47,49.47,1.96
2005-08-22,29.2,0.77,58.51,1.54
2005-08-23,28.36,12.06,65.96,1.57
2005-08-24,27.93,6.54,70.51,1.53
2005-08-25,27.84,15.23,70.81,1.67
2005-08-26,27.57,8.71,71.77,1.57
2005-08-27,26.21,8.92,79.7,1.08
2005-08-28,28.21,4.17,72.32,1.45
2005-08-29,28.57,1.15,70.3,1.3
2005-08-30,29.84,0.12,64.3,1.22
2005-08-31,28.88,5.37,69.41,1.81
2005-09-01,28.24,4.03,72.72,0.88
2005-09-02,27.08,17.86,80.5,1.18
2005-09-03,26.78,10.81,82.99,1.37
2005-09-04,26.36,10.23,84.63,1.51
2005-09-05,26.43,1.03,79.71,2.46
2005-09-06,26.09,3.33,80.95,2.62
2005-09-07,26.14,6.54,80.01,2.28
2005-09-08,26.92,1.49,77.85,1.74
2005-09-09,27.6,0.66,73.31,3.39
2005-09-10,26.74,3.7,73.68,4.01
2005-09-11,26.65,0.73,71.44,3.5
2005-09-12,26.56,0.08,74.5,3.75
2005-09-13,26.67,0.17,73.48,3.59
2005-09-14,27.68,0.07,69.0,2.99
2005-09-15,26.47,16.12,73.94,2.38
2005-09-16,26.68,0.29,76.26,2.28
2005-09-17,28.05,0.05,68.08,2.31
2005-09-18,28.02,0.0,64.8,3.18
2005-09-19,27.38,0.1,63.1,4.56
2005-09-20,26.56,0.89,69.59,4.28
2005-09-21,28.17,0.05,67.26,3.48
2005-09-22,28.88,0.13,64.57,2.35
2005-09-23,28.98,0.0,62.83,2.19
2005-09-24,28.97,0.87,63.34,1.8
2005-09-25,28.9,1.74,64.95,1.67
2005-09-26,28.2,0.04,68.08,1.34
2005-09-27,27.97,0.04,68.59,1.41
2005-09-28,26.9,14.34,77.35,1.03
2005-09-29,26.85,4.88,77.19,1.43
2005-09-30,26.69,4.88,77.79,1.49
2005-10-01,26.76,1.22,74.56,1.58
2005-10-02,26.36,3.82,76.47,0.72
2005-10-03,26.55,4.28,74.84,1.51
2005-10-04,26.75,26.0,77.26,0.77
2005-10-05,27.34,3.14,75.44,0.87
2005-10-06,26.99,0.45,78.3,1.09
2005-10-07,26.6,3.77,80.52,1.37
2005-10-08,26.61,28.79,80.84,0.98
2005-10-09,26.49,10.89,80.86,1.37
2005-10-10,24.6,9.56,87.85,1.46
2005-10-11,24.45,16.18,86.44,1.6
2005-10-12,24.35,8.96,88.03,1.17
2005-10-13,24.73,11.41,88.77,2.76
2005-10-14,25.38,1.13,84.2,2.42
2005-10-15,25.99,1.37,82.75,1.17
2005-10-16,25.86,2.4,83.69,0.71
2005-10-17,25.91,10.12,84.55,0.47
2005-10-18,24.74,9.14,89.41,0.96
2005-10-19,24.55,7.4,90.42,1.7
2005-10-20,26.06,1.15,80.68,1.53
2005-10-21,25.39,46.71,88.38,1.49
2005-10-22,25.66,36.16,88.84,0.74
2005-10-23,25.22,14.34,89.53,1.25
2005-10-24,24.61,33.48,88.21,1.07
2005-10-25,23.76,37.97,94.32,1.1
2005-10-26,23.81,6.11,88.72,1.85
2005-10-27,24.21,9.17,88.38,2.43
2005-10-28,25.26,1.12,85.56,2.6
2005-10-29,26.1,0.55,85.57,2.23
2005-10-30,25.71,6.39,87.46,2.13
2005-10-31,25.73,0.69,88.83,1.34
2005-11-01,25.58,9.34,87.67,1.05
2005-11-02,24.67,8.78,89.38,0.99
2005-11-03,23.66,5.84,89.3,1.39
2005-11-04,23.49,20.69,92.14,2.07
2005-11-05,23.39,18.74,91.57,2.37
2005-11-06,23.87,29.39,94.22,2.88
2005-11-07,23.36,33.28,93.05,3.81
2005-11-08,23.2,21.13,92.9,3.5
2005-11-09,22.98,3.85,94.97,3.4
2005-11-10,22.96,0.44,93.25,2.17
2005-11-11,23.31,5.1,95.47,2.31
2005-11-12,23.0,5.66,92.83,2.79
2005-11-13,21.42,0.5,85.3,1.56
2005-11-14,21.39,0.89,85.41,1.92
2005-11-15,21.62,0.0,87.4,1.74
2005-11-16,20.14,0.0,81.04,1.98
2005-11-17,19.91,0.0,82.3,1.73
2005-11-18,20.17,0.02,82.4,1.76
2005-11-19,21.38,0.29,85.1,2.0
2005-11-20,21.85,0.22,87.44,2.42
2005-11-21,21.63,20.97,92.75,3.47
2005-11-22,23.8,27.91,96.08,3.8
2005-11-23,23.48,84.37,95.29,4.29
2005-11-24,22.21,32.09,94.38,3.37
2005-11-25,22.82,18.25,92.99,2.11
2005-11-26,22.92,2.74,91.79,2.45
2005-11-27,23.0,1.89,91.21,2.71
2005-11-28,21.53,0.04,87.91,2.48
2005-11-29,20.05,0.02,87.58,2.11
2005-11-30,21.59,0.02,83.93,1.66
2005-12-01,22.45,0.08,84.21,1.3
2005-12-02,23.05,6.38,88.7,1.64
2005-12-03,23.67,19.73,91.7,1.79
2005-12-04,23.61,11.13,94.87,1.86
2005-12-05,23.35,1.93,91.55,2.48
2005-12-06,22.47,0.03,89.15,2.35
2005-12-07,21.93,0.0,89.34,2.26
2005-12-08,19.69,0.0,84.0,2.11
2005-12-09,21.28,14.16,84.21,2.95
2005-12-10,21.43,11.99,91.64,3.99
2005-12-11,22.76,8.63,94.2,2.81
2005-12-12,22.9,5.19,93.99,2.52
2005-12-13,23.02,7.97,94.17,3.03
2005-12-14,22.88,0.53,90.34,2.61
2005-12-15,21.92,0.02,88.21,2.66
2005-12-16,20.59,0.0,87.03,2.7
2005-12-17,21.28,2.96,90.51,3.23
2005-12-18,22.65,2.96,91.4,2.95
2005-12-19,22.58,0.42,89.26,2.52
2005-12-20,23.45,0.12,89.28,2.2
2005-12-21,23.84,0.07,88.51,2.22
2005-12-22,24.05,1.02,84.76,1.47
2005-12-23,23.79,1.56,85.98,0.91
2005-12-24,23.47,0.0,87.57,1.15
2005-12-25,22.72,0.0,88.18,1.94
2005-12-26,21.09,0.0,86.07,2.01
2005-12-27,20.29,0.0,83.48,1.81
2005-12-28,20.94,0.22,89.83,2.23
2005-12-29,20.37,0.03,84.65,1.73
2005-12-30,19.93,0.0,84.62,1.8
2005-12-31,20.65,0.0,84.35,2.5
2006-01-01,20.27,0.0,83.16,2.47
2006-01-02,20.2,0.0,86.02,2.13
2006-01-03,20.62,0.0,87.21,2.07
2006-01-04,21.47,0.41,86.55,2.08
2006-01-05,22.4,2.44,90.04,2.83
2006-01-06,22.05,0.0,85.8,2.7
2006-01-07,23.08,0.64,89.67,2.57
2006-01-08,22.78,8.96,93.64,2.23
2006-01-09,23.55,0.88,89.99,2.47
2006-01-10,22.52,0.02,86.9,2.66
2006-01-11,21.18,0.0,85.89,2.39
2006-01-12,21.72,0.01,87.27,2.56
2006-01-13,21.46,0.17,86.66,2.39
2006-01-14,22.06,0.17,88.72,2.06
2006-01-15,23.09,0.01,86.93,2.08
2006-01-16,23.09,0.03,86.47,1.93
2006-01-17,22.88,0.0,84.68,1.54
2006-01-18,21.22,0.0,80.1,1.6
2006-01-19,19.86,0.0,77.56,1.3
2006-01-20,20.02,0.0,77.25,1.45
2006-01-21,20.31,0.0,77.24,1.42
2006-01-22,20.98,0.0,72.37,1.23
2006-01-23,21.07,0.0,67.74,0.97
2006-01-24,21.3,0.0,70.33,1.06
2006-01-25,21.2,0.0,82.28,1.56
2006-01-26,20.52,0.02,79.04,2.01
2006-01-27,22.01,0.25,83.78,2.98
2006-01-28,21.02,0.0,80.22,2.69
2006-01-29,19.7,0.0,77.26,2.13
2006-01-30,19.77,0.0,78.58,1.81
2006-01-31,20.27,0.0,79.78,2.16
2006-02-01,20.95,0.0,79.29,2.45
2006-02-02,21.76,0.0,79.45,2.41
2006-02-03,22.34,0.0,80.9,2.52
2006-02-04,23.47,0.0,82.6,2.9
2006-02-05,23.25,0.0,76.64,2.31
2006-02-06,21.2,0.0,71.9,2.12
2006-02-07,20.59,0.0,72.13,2.01
2006-02-08,20.9,0.0,72.98,2.16
2006-02-09,21.85,0.0,76.48,2.05
2006-02-10,21.75,0.0,70.76,2.25
2006-02-11,22.32,0.0,75.45,2.3
2006-02-12,21.88,0.0,73.35,2.36
2006-02-13,21.5,0.0,70.73,2.02
2006-02-14,21.57,0.0,64.46,1.59
2006-02-15,22.71,0.0,70.23,1.45
2006-02-16,23.55,0.0,68.52,1.24
2006-02-17,24.23,0.0,69.48,1.27
2006-02-18,23.8,0.0,70.92,1.81
2006-02-19,24.2,0.0,67.43,1.63
2006-02-20,23.98,0.0,67.37,1.94
2006-02-21,23.39,0.0,67.63,1.79
2006-02-22,23.42,0.0,65.84,1.9
2006-02-23,22.96,0.0,63.83,2.05
2006-02-24,23.51,0.0,63.24,1.85
2006-02-25,24.59,0.0,61.2,1.12
2006-02-26,24.74,0.0,61.76,1.63
2006-02-27,26.16,0.0,66.5,1.61
2006-02-28,27.0,0.0,71.86,1.74
