Date,Temperature,Rainfall,Humidity,WindSpeed
2005-01-01,23.5,0.0,78.32,2.42
2005-01-02,23.8,0.02,80.76,2.39
2005-01-03,23.98,0.01,78.44,2.45
2005-01-04,24.01,0.02,79.43,3.1
2005-01-05,23.67,0.0,77.54,2.99
2005-01-06,23.86,0.01,76.63,3.24
2005-01-07,24.5,0.0,75.94,3.29
2005-01-08,23.98,0.0,76.88,3.06
2005-01-09,23.51,0.0,76.5,2.76
2005-01-10,23.23,0.0,72.04,1.76
2005-01-11,23.16,0.0,72.68,1.53
2005-01-12,23.65,0.0,74.96,1.92
2005-01-13,23.93,0.0,76.95,2.65
2005-01-14,23.99,0.01,75.62,2.88
2005-01-15,23.38,0.0,71.02,2.63
2005-01-16,24.12,0.01,70.4,2.45
2005-01-17,24.74,0.01,70.66,2.27
2005-01-18,25.47,0.0,72.74,2.13
2005-01-19,25.49,0.0,78.18,2.61
2005-01-20,25.32,0.0,77.38,3.53
2005-01-21,25.78,0.42,76.07,3.84
2005-01-22,25.76,0.21,74.89,3.51
2005-01-23,25.72,0.03,75.59,2.74
2005-01-24,26.0,0.05,76.49,2.21
2005-01-25,26.05,0.0,75.42,2.22
2005-01-26,25.85,0.0,73.96,2.07
2005-01-27,25.41,0.01,77.11,2.53
2005-01-28,25.12,0.03,76.16,2.3
2005-01-29,25.51,0.01,72.44,2.83
2005-01-30,26.04,0.04,70.09,3.06
2005-01-31,26.13,0.37,72.3,3.35
2005-02-01,25.25,2.48,81.11,2.78
2005-02-02,25.85,0.7,78.6,3.54
2005-02-03,26.08,1.95,76.01,3.86
2005-02-04,25.94,0.24,73.43,3.41
2005-02-05,25.72,0.0,68.85,2.68
2005-02-06,25.34,0.0,67.32,2.69
2005-02-07,24.75,0.0,70.96,2.88
2005-02-08,25.06,0.0,73.1,3.38
2005-02-09,25.68,0.0,69.72,3.6
2005-02-10,25.79,0.0,72.24,3.33
2005-02-11,25.62,0.0,73.81,2.93
2005-02-12,25.28,0.0,70.06,2.61
2005-02-13,25.33,0.0,63.39,1.98
2005-02-14,25.48,0.0,55.78,1.81
2005-02-15,26.27,0.0,60.51,2.21
2005-02-16,26.84,0.0,66.8,3.33
2005-02-17,26.78,0.0,68.7,3.43
2005-02-18,26.86,0.0,68.51,3.41
2005-02-19,26.37,0.0,71.63,2.74
2005-02-20,26.1,0.0,71.99,2.79
2005-02-21,25.81,0.0,74.2,2.71
2005-02-22,26.99,0.05,72.75,3.04
2005-02-23,27.73,0.02,70.64,2.77
2005-02-24,27.92,0.0,66.04,2.66
2005-02-25,27.74,0.0,62.48,2.5
2005-02-26,27.75,0.0,58.96,2.12
2005-02-27,27.28,0.0,58.18,2.45
2005-02-28,27.43,0.0,62.27,2.61
2005-03-01,27.65,0.0,66.51,2.75
2005-03-02,27.66,0.0,65.71,2.51
2005-03-03,27.57,0.0,68.13,2.72
2005-03-04,27.84,0.0,70.23,3.06
2005-03-05,28.48,0.04,70.25,3.13
2005-03-06,28.19,0.01,68.15,2.98
2005-03-07,28.35,0.01,69.42,3.15
2005-03-08,28.18,0.46,66.92,2.93
2005-03-09,28.07,0.71,72.83,2.74
2005-03-10,28.65,0.09,67.42,2.28
2005-03-11,28.4,0.72,68.87,2.49
2005-03-12,29.32,0.16,67.1,3.4
2005-03-13,28.9,0.2,68.71,3.34
2005-03-14,28.94,0.05,59.74,2.68
2005-03-15,28.75,0.0,61.03,2.84
2005-03-16,28.94,0.0,56.39,2.72
2005-03-17,28.16,0.0,61.55,3.1
2005-03-18,28.24,0.0,57.04,2.73
2005-03-19,28.61,0.0,58.01,2.44
2005-03-20,29.44,0.0,61.69,2.73
2005-03-21,29.44,0.0,62.6,2.71
2005-03-22,29.3,0.0,64.17,3.38
2005-03-23,29.86,0.0,64.72,4.55
2005-03-24,30.95,0.4,63.65,4.53
2005-03-25,30.7,0.11,66.35,3.98
2005-03-26,31.06,0.01,63.43,3.31
2005-03-27,30.22,0.04,65.97,3.15
2005-03-28,30.41,0.0,62.43,3.5
2005-03-29,30.96,0.0,60.68,3.82
2005-03-30,31.03,0.01,66.03,3.8
2005-03-31,30.7,0.04,65.57,3.93
2005-04-01,30.61,0.07,64.81,3.53
2005-04-02,30.43,2.64,67.31,3.16
2005-04-03,28.74,17.55,78.06,2.74
2005-04-04,27.68,26.63,81.98,3.39
2005-04-05,26.6,74.07,89.9,2.85
2005-04-06,26.21,24.12,89.8,2.17
2005-04-07,26.92,3.29,85.94,1.13
2005-04-08,27.62,0.84,83.73,1.98
2005-04-09,28.12,0.81,81.63,2.58
2005-04-10,28.04,0.41,84.73,3.02
2005-04-11,27.77,0.25,86.82,2.35
2005-04-12,27.86,0.06,88.24,2.4
2005-04-13,28.03,0.03,83.73,2.32
2005-04-14,27.79,0.01,81.66,2.25
2005-04-15,28.34,0.02,77.87,2.61
2005-04-16,28.71,0.01,75.63,2.6
2005-04-17,28.5,0.01,72.91,2.61
2005-04-18,28.54,0.21,76.15,3.11
2005-04-19,28.82,1.33,75.64,2.82
2005-04-20,28.3,1.59,79.57,2.41
2005-04-21,28.45,0.06,74.23,2.46
2005-04-22,28.81,0.02,72.88,2.8
2005-04-23,29.21,0.03,74.37,3.44
2005-04-24,29.35,0.02,73.61,3.02
2005-04-25,29.52,0.08,74.01,2.4
2005-04-26,29.47,0.83,75.0,2.44
2005-04-27,30.02,0.05,72.43,2.48
2005-04-28,31.0,0.27,71.48,2.67
2005-04-29,31.32,0.2,71.26,2.98
2005-04-30,30.7,0.29,73.71,3.68
2005-05-01,30.02,17.75,77.38,3.51
2005-05-02,29.38,11.58,79.13,2.86
2005-05-03,29.76,10.75,75.93,2.93
2005-05-04,28.74,14.58,81.18,2.65
2005-05-05,29.19,2.2,76.05,2.25
2005-05-06,30.18,1.17,74.84,2.41
2005-05-07,30.52,0.07,73.47,2.83
2005-05-08,30.41,0.08,74.56,2.91
2005-05-09,30.21,0.09,68.95,3.55
2005-05-10,31.37,0.02,65.83,3.58
2005-05-11,31.34,0.06,70.73,2.72
2005-05-12,31.01,0.0,72.11,3.59
2005-05-13,31.27,0.0,71.64,4.12
2005-05-14,31.24,0.0,70.76,4.96
2005-05-15,32.13,0.02,61.8,4.28
2005-05-16,30.95,0.0,67.53,3.8
2005-05-17,31.22,0.0,65.57,3.69
2005-05-18,31.0,0.0,69.42,3.65
2005-05-19,30.43,0.0,70.0,3.85
2005-05-20,30.32,0.0,73.01,4.0
2005-05-21,30.69,0.16,71.97,3.8
2005-05-22,30.61,0.25,74.77,2.94
2005-05-23,30.5,0.35,76.23,3.55
2005-05-24,31.24,0.25,71.3,4.45
2005-05-25,30.4,0.16,75.13,3.4
2005-05-26,30.65,0.42,74.67,3.02
2005-05-27,29.99,1.48,74.44,2.39
2005-05-28,29.89,0.24,72.21,3.12
2005-05-29,30.7,0.72,68.23,2.69
2005-05-30,29.75,0.32,72.24,2.7
2005-05-31,29.89,1.26,75.62,3.19
