Date,Temperature,Rainfall,Humidity,WindSpeed
2005-01-01,26.31,0.08,79.7,4.55
2005-01-02,26.84,0.0,77.01,4.9
2005-01-03,26.74,0.0,74.8,5.08
2005-01-04,27.1,0.0,72.84,5.62
2005-01-05,26.86,0.0,76.65,5.48
2005-01-06,26.73,0.0,70.57,5.33
2005-01-07,26.78,0.0,74.25,5.4
2005-01-08,26.97,0.0,73.21,5.12
2005-01-09,26.1,0.0,73.19,5.4
2005-01-10,26.71,0.0,67.42,3.48
2005-01-11,26.97,0.0,64.98,2.44
2005-01-12,27.15,0.0,60.33,3.69
2005-01-13,26.78,0.0,69.19,4.59
2005-01-14,26.65,0.0,66.95,5.8
2005-01-15,26.78,0.0,67.39,5.47
2005-01-16,26.72,0.0,69.24,4.51
2005-01-17,27.3,0.0,70.09,2.97
2005-01-18,27.86,0.17,71.22,2.03
2005-01-19,28.01,0.9,77.37,2.43
2005-01-20,28.1,0.01,76.43,5.95
2005-01-21,27.41,0.1,79.8,7.64
2005-01-22,27.26,0.17,80.01,6.65
2005-01-23,27.19,0.14,79.45,5.98
2005-01-24,27.3,0.32,80.2,5.05
2005-01-25,27.54,0.04,77.77,5.3
2005-01-26,27.39,0.0,75.01,4.48
2005-01-27,26.95,0.06,74.23,2.67
2005-01-28,26.62,0.05,75.27,1.65
2005-01-29,27.43,0.05,75.36,3.01
2005-01-30,27.4,0.59,75.07,3.81
2005-01-31,27.23,0.34,77.31,2.73
2005-02-01,27.37,0.19,75.8,1.94
2005-02-02,27.58,0.22,76.67,3.32
2005-02-03,28.01,0.0,73.4,4.34
2005-02-04,28.01,0.0,71.82,5.4
2005-02-05,27.98,0.0,71.11,5.0
2005-02-06,28.18,0.0,68.88,4.88
2005-02-07,27.79,0.0,67.64,5.56
2005-02-08,27.98,0.0,71.83,6.54
2005-02-09,27.68,0.03,70.64,7.7
2005-02-10,27.82,0.0,68.68,7.18
2005-02-11,27.82,0.0,66.26,6.68
2005-02-12,27.43,0.0,67.98,6.73
2005-02-13,27.44,0.0,70.64,5.69
2005-02-14,27.24,0.0,71.34,4.88
2005-02-15,27.27,0.0,70.22,2.52
2005-02-16,27.51,0.0,67.24,1.92
2005-02-17,27.48,0.0,70.2,2.05
2005-02-18,27.76,0.0,70.54,2.47
2005-02-19,27.87,0.0,67.29,3.06
2005-02-20,27.86,0.0,71.22,3.15
2005-02-21,28.09,0.17,70.63,2.84
2005-02-22,28.01,1.04,77.34,3.0
2005-02-23,28.71,0.01,77.12,3.23
2005-02-24,29.05,0.0,74.03,3.81
2005-02-25,28.73,0.0,71.91,4.02
2005-02-26,28.52,0.0,68.98,4.34
2005-02-27,28.42,0.0,66.7,4.7
2005-02-28,28.37,0.0,68.16,3.75
2005-03-01,28.1,0.0,69.68,4.19
2005-03-02,28.39,0.0,72.84,3.75
2005-03-03,28.25,0.0,70.43,3.77
2005-03-04,28.47,0.04,72.97,3.05
2005-03-05,28.42,4.47,77.62,3.09
2005-03-06,28.07,5.08,81.54,3.34
2005-03-07,28.05,0.63,79.31,3.86
2005-03-08,28.64,0.01,74.68,3.86
2005-03-09,28.7,0.08,75.33,4.09
2005-03-10,28.87,0.26,74.0,2.16
2005-03-11,28.32,3.11,76.44,2.02
2005-03-12,28.39,3.03,74.56,2.12
2005-03-13,29.06,0.07,72.93,2.34
2005-03-14,29.36,0.09,71.58,2.82
2005-03-15,29.02,0.0,70.15,3.91
2005-03-16,28.94,0.0,66.2,3.92
2005-03-17,28.58,0.0,64.39,4.7
2005-03-18,28.56,0.02,71.29,4.08
2005-03-19,29.3,0.26,72.71,3.38
2005-03-20,29.36,0.07,72.41,2.81
2005-03-21,29.28,0.03,69.89,2.26
2005-03-22,29.31,0.0,73.09,2.74
2005-03-23,29.64,0.0,72.63,4.23
2005-03-24,29.52,0.05,74.18,4.42
2005-03-25,29.81,0.14,70.17,4.44
2005-03-26,29.97,0.0,68.94,4.52
2005-03-27,29.89,0.0,70.75,3.42
2005-03-28,29.12,0.75,75.89,3.11
2005-03-29,29.13,0.01,76.52,4.96
2005-03-30,28.9,2.38,80.05,4.49
2005-03-31,28.71,0.88,76.46,4.96
2005-04-01,29.83,0.09,71.38,4.53
2005-04-02,29.78,8.87,74.07,2.55
2005-04-03,27.96,19.13,83.59,2.24
2005-04-04,27.62,96.15,82.98,2.73
2005-04-05,26.66,36.71,86.8,4.22
2005-04-06,27.32,11.19,85.99,2.95
2005-04-07,27.98,12.7,83.24,3.78
2005-04-08,28.13,0.33,83.34,4.23
2005-04-09,28.3,0.18,83.23,3.64
2005-04-10,28.17,2.53,85.19,3.59
2005-04-11,28.01,11.48,86.7,3.88
2005-04-12,27.77,2.52,86.07,3.6
2005-04-13,27.81,2.28,83.63,3.01
2005-04-14,28.15,0.66,79.25,2.42
2005-04-15,28.38,1.63,78.34,1.5
2005-04-16,28.72,8.47,76.29,1.74
2005-04-17,28.44,15.68,80.71,2.46
2005-04-18,28.66,8.31,81.64,2.35
2005-04-19,28.37,15.94,82.98,1.45
2005-04-20,27.8,15.71,86.05,3.09
2005-04-21,28.01,3.24,78.5,3.6
2005-04-22,28.16,0.63,79.75,1.95
2005-04-23,28.45,0.9,78.27,1.57
2005-04-24,28.22,0.78,82.2,2.09
2005-04-25,28.87,6.26,79.92,1.91
