Date,Temperature,Rainfall,Humidity,WindSpeed
2005-01-01,20.87,0.0,73.43,1.71
2005-01-02,21.38,0.0,77.89,1.78
2005-01-03,22.41,0.03,79.28,1.6
2005-01-04,21.88,0.02,70.97,2.43
2005-01-05,20.36,0.0,70.6,2.26
2005-01-06,19.75,0.0,74.68,2.42
2005-01-07,20.44,0.0,74.17,2.33
2005-01-08,20.63,0.0,73.72,2.32
2005-01-09,20.23,0.0,71.65,2.34
2005-01-10,20.19,0.0,64.86,1.33
2005-01-11,20.9,0.0,63.55,1.15
2005-01-12,21.16,0.0,60.66,1.67
2005-01-13,20.84,0.0,68.12,1.98
2005-01-14,20.36,0.0,70.9,2.35
2005-01-15,20.04,0.0,67.82,1.98
2005-01-16,19.97,0.0,69.43,1.78
2005-01-17,21.56,0.0,71.4,1.27
2005-01-18,23.12,0.0,70.71,1.01
2005-01-19,23.39,0.0,72.4,1.98
2005-01-20,22.83,0.0,68.37,2.86
2005-01-21,22.92,0.25,70.49,3.48
2005-01-22,22.98,0.31,72.91,2.79
2005-01-23,23.64,0.01,70.44,2.05
2005-01-24,24.06,0.0,68.25,1.92
2005-01-25,23.89,0.0,65.64,2.14
2005-01-26,23.68,0.0,66.65,1.53
2005-01-27,23.27,0.29,69.56,1.92
2005-01-28,21.86,0.06,73.35,1.46
2005-01-29,22.73,0.05,67.03,2.17
2005-01-30,23.09,0.27,69.18,2.28
2005-01-31,22.0,1.35,81.01,1.78
2005-02-01,22.02,3.26,84.72,1.66
2005-02-02,23.91,0.95,74.15,2.29
2005-02-03,23.68,1.75,74.57,2.57
2005-02-04,23.28,0.55,76.41,2.65
2005-02-05,23.88,0.0,69.19,2.05
2005-02-06,23.54,0.0,62.8,1.96
2005-02-07,22.24,0.0,59.07,2.62
2005-02-08,22.35,0.0,65.16,3.05
2005-02-09,22.45,0.0,61.42,3.4
2005-02-10,22.11,0.0,59.96,3.28
2005-02-11,22.36,0.0,57.92,2.9
2005-02-12,21.97,0.0,53.74,2.76
2005-02-13,22.32,0.0,43.02,2.55
2005-02-14,24.2,0.0,32.61,2.11
2005-02-15,25.47,0.0,33.35,1.72
2005-02-16,26.09,0.0,32.18,1.61
2005-02-17,26.13,0.0,37.31,1.87
2005-02-18,26.18,0.0,39.39,2.15
2005-02-19,25.03,0.0,44.1,2.35
2005-02-20,24.23,0.0,47.89,2.38
2005-02-21,24.11,0.0,56.18,2.25
2005-02-22,25.64,0.41,65.67,1.98
2005-02-23,26.39,0.07,61.73,2.27
2005-02-24,26.82,0.0,56.69,2.41
2005-02-25,25.94,0.0,48.71,2.57
2005-02-26,26.05,0.0,45.21,2.59
2005-02-27,25.11,0.0,40.61,2.62
2005-02-28,25.0,0.0,38.89,2.59
2005-03-01,25.28,0.0,53.56,2.86
2005-03-02,25.63,0.0,51.17,2.16
2005-03-03,26.03,0.0,51.79,2.48
2005-03-04,26.35,0.0,53.77,2.26
2005-03-05,27.53,0.01,56.74,2.51
2005-03-06,27.43,0.0,54.74,2.7
2005-03-07,27.28,0.0,53.7,2.6
2005-03-08,26.53,0.13,59.03,2.9
2005-03-09,26.06,0.07,63.1,2.41
2005-03-10,26.46,0.59,60.32,1.62
2005-03-11,25.48,4.58,63.35,1.26
2005-03-12,27.27,0.39,58.39,1.34
2005-03-13,27.65,2.8,59.97,2.09
2005-03-14,26.11,2.15,56.8,2.87
2005-03-15,26.95,0.0,54.68,2.1
2005-03-16,26.27,0.0,51.25,2.33
2005-03-17,25.81,0.0,48.87,2.9
2005-03-18,25.68,0.0,43.72,2.54
2005-03-19,26.57,0.0,42.31,2.38
2005-03-20,26.67,0.0,52.32,1.81
2005-03-21,27.86,0.0,48.06,1.96
2005-03-22,27.8,0.0,46.64,1.74
2005-03-23,29.58,0.0,43.98,1.9
2005-03-24,31.17,0.32,37.69,1.8
2005-03-25,31.41,0.33,40.7,1.65
2005-03-26,31.21,0.0,38.63,1.54
2005-03-27,30.41,0.0,45.0,2.23
2005-03-28,31.03,0.0,42.27,2.27
2005-03-29,31.43,0.0,38.72,1.53
2005-03-30,31.22,0.58,44.75,2.41
2005-03-31,30.38,0.03,47.38,1.82
2005-04-01,30.7,1.72,41.94,2.29
2005-04-02,29.34,0.66,53.7,3.06
2005-04-03,26.9,20.33,69.64,2.83
2005-04-04,24.74,18.81,76.31,3.27
2005-04-05,23.58,26.02,85.12,2.87
2005-04-06,23.36,20.61,86.84,2.13
2005-04-07,23.66,8.37,85.41,1.35
2005-04-08,25.78,0.16,72.06,1.74
2005-04-09,27.04,0.46,68.71,1.43
2005-04-10,27.09,4.04,71.38,1.0
2005-04-11,26.03,1.23,77.32,1.11
2005-04-12,25.75,0.09,78.42,1.15
2005-04-13,26.39,0.07,74.85,1.78
2005-04-14,27.08,0.17,69.63,1.39
2005-04-15,27.35,0.32,65.85,1.54
2005-04-16,27.05,0.0,61.17,1.65
2005-04-17,27.38,0.0,56.78,1.62
2005-04-18,26.85,0.04,59.85,1.49
2005-04-19,27.2,0.38,63.34,1.78
2005-04-20,25.61,1.75,73.75,2.04
2005-04-21,26.08,0.11,65.49,2.08
2005-04-22,26.39,0.0,67.22,1.81
2005-04-23,27.28,0.02,63.93,1.66
2005-04-24,26.91,0.0,68.66,0.8
2005-04-25,26.48,0.7,67.47,1.01
2005-04-26,26.94,12.88,68.58,1.02
2005-04-27,27.46,3.26,67.76,0.92
2005-04-28,29.08,0.08,61.7,0.79
2005-04-29,29.29,0.01,60.72,1.25
2005-04-30,28.91,3.31,65.56,1.35
2005-05-01,28.34,9.42,69.07,1.22
2005-05-02,25.64,2.7,81.23,1.44
2005-05-03,27.69,3.25,67.51,1.04
2005-05-04,25.05,12.7,80.67,1.13
2005-05-05,27.16,8.56,72.49,1.43
2005-05-06,28.01,0.85,67.56,1.75
2005-05-07,28.52,0.25,67.05,1.24
2005-05-08,28.16,0.01,66.22,1.52
2005-05-09,28.31,0.01,61.4,2.43
2005-05-10,29.05,0.14,61.67,2.89
2005-05-11,28.88,0.13,64.04,2.27
2005-05-12,29.36,0.21,62.99,1.38
2005-05-13,29.1,0.01,62.17,1.85
2005-05-14,30.1,0.0,54.92,1.83
2005-05-15,30.25,0.22,51.76,2.44
2005-05-16,28.44,0.14,60.32,2.36
2005-05-17,28.69,0.0,56.4,2.04
2005-05-18,30.59,0.0,51.74,2.51
2005-05-19,30.26,0.0,53.17,1.76
2005-05-20,29.71,0.0,55.34,1.96
2005-05-21,29.06,2.47,60.93,1.3
2005-05-22,29.97,3.39,60.79,1.56
2005-05-23,29.87,9.19,63.07,0.96
2005-05-24,28.7,2.27,66.29,1.28
2005-05-25,27.67,2.71,69.54,1.62
2005-05-26,27.06,8.06,73.06,1.77
2005-05-27,25.83,26.59,77.64,1.32
2005-05-28,26.66,1.34,71.44,2.38
2005-05-29,25.6,2.6,74.55,2.41
2005-05-30,25.49,0.9,77.9,1.82
2005-05-31,26.47,21.54,74.3,0.71
2005-06-01,26.67,2.96,75.06,2.95
2005-06-02,25.96,3.54,79.19,2.87
2005-06-03,26.0,1.85,78.41,2.59
2005-06-04,26.92,5.34,76.24,1.86
2005-06-05,27.12,2.46,73.26,1.24
2005-06-06,26.38,0.03,74.9,1.75
2005-06-07,27.11,0.43,72.73,1.58
2005-06-08,27.42,0.67,70.15,2.31
2005-06-09,25.01,1.88,80.93,3.14
2005-06-10,24.22,3.61,77.76,3.62
2005-06-11,25.18,0.04,77.75,3.62
2005-06-12,26.74,0.02,67.08,4.21
2005-06-13,27.17,0.28,68.45,2.63
2005-06-14,25.45,0.01,79.13,2.43
2005-06-15,26.85,0.0,69.96,2.44
