Date,Temperature,Rainfall,Humidity,WindSpeed
2005-01-01,25.18,0.43,79.57,3.46
2005-01-02,25.45,0.5,78.21,3.67
2005-01-03,25.57,0.46,76.91,3.51
2005-01-04,25.83,0.29,77.65,4.53
2005-01-05,25.73,0.3,76.07,4.66
2005-01-06,25.53,0.96,73.63,4.71
2005-01-07,26.06,1.78,75.46,5.21
2005-01-08,25.92,0.38,73.67,4.79
2005-01-09,25.49,0.31,74.46,4.9
2005-01-10,24.9,0.0,75.86,3.64
2005-01-11,24.55,0.0,74.59,2.52
2005-01-12,24.93,0.0,79.54,3.15
2005-01-13,25.14,0.0,76.46,4.23
2005-01-14,25.31,0.23,74.26,4.51
2005-01-15,25.13,1.49,69.91,4.22
2005-01-16,25.4,0.06,75.05,3.93
2005-01-17,25.83,0.33,75.39,3.32
2005-01-18,26.12,0.45,79.6,3.27
2005-01-19,26.51,0.25,81.01,4.13
2005-01-20,26.54,1.31,80.5,5.4
2005-01-21,26.78,3.07,78.71,5.93
2005-01-22,26.51,0.93,78.23,5.23
2005-01-23,26.4,0.36,77.97,4.14
2005-01-24,26.49,0.27,79.62,3.56
2005-01-25,26.35,0.02,78.37,3.5
2005-01-26,25.91,0.0,80.08,3.54
2005-01-27,25.73,0.01,79.04,3.41
2005-01-28,26.38,0.12,72.63,2.95
2005-01-29,26.27,0.26,74.04,3.46
2005-01-30,26.66,0.62,72.78,3.48
2005-01-31,26.58,0.66,76.47,3.72
2005-02-01,26.42,0.77,79.7,3.77
2005-02-02,26.41,0.35,77.62,4.27
2005-02-03,26.57,1.28,77.12,4.57
2005-02-04,26.6,0.53,75.93,4.55
2005-02-05,26.4,0.0,72.76,3.83
2005-02-06,26.06,0.0,71.79,4.14
2005-02-07,25.89,0.0,71.81,4.11
2005-02-08,26.24,0.0,73.68,4.78
2005-02-09,26.68,0.16,72.03,5.47
2005-02-10,27.18,0.0,69.59,5.44
2005-02-11,27.01,0.0,70.36,5.08
2005-02-12,26.6,0.0,67.79,5.14
2005-02-13,26.41,0.0,70.34,4.26
2005-02-14,26.18,0.0,69.49,2.92
2005-02-15,26.89,0.0,67.56,2.14
2005-02-16,26.84,0.0,71.76,3.22
2005-02-17,26.94,0.0,73.8,3.29
2005-02-18,26.69,0.0,75.21,2.88
2005-02-19,26.68,0.0,76.19,2.81
2005-02-20,26.64,0.0,75.86,3.36
2005-02-21,26.98,0.06,74.58,3.38
2005-02-22,27.58,0.51,75.11,3.54
2005-02-23,27.91,0.35,77.02,3.58
2005-02-24,27.81,0.02,76.88,3.81
2005-02-25,27.53,0.0,71.51,3.31
2005-02-26,27.43,0.0,69.72,2.92
2005-02-27,27.37,0.0,65.42,3.37
2005-02-28,27.22,0.0,70.15,3.36
2005-03-01,27.17,0.0,74.49,3.74
2005-03-02,27.35,0.0,73.26,3.47
2005-03-03,27.32,0.0,75.84,3.51
2005-03-04,27.86,0.09,75.42,3.38
2005-03-05,28.23,4.17,77.56,3.7
2005-03-06,28.03,0.94,75.72,3.59
2005-03-07,28.17,0.61,75.74,3.64
2005-03-08,28.45,0.79,72.52,3.43
2005-03-09,27.96,1.22,77.5,3.26
2005-03-10,28.22,0.86,73.75,2.49
2005-03-11,28.42,0.54,74.78,2.85
2005-03-12,28.85,0.45,73.72,3.44
2005-03-13,28.63,4.97,75.86,3.48
2005-03-14,28.09,0.26,75.08,3.12
2005-03-15,27.88,0.0,71.33,3.35
2005-03-16,27.87,0.0,69.74,3.33
2005-03-17,27.44,0.0,71.87,3.83
2005-03-18,27.68,0.13,72.41,2.94
