Date,Temperature,Rainfall,Humidity,WindSpeed
2005-01-01,21.99,0.03,73.64,1.26
2005-01-02,21.43,0.06,73.82,1.35
2005-01-03,21.9,0.13,75.41,1.14
2005-01-04,22.45,0.0,68.45,1.66
2005-01-05,20.65,0.0,63.23,1.61
2005-01-06,19.84,0.0,66.39,1.64
2005-01-07,19.96,0.0,69.89,1.78
2005-01-08,20.52,0.0,68.39,1.62
2005-01-09,20.54,0.0,64.68,1.61
2005-01-10,20.71,0.0,60.34,0.97
2005-01-11,20.83,0.0,52.17,0.88
2005-01-12,21.14,0.0,51.96,1.16
2005-01-13,20.83,0.0,59.88,1.27
2005-01-14,20.07,0.0,63.92,1.74
2005-01-15,19.97,0.0,62.86,1.51
2005-01-16,20.23,0.0,62.75,1.06
2005-01-17,21.86,0.0,65.16,0.81
2005-01-18,22.9,0.0,64.47,0.67
2005-01-19,23.31,0.0,68.92,1.21
2005-01-20,22.98,0.0,63.44,1.95
2005-01-21,22.78,0.04,66.52,2.57
2005-01-22,22.79,0.06,71.25,2.15
2005-01-23,23.81,0.0,67.58,1.38
2005-01-24,23.81,0.0,64.49,1.39
2005-01-25,23.68,0.0,62.93,1.52
2005-01-26,23.59,0.0,61.56,0.94
2005-01-27,22.9,0.56,69.58,1.31
2005-01-28,21.67,0.29,73.72,1.27
2005-01-29,22.0,4.14,70.62,1.14
2005-01-30,21.72,3.65,77.17,1.16
2005-01-31,22.18,3.74,82.2,0.7
2005-02-01,23.1,1.06,75.42,0.95
2005-02-02,23.34,0.47,71.42,1.01
2005-02-03,23.79,0.13,69.72,1.49
2005-02-04,23.77,0.06,70.62,1.45
2005-02-05,24.16,0.01,67.57,1.42
2005-02-06,23.96,0.0,63.71,1.47
2005-02-07,22.37,0.0,51.8,1.74
2005-02-08,21.86,0.0,59.52,1.86
2005-02-09,22.01,0.0,57.22,2.5
2005-02-10,21.45,0.0,58.33,2.52
2005-02-11,21.65,0.0,53.9,2.15
2005-02-12,21.68,0.0,50.9,2.13
2005-02-13,21.77,0.0,40.98,1.93
2005-02-14,23.06,0.0,33.86,1.72
2005-02-15,24.63,0.0,34.1,1.18
2005-02-16,25.67,0.0,32.01,1.38
2005-02-17,25.63,0.0,42.46,1.38
2005-02-18,25.42,0.0,46.45,1.47
2005-02-19,25.0,0.0,37.54,1.48
2005-02-20,24.28,0.0,40.48,1.62
2005-02-21,24.82,0.0,46.61,1.29
2005-02-22,25.51,0.21,54.53,1.27
2005-02-23,25.99,0.08,59.42,1.5
2005-02-24,26.48,0.0,57.34,1.54
2005-02-25,25.86,0.0,43.18,1.77
2005-02-26,25.48,0.0,40.97,1.68
2005-02-27,24.39,0.0,37.48,1.74
2005-02-28,23.47,0.0,32.13,1.62
2005-03-01,24.35,0.0,45.55,1.8
2005-03-02,25.17,0.0,41.95,1.34
2005-03-03,25.23,0.0,43.54,1.69
2005-03-04,26.43,0.29,43.8,1.48
2005-03-05,27.01,0.71,53.7,1.63
2005-03-06,26.75,0.01,56.18,1.67
2005-03-07,26.56,0.0,48.94,1.81
2005-03-08,25.54,0.0,56.88,1.82
2005-03-09,25.2,0.0,57.58,1.42
2005-03-10,25.46,4.8,57.2,0.7
2005-03-11,24.92,1.82,62.06,0.8
2005-03-12,26.35,0.62,58.53,0.77
2005-03-13,26.01,10.61,64.22,1.13
2005-03-14,23.97,12.67,71.54,1.48
2005-03-15,24.97,0.66,64.91,1.35
2005-03-16,24.33,0.0,58.38,1.48
2005-03-17,23.91,0.0,52.51,1.88
2005-03-18,23.59,0.0,47.32,1.53
2005-03-19,24.53,0.0,46.81,1.56
2005-03-20,25.17,0.0,52.92,1.19
2005-03-21,25.84,0.0,55.2,1.32
2005-03-22,26.68,0.0,56.82,1.23
2005-03-23,26.87,0.0,62.12,1.22
2005-03-24,27.89,0.06,53.51,1.46
2005-03-25,27.95,0.01,45.5,1.67
2005-03-26,26.83,0.0,52.88,1.56
2005-03-27,28.38,0.0,52.43,1.2
2005-03-28,29.03,0.0,51.46,1.36
2005-03-29,28.3,0.0,55.56,1.98
2005-03-30,27.88,3.28,59.23,1.52
2005-03-31,26.69,0.11,63.38,1.3
2005-04-01,27.96,0.59,55.53,0.87
2005-04-02,28.58,0.04,51.03,1.74
2005-04-03,27.03,7.26,63.5,1.98
2005-04-04,23.64,2.08,79.0,1.53
2005-04-05,22.58,3.18,83.43,2.2
2005-04-06,24.1,16.3,79.87,1.34
2005-04-07,23.09,7.06,83.6,1.79
2005-04-08,25.45,0.33,71.59,1.58
2005-04-09,25.38,0.14,73.54,1.52
2005-04-10,25.6,1.44,74.22,0.85
2005-04-11,25.03,0.54,75.54,0.96
2005-04-12,25.66,0.34,71.53,1.07
2005-04-13,25.54,0.52,72.81,1.11
2005-04-14,26.71,0.16,66.0,1.11
2005-04-15,27.08,0.7,62.47,1.46
2005-04-16,26.63,0.11,61.8,1.1
2005-04-17,26.84,0.01,57.96,1.27
2005-04-18,25.97,0.14,64.34,0.95
2005-04-19,26.82,0.69,62.33,1.28
2005-04-20,24.67,1.8,73.12,1.49
2005-04-21,25.12,0.21,64.38,1.44
2005-04-22,25.33,0.0,67.86,1.16
2005-04-23,26.86,0.79,61.69,1.21
2005-04-24,26.3,0.15,67.83,1.14
2005-04-25,25.63,1.43,67.33,0.82
2005-04-26,25.97,4.64,71.36,0.92
2005-04-27,26.43,1.59,71.64,0.6
2005-04-28,27.69,0.01,64.42,0.74
2005-04-29,28.51,0.01,62.15,0.86
2005-04-30,26.89,2.36,68.79,1.03
2005-05-01,26.09,7.62,76.01,0.83
2005-05-02,25.19,1.22,78.14,1.25
2005-05-03,26.8,0.09,64.57,1.12
2005-05-04,24.88,2.65,73.48,1.45
2005-05-05,26.16,1.59,69.18,1.16
2005-05-06,26.54,3.86,68.69,1.39
2005-05-07,26.86,4.01,67.47,1.4
2005-05-08,25.81,0.0,68.21,1.43
2005-05-09,27.14,0.11,63.68,1.72
2005-05-10,26.22,0.05,67.87,1.92
2005-05-11,26.02,0.09,72.29,1.92
2005-05-12,27.81,1.71,66.11,1.0
2005-05-13,26.36,0.2,72.81,1.21
2005-05-14,27.95,0.57,63.03,1.54
2005-05-15,27.89,0.25,63.81,2.01
2005-05-16,28.31,0.02,60.32,1.88
2005-05-17,28.26,0.01,58.73,1.76
2005-05-18,29.58,0.01,55.72,1.87
2005-05-19,30.4,0.0,53.39,1.7
2005-05-20,29.81,0.0,56.35,1.42
2005-05-21,28.32,0.76,62.47,1.68
2005-05-22,29.44,1.12,59.0,1.62
2005-05-23,27.68,3.44,66.22,1.46
2005-05-24,27.07,0.08,68.6,1.51
2005-05-25,26.93,0.97,67.24,1.18
2005-05-26,26.0,33.57,74.32,1.19
2005-05-27,24.41,12.06,82.25,1.44
2005-05-28,24.7,1.53,74.45,1.74
2005-05-29,24.93,3.01,73.89,1.21
2005-05-30,25.17,1.13,73.6,1.66
2005-05-31,23.49,8.78,86.17,1.45
2005-06-01,25.11,1.9,78.75,2.42
2005-06-02,24.49,1.93,81.56,2.22
2005-06-03,25.58,0.24,75.66,1.43
2005-06-04,25.14,2.98,79.57,1.23
2005-06-05,25.3,5.54,79.74,1.01
2005-06-06,23.59,3.45,87.06,1.82
2005-06-07,24.53,0.49,80.29,1.85
2005-06-08,25.12,2.81,77.69,2.36
2005-06-09,23.12,3.66,86.75,3.72
2005-06-10,22.61,1.96,82.59,4.25
2005-06-11,24.23,0.44,76.84,3.19
2005-06-12,24.67,4.24,76.37,3.17
2005-06-13,23.75,3.51,82.41,2.39
2005-06-14,23.81,0.3,82.09,2.41
2005-06-15,24.46,0.72,77.66,2.17
2005-06-16,24.26,11.29,82.83,2.97
2005-06-17,23.88,6.09,83.2,4.14
2005-06-18,22.94,4.42,81.31,4.17
2005-06-19,23.58,7.68,82.21,4.2
2005-06-20,23.34,16.14,84.03,4.13
2005-06-21,23.6,11.79,82.37,4.18
2005-06-22,22.12,5.65,79.82,4.3
2005-06-23,23.28,1.08,78.87,3.55
2005-06-24,23.87,3.66,80.83,3.77
2005-06-25,23.85,2.18,82.28,3.33
2005-06-26,23.14,1.06,85.07,3.05
2005-06-27,22.93,1.25,86.26,3.03
2005-06-28,22.93,2.66,82.92,3.87
2005-06-29,23.23,2.94,81.83,3.64
2005-06-30,23.42,7.37,84.88,2.96
2005-07-01,23.1,9.55,85.51,3.43
2005-07-02,23.09,3.78,82.83,3.33
