Date,Temperature,Rainfall,Humidity,WindSpeed
2005-01-01,21.67,0.0,81.1,1.51
2005-01-02,22.17,0.0,83.32,1.57
2005-01-03,22.75,0.01,82.52,1.73
2005-01-04,22.01,0.03,82.1,2.06
2005-01-05,21.38,0.0,81.13,2.03
2005-01-06,21.32,0.0,81.74,2.12
2005-01-07,22.12,0.0,80.65,2.07
2005-01-08,21.83,0.0,80.39,1.97
2005-01-09,21.44,0.0,78.94,1.89
2005-01-10,21.21,0.0,73.33,1.3
2005-01-11,21.75,0.0,70.97,1.23
2005-01-12,22.02,0.0,73.98,1.59
2005-01-13,22.2,0.0,76.91,1.83
2005-01-14,21.98,0.0,77.27,1.95
2005-01-15,21.33,0.0,74.67,1.77
2005-01-16,21.94,0.0,75.19,1.59
2005-01-17,22.93,0.0,74.21,1.5
2005-01-18,24.32,0.0,72.03,1.45
2005-01-19,24.31,0.0,76.87,1.67
2005-01-20,23.95,0.0,76.58,2.37
2005-01-21,24.39,0.4,76.55,2.64
2005-01-22,24.38,0.22,76.03,2.27
2005-01-23,24.73,0.06,74.81,1.84
2005-01-24,25.09,0.01,74.65,1.61
2005-01-25,25.19,0.0,72.77,1.67
2005-01-26,25.02,0.0,71.48,1.49
2005-01-27,24.34,0.1,75.68,1.91
2005-01-28,23.35,0.05,78.79,1.61
2005-01-29,23.99,0.0,73.44,2.02
2005-01-30,24.46,0.05,72.21,2.2
2005-01-31,24.76,0.45,74.92,2.36
2005-02-01,23.46,3.19,85.55,1.79
2005-02-02,25.04,0.71,78.21,2.51
2005-02-03,25.02,2.05,76.92,2.65
2005-02-04,24.97,0.41,74.45,2.4
2005-02-05,25.0,0.0,68.5,1.82
2005-02-06,24.4,0.0,65.87,1.7
2005-02-07,23.41,0.0,70.14,2.04
2005-02-08,23.55,0.0,73.76,2.45
2005-02-09,23.9,0.0,69.63,2.53
2005-02-10,24.12,0.0,69.49,2.48
2005-02-11,24.18,0.0,69.83,2.26
2005-02-12,23.75,0.0,66.55,1.97
2005-02-13,24.1,0.0,56.4,1.84
2005-02-14,24.96,0.0,45.38,1.77
2005-02-15,25.92,0.0,48.59,1.73
2005-02-16,26.76,0.0,51.03,2.13
2005-02-17,26.49,0.0,57.3,2.28
2005-02-18,26.84,0.0,56.93,2.47
2005-02-19,25.58,0.0,62.29,2.16
2005-02-20,25.34,0.0,63.84,2.13
2005-02-21,24.95,0.0,69.86,2.1
2005-02-22,26.65,0.15,70.0,2.15
2005-02-23,27.68,0.02,65.63,2.15
2005-02-24,27.86,0.0,59.96,2.1
2005-02-25,27.19,0.0,58.66,2.06
2005-02-26,26.94,0.0,55.05,1.91
2005-02-27,26.58,0.0,51.87,2.12
2005-02-28,26.84,0.0,54.99,2.28
2005-03-01,27.12,0.0,60.57,2.15
2005-03-02,27.39,0.0,59.78,2.03
2005-03-03,27.39,0.0,60.18,2.08
2005-03-04,27.73,0.0,63.38,2.32
2005-03-05,28.61,0.0,63.79,2.36
2005-03-06,28.2,0.0,61.25,2.28
2005-03-07,28.18,0.0,63.45,2.38
2005-03-08,27.37,0.33,64.47,2.25
2005-03-09,27.35,0.32,69.8,1.99
2005-03-10,28.04,0.03,63.55,1.58
2005-03-11,27.46,2.57,66.75,1.54
2005-03-12,28.82,0.24,63.8,2.1
2005-03-13,28.43,0.6,67.06,2.61
2005-03-14,28.73,0.3,53.28,2.45
2005-03-15,28.61,0.0,57.29,2.32
2005-03-16,28.45,0.0,52.45,2.16
2005-03-17,27.5,0.0,55.83,2.47
2005-03-18,27.8,0.0,51.04,2.24
2005-03-19,28.33,0.0,50.9,1.97
2005-03-20,29.02,0.0,57.67,2.13
2005-03-21,29.35,0.0,55.44,2.05
2005-03-22,29.23,0.0,57.2,2.25
2005-03-23,30.53,0.0,56.34,3.2
2005-03-24,32.19,0.39,50.4,2.46
2005-03-25,31.8,0.2,55.27,2.56
2005-03-26,32.18,0.0,51.61,2.2
2005-03-27,31.16,0.0,54.84,2.51
2005-03-28,31.21,0.0,53.84,2.44
2005-03-29,32.09,0.0,49.32,2.43
2005-03-30,32.1,0.08,55.46,2.85
2005-03-31,31.39,0.0,54.79,3.0
2005-04-01,31.24,0.75,54.81,2.82
2005-04-02,30.77,1.35,59.77,2.73
2005-04-03,28.37,14.36,74.65,2.15
2005-04-04,26.61,19.16,80.54,2.46
2005-04-05,25.41,53.97,91.26,1.95
2005-04-06,25.05,22.5,89.31,1.39
2005-04-07,26.09,5.17,85.0,0.91
2005-04-08,26.94,0.19,81.53,1.22
2005-04-09,27.9,0.26,75.15,1.61
2005-04-10,27.74,1.48,80.42,1.78
2005-04-11,27.01,0.76,84.99,1.25
2005-04-12,27.13,0.04,86.73,1.26
2005-04-13,27.3,0.15,82.38,1.83
2005-04-14,27.49,0.08,77.5,1.7
2005-04-15,28.08,0.32,72.93,1.89
2005-04-16,28.33,0.0,69.65,1.9
2005-04-17,28.29,0.0,65.03,1.87
2005-04-18,28.15,0.03,68.49,2.03
2005-04-19,28.59,1.2,70.34,2.07
2005-04-20,27.57,1.16,76.9,2.02
2005-04-21,27.91,0.02,69.47,2.11
2005-04-22,28.14,0.0,69.39,2.15
2005-04-23,28.99,0.01,68.52,2.42
2005-04-24,28.59,0.0,69.99,1.68
2005-04-25,28.91,0.43,69.34,1.23
2005-04-26,29.11,5.93,71.45,1.74
2005-04-27,29.51,1.34,69.09,1.47
2005-04-28,31.14,0.21,64.7,1.6
2005-04-29,31.56,0.04,63.43,1.76
2005-04-30,30.94,0.66,66.91,2.49
2005-05-01,29.66,15.42,73.44,2.5
2005-05-02,28.73,5.59,75.9,1.83
2005-05-03,29.78,8.69,69.76,1.74
2005-05-04,27.47,13.2,80.62,1.75
2005-05-05,28.37,4.81,75.12,1.48
2005-05-06,30.05,0.25,69.3,1.66
2005-05-07,30.48,0.01,67.42,1.94
2005-05-08,30.39,0.05,66.26,1.85
2005-05-09,30.18,0.01,59.77,2.79
2005-05-10,31.95,0.1,58.02,3.1
2005-05-11,31.85,0.02,60.96,2.26
2005-05-12,31.66,0.01,60.59,2.4
2005-05-13,31.76,0.0,61.21,2.51
2005-05-14,32.14,0.0,59.2,3.16
2005-05-15,32.91,0.03,47.93,2.92
2005-05-16,32.18,0.04,51.64,2.61
2005-05-17,31.99,0.0,52.26,2.36
2005-05-18,32.08,0.0,55.42,2.29
2005-05-19,31.14,0.0,60.63,2.57
2005-05-20,30.68,0.0,64.06,2.91
2005-05-21,31.19,1.34,63.91,2.54
2005-05-22,31.95,2.04,63.94,1.53
2005-05-23,30.89,3.36,68.13,1.89
2005-05-24,31.61,1.6,61.76,2.46
2005-05-25,30.42,1.2,66.73,1.82
2005-05-26,29.93,2.33,71.59,2.0
2005-05-27,28.97,12.35,74.47,1.61
2005-05-28,29.77,0.35,65.6,2.34
2005-05-29,29.05,2.65,67.83,2.61
2005-05-30,28.69,1.19,70.19,1.67
2005-05-31,29.1,9.13,72.81,1.26
2005-06-01,30.08,2.01,67.75,2.61
2005-06-02,30.05,1.66,67.73,2.77
2005-06-03,29.58,2.92,70.41,2.02
2005-06-04,30.17,2.24,69.72,1.79
2005-06-05,30.65,1.21,65.46,1.99
2005-06-06,29.97,0.07,65.97,2.29
2005-06-07,29.82,0.86,66.21,2.41
2005-06-08,30.93,1.47,63.65,2.06
2005-06-09,28.09,1.45,74.93,2.13
2005-06-10,27.79,1.7,71.96,3.37
2005-06-11,29.91,0.01,62.35,3.68
2005-06-12,30.73,0.0,59.36,2.58
2005-06-13,31.68,0.21,57.26,1.93
2005-06-14,31.04,0.0,57.12,2.39
2005-06-15,31.3,0.0,58.04,2.21
2005-06-16,31.66,0.01,54.59,2.53
2005-06-17,31.75,0.0,53.62,4.05
2005-06-18,30.1,0.01,57.18,4.48
2005-06-19,30.43,0.0,56.57,3.77
2005-06-20,29.11,1.53,64.9,3.74
2005-06-21,28.64,0.65,61.95,3.8
2005-06-22,29.09,1.13,59.38,3.7
2005-06-23,28.97,0.01,57.71,3.19
2005-06-24,28.51,1.47,63.4,2.95
2005-06-25,29.75,1.19,59.77,3.31
2005-06-26,29.39,0.01,58.73,3.56
2005-06-27,29.41,0.06,59.42,3.79
2005-06-28,29.62,0.01,57.74,4.28
2005-06-29,30.34,0.0,54.3,3.67
2005-06-30,30.08,0.37,56.61,3.19
2005-07-01,29.99,1.01,58.51,3.79
2005-07-02,29.94,0.98,58.01,3.54
2005-07-03,30.41,0.07,56.49,3.99
2005-07-04,30.35,0.37,55.92,4.2
2005-07-05,29.97,0.85,55.64,4.76
2005-07-06,29.96,0.19,53.3,4.05
2005-07-07,29.93,0.0,55.84,3.87
2005-07-08,29.97,1.02,55.95,3.64
2005-07-09,30.12,0.77,53.28,4.57
2005-07-10,29.24,3.74,54.96,2.87
2005-07-11,29.17,0.62,58.94,2.97
2005-07-12,29.64,0.44,60.51,2.53
2005-07-13,28.93,1.77,67.41,1.73
2005-07-14,27.84,5.73,74.33,1.42
2005-07-15,27.75,6.22,73.59,1.38
2005-07-16,27.22,5.8,77.81,1.11
2005-07-17,27.58,1.79,75.07,0.93
2005-07-18,29.34,0.11,67.08,1.32
2005-07-19,29.37,0.97,68.19,1.02
2005-07-20,28.97,13.72,70.87,1.79
2005-07-21,29.2,1.2,67.28,2.64
2005-07-22,28.17,5.26,68.58,3.37
2005-07-23,27.15,16.28,71.56,3.9
2005-07-24,26.56,6.46,74.29,4.33
2005-07-25,28.03,3.08,67.76,4.66
2005-07-26,28.48,1.37,65.15,4.8
2005-07-27,29.19,0.65,62.41,4.9
2005-07-28,29.03,1.64,62.76,4.56
2005-07-29,28.98,0.19,62.25,4.76
2005-07-30,28.7,0.39,63.67,4.42
2005-07-31,28.84,0.84,63.49,4.61
2005-08-01,28.4,0.15,66.4,4.29
2005-08-02,27.83,0.15,66.34,4.18
2005-08-03,28.62,0.06,61.88,3.99
2005-08-04,28.14,0.45,65.78,3.26
2005-08-05,28.23,0.45,64.68,3.56
2005-08-06,29.43,0.07,58.93,3.92
2005-08-07,29.71,0.0,58.84,3.85
2005-08-08,29.24,0.38,61.52,3.5
2005-08-09,29.5,0.41,63.74,2.7
2005-08-10,28.76,8.73,67.33,3.3
2005-08-11,29.55,0.74,62.92,3.8
