Date,Temperature,Rainfall,Humidity,WindSpeed
2005-01-01,22.9,0.01,74.51,1.47
2005-01-02,22.76,0.02,77.18,1.66
2005-01-03,23.77,0.02,78.49,1.5
2005-01-04,23.32,0.0,72.0,2.04
2005-01-05,22.16,0.0,73.73,2.0
2005-01-06,21.45,0.0,74.33,2.11
2005-01-07,22.17,0.0,74.92,2.36
2005-01-08,22.41,0.0,73.84,2.15
2005-01-09,21.93,0.0,72.87,2.19
2005-01-10,21.85,0.0,67.41,1.42
2005-01-11,22.23,0.0,65.59,1.19
2005-01-12,22.28,0.0,65.6,1.51
2005-01-13,22.39,0.0,68.58,1.91
2005-01-14,22.13,0.0,71.32,2.2
2005-01-15,21.89,0.0,69.36,1.83
2005-01-16,22.12,0.0,70.45,1.53
2005-01-17,23.41,0.0,71.02,1.36
2005-01-18,24.79,0.0,71.56,1.29
2005-01-19,25.23,0.0,72.61,1.61
2005-01-20,24.72,0.01,69.48,2.53
2005-01-21,24.66,0.64,71.22,3.11
2005-01-22,24.78,0.28,73.83,2.48
2005-01-23,25.48,0.01,69.54,2.0
2005-01-24,25.64,0.0,69.01,1.8
2005-01-25,25.31,0.0,67.81,1.97
2005-01-26,25.32,0.0,67.88,1.67
2005-01-27,25.16,0.28,69.21,1.63
2005-01-28,23.77,0.16,73.06,1.22
2005-01-29,24.53,0.6,68.36,1.69
2005-01-30,25.02,0.58,69.75,1.76
2005-01-31,24.82,2.43,76.93,1.57
2005-02-01,23.62,1.74,84.12,1.76
2005-02-02,25.86,0.48,72.23,1.99
2005-02-03,25.67,1.73,72.18,2.26
2005-02-04,25.6,0.51,72.04,2.21
2005-02-05,26.04,0.0,66.53,1.82
2005-02-06,25.53,0.0,62.75,1.88
2005-02-07,24.14,0.0,62.49,2.08
2005-02-08,24.36,0.0,65.86,2.57
2005-02-09,24.2,0.0,64.29,2.92
2005-02-10,24.1,0.0,63.05,2.96
2005-02-11,24.3,0.0,61.88,2.6
2005-02-12,23.72,0.0,59.51,2.55
2005-02-13,23.78,0.0,52.29,2.29
2005-02-14,24.67,0.0,46.08,1.91
2005-02-15,25.97,0.0,41.58,1.38
2005-02-16,26.89,0.0,41.03,1.21
2005-02-17,27.32,0.0,44.67,1.39
2005-02-18,27.57,0.0,43.76,1.66
2005-02-19,26.6,0.0,48.75,1.73
2005-02-20,26.02,0.0,51.19,1.77
2005-02-21,25.81,0.0,58.32,1.6
2005-02-22,27.54,1.29,64.13,1.72
2005-02-23,28.39,0.14,59.89,1.87
2005-02-24,28.67,0.0,57.46,2.09
2005-02-25,27.43,0.0,52.94,2.12
2005-02-26,27.46,0.0,48.28,2.25
2005-02-27,26.75,0.0,44.58,2.22
2005-02-28,26.67,0.0,43.24,2.12
2005-03-01,27.72,0.0,51.49,2.43
2005-03-02,27.79,0.0,50.03,1.75
2005-03-03,28.44,0.0,51.33,1.98
2005-03-04,29.06,0.0,50.3,1.79
2005-03-05,29.57,0.22,57.14,2.39
2005-03-06,29.21,0.01,54.66,2.19
2005-03-07,29.25,0.0,53.65,2.29
2005-03-08,28.19,0.04,56.5,2.13
2005-03-09,28.45,0.02,59.06,1.92
2005-03-10,27.98,1.86,59.61,0.94
2005-03-11,28.01,2.14,58.27,0.88
2005-03-12,29.49,0.28,56.71,1.18
2005-03-13,29.03,6.9,61.71,1.37
2005-03-14,27.42,5.36,66.4,2.13
2005-03-15,27.94,0.0,58.46,1.54
2005-03-16,27.54,0.0,54.01,1.72
2005-03-17,27.22,0.0,50.38,2.43
2005-03-18,27.16,0.0,48.77,1.65
2005-03-19,28.35,0.06,49.42,1.63
2005-03-20,29.16,0.0,50.86,1.02
2005-03-21,30.25,0.0,47.48,1.5
2005-03-22,30.49,0.0,46.1,1.25
2005-03-23,31.46,0.0,44.11,1.59
2005-03-24,32.77,0.51,43.55,1.79
2005-03-25,32.91,0.12,39.95,1.85
2005-03-26,32.18,0.0,39.77,2.07
2005-03-27,32.19,0.0,43.25,1.7
2005-03-28,32.79,0.0,41.53,1.97
2005-03-29,33.37,0.0,39.41,1.52
2005-03-30,32.96,1.27,44.27,2.4
2005-03-31,31.63,0.04,46.76,1.4
2005-04-01,32.17,0.37,44.93,2.22
2005-04-02,31.53,0.27,53.05,2.83
2005-04-03,28.4,24.06,69.86,2.21
2005-04-04,25.4,22.53,83.47,2.61
2005-04-05,25.05,15.71,86.06,2.45
2005-04-06,26.0,17.55,82.52,1.18
2005-04-07,24.91,11.81,87.79,1.48
