Date,Temperature,Rainfall,Humidity,WindSpeed
2005-01-01,22.7,0.03,86.16,1.53
2005-01-02,23.5,0.02,82.97,1.92
2005-01-03,23.05,0.02,82.67,1.69
2005-01-04,23.1,0.0,80.61,1.98
2005-01-05,22.72,0.0,81.81,1.96
2005-01-06,22.03,0.0,77.99,1.94
2005-01-07,22.48,0.0,80.23,2.17
2005-01-08,22.88,0.0,79.27,1.99
2005-01-09,21.67,0.0,80.07,1.84
2005-01-10,22.29,0.0,71.45,1.44
2005-01-11,22.7,0.0,68.06,1.28
2005-01-12,22.72,0.0,62.41,1.54
2005-01-13,22.7,0.0,74.02,1.59
2005-01-14,22.13,0.0,73.33,2.15
2005-01-15,22.28,0.0,73.36,1.91
2005-01-16,22.81,0.0,73.84,1.62
2005-01-17,24.12,0.0,73.77,1.28
2005-01-18,25.6,0.25,74.89,0.82
2005-01-19,26.16,0.19,75.48,1.5
2005-01-20,25.99,0.09,72.7,2.68
2005-01-21,25.34,0.49,76.55,3.75
2005-01-22,25.41,0.54,77.58,3.3
2005-01-23,25.67,0.07,74.32,2.55
2005-01-24,24.95,0.07,79.79,2.07
2005-01-25,25.68,0.0,73.94,2.21
2005-01-26,25.82,0.0,70.11,1.95
2005-01-27,25.69,0.75,73.56,1.35
2005-01-28,23.96,0.44,79.11,1.45
2005-01-29,25.2,9.41,76.75,1.09
2005-01-30,25.14,4.85,79.71,1.34
2005-01-31,26.29,0.69,75.88,0.94
2005-02-01,27.08,0.08,73.06,0.79
2005-02-02,26.32,0.04,74.6,1.65
2005-02-03,26.53,0.0,70.99,1.88
2005-02-04,26.56,0.0,68.08,2.26
2005-02-05,26.29,0.01,69.99,1.84
2005-02-06,26.31,0.0,65.76,1.94
2005-02-07,24.77,0.0,64.89,2.03
2005-02-08,25.5,0.0,67.12,2.49
2005-02-09,25.3,0.0,65.79,3.41
2005-02-10,25.66,0.0,65.6,3.35
2005-02-11,25.0,0.0,65.31,2.74
2005-02-12,24.79,0.0,64.9,2.94
2005-02-13,24.77,0.0,62.31,2.47
2005-02-14,24.7,0.0,62.46,2.11
2005-02-15,26.18,0.0,57.2,1.21
2005-02-16,27.01,0.0,52.7,1.24
2005-02-17,27.58,0.0,57.23,1.35
2005-02-18,27.27,0.0,52.19,1.69
2005-02-19,26.72,0.0,53.47,1.71
2005-02-20,25.87,0.0,61.53,1.5
2005-02-21,27.51,0.12,59.28,1.07
2005-02-22,27.97,0.52,66.43,1.61
2005-02-23,29.03,0.08,62.59,1.92
2005-02-24,29.25,0.0,60.68,2.24
2005-02-25,29.11,0.0,56.35,2.1
2005-02-26,27.54,0.0,52.54,1.99
2005-02-27,26.97,0.0,56.61,1.82
2005-02-28,27.22,0.0,49.92,1.76
2005-03-01,26.61,0.0,58.02,1.85
2005-03-02,28.01,0.0,55.76,1.74
2005-03-03,28.55,0.0,54.36,1.88
2005-03-04,29.3,1.47,52.52,1.55
2005-03-05,28.19,6.6,68.5,1.44
2005-03-06,26.91,2.65,76.35,1.41
2005-03-07,26.99,0.12,72.7,1.87
2005-03-08,26.62,0.0,70.29,1.51
2005-03-09,27.0,0.02,69.61,1.61
2005-03-10,27.9,0.34,65.98,0.98
2005-03-11,27.94,4.44,68.96,1.15
2005-03-12,28.69,0.71,63.39,0.98
2005-03-13,29.47,1.51,62.82,0.88
2005-03-14,28.87,1.2,64.01,1.6
2005-03-15,28.73,0.0,59.49,1.77
2005-03-16,28.24,0.0,56.12,1.98
2005-03-17,27.52,0.0,55.08,2.3
2005-03-18,28.47,0.02,55.48,1.84
2005-03-19,29.7,0.74,56.33,1.74
2005-03-20,30.37,0.02,54.86,1.41
2005-03-21,30.9,0.0,51.88,1.52
2005-03-22,31.59,0.0,50.02,1.12
2005-03-23,31.73,0.0,51.23,1.84
2005-03-24,31.94,0.11,50.62,1.87
2005-03-25,31.43,0.0,49.69,1.69
2005-03-26,30.94,0.0,46.17,1.63
2005-03-27,31.93,0.34,46.86,2.15
2005-03-28,31.14,0.08,48.88,1.06
2005-03-29,30.13,0.0,59.77,3.07
2005-03-30,29.69,1.75,63.91,2.47
2005-03-31,29.42,0.29,62.25,2.5
2005-04-01,31.17,0.0,52.84,1.78
2005-04-02,29.15,12.61,67.68,1.39
2005-04-03,26.17,17.78,86.41,1.24
2005-04-04,25.2,89.73,87.66,1.1
2005-04-05,24.7,27.84,92.9,1.71
2005-04-06,25.78,31.51,88.98,0.9
2005-04-07,25.29,16.12,90.35,1.43
2005-04-08,25.42,1.83,90.19,1.66
2005-04-09,25.6,0.05,89.47,1.44
2005-04-10,25.86,2.39,89.59,1.43
2005-04-11,25.98,11.08,90.59,1.31
2005-04-12,26.02,1.54,89.12,1.4
2005-04-13,26.13,4.16,87.45,0.95
2005-04-14,26.74,0.27,82.18,0.73
2005-04-15,26.76,1.46,82.49,0.95
2005-04-16,26.86,12.43,80.38,0.86
2005-04-17,26.82,7.4,81.77,0.78
2005-04-18,26.79,5.98,82.7,0.8
2005-04-19,25.8,13.17,88.27,0.86
2005-04-20,25.36,16.45,90.42,1.28
2005-04-21,25.59,1.88,86.44,1.18
2005-04-22,25.56,0.42,86.55,1.01
2005-04-23,26.47,0.29,84.09,0.84
2005-04-24,26.12,0.43,88.67,0.75
2005-04-25,26.26,7.1,86.62,0.59
2005-04-26,27.07,0.81,83.66,0.58
2005-04-27,26.4,0.01,88.86,1.01
2005-04-28,26.66,0.0,88.12,1.28
2005-04-29,27.62,0.02,85.76,1.03
2005-04-30,27.58,3.44,85.14,1.42
2005-05-01,27.42,0.71,83.72,1.42
2005-05-02,26.82,27.46,86.9,0.81
2005-05-03,26.64,5.89,87.17,1.52
2005-05-04,26.38,0.16,84.91,1.62
2005-05-05,26.5,0.0,82.02,1.68
2005-05-06,26.5,0.17,83.54,1.58
2005-05-07,26.11,0.62,86.89,1.79
2005-05-08,27.12,0.02,82.68,1.59
2005-05-09,26.86,0.01,81.13,2.74
2005-05-10,26.51,0.0,79.81,2.57
2005-05-11,26.26,0.08,83.37,2.1
2005-05-12,26.88,0.06,85.19,2.04
2005-05-13,26.69,0.0,85.78,1.75
2005-05-14,26.57,2.56,88.26,1.69
2005-05-15,26.8,0.34,86.39,2.12
2005-05-16,26.39,0.0,87.04,2.29
2005-05-17,27.01,0.01,79.5,2.81
2005-05-18,28.05,0.0,76.61,2.52
2005-05-19,28.37,0.0,78.87,2.17
2005-05-20,28.5,0.01,78.04,1.9
2005-05-21,27.76,0.02,80.36,2.17
2005-05-22,27.76,1.41,80.78,2.57
2005-05-23,27.85,0.42,79.49,2.78
2005-05-24,27.51,0.02,82.38,2.6
2005-05-25,27.32,0.44,83.61,1.58
2005-05-26,27.38,25.12,81.64,1.91
2005-05-27,26.94,10.58,84.72,2.39
2005-05-28,26.68,0.18,81.93,1.64
2005-05-29,26.65,72.63,84.94,2.13
2005-05-30,25.64,23.94,88.34,2.35
2005-05-31,25.78,4.29,87.31,2.96
2005-06-01,26.06,3.29,88.13,2.86
2005-06-02,26.35,0.45,87.42,3.13
2005-06-03,26.28,0.08,89.35,2.68
2005-06-04,25.82,11.53,91.29,2.06
2005-06-05,25.47,20.88,91.37,2.13
2005-06-06,25.53,5.53,90.11,2.33
2005-06-07,25.71,6.45,90.05,2.29
2005-06-08,26.55,10.64,90.13,2.89
2005-06-09,25.9,40.24,91.45,3.63
2005-06-10,25.92,14.41,89.01,3.71
2005-06-11,26.08,4.69,89.05,3.37
2005-06-12,25.98,6.36,88.82,2.91
2005-06-13,25.06,6.85,89.52,3.59
2005-06-14,25.64,1.32,86.17,2.86
2005-06-15,25.31,4.89,86.73,3.34
2005-06-16,25.14,27.77,91.12,3.72
2005-06-17,24.9,13.0,90.36,4.49
2005-06-18,24.8,3.72,88.65,4.19
2005-06-19,25.1,24.98,89.08,4.23
2005-06-20,25.08,17.3,89.64,4.4
2005-06-21,24.78,7.0,89.37,4.42
2005-06-22,25.04,1.27,88.37,3.55
2005-06-23,25.28,0.18,89.71,3.5
2005-06-24,25.71,4.64,88.33,3.91
2005-06-25,25.58,14.79,89.59,3.61
2005-06-26,24.98,5.61,90.02,3.33
2005-06-27,25.05,1.25,89.77,3.18
2005-06-28,25.11,0.52,88.65,3.16
2005-06-29,24.44,1.16,89.67,2.78
2005-06-30,24.92,14.18,88.87,2.91
2005-07-01,25.17,12.12,89.95,3.0
2005-07-02,24.71,3.08,91.67,2.49
2005-07-03,24.77,6.83,90.58,3.04
2005-07-04,25.01,8.57,90.99,3.55
2005-07-05,25.14,5.36,90.26,3.62
2005-07-06,24.48,0.98,88.99,3.71
2005-07-07,25.09,0.18,86.47,4.06
2005-07-08,24.98,4.37,89.32,4.23
2005-07-09,24.95,15.32,90.15,4.3
2005-07-10,23.98,19.93,90.76,4.15
2005-07-11,24.27,5.02,89.01,4.09
2005-07-12,24.73,0.45,88.49,3.24
2005-07-13,24.33,1.12,89.62,3.14
2005-07-14,24.29,2.86,90.22,2.44
2005-07-15,24.18,4.17,90.98,2.77
2005-07-16,24.7,6.86,89.5,2.72
2005-07-17,24.58,5.79,88.44,3.7
2005-07-18,24.86,1.07,89.01,3.44
2005-07-19,24.89,0.6,89.49,3.57
2005-07-20,24.98,1.86,88.59,3.84
2005-07-21,24.94,0.04,87.32,3.53
2005-07-22,24.78,5.18,89.15,3.31
2005-07-23,24.69,6.87,89.09,3.67
2005-07-24,24.84,1.31,88.91,4.36
2005-07-25,24.92,1.57,88.91,4.68
2005-07-26,24.79,11.14,89.88,4.67
2005-07-27,25.14,17.98,88.33,4.1
2005-07-28,25.16,26.13,89.08,3.68
2005-07-29,24.61,27.18,90.81,3.67
2005-07-30,23.99,25.94,88.99,4.59
2005-07-31,24.9,14.92,88.91,5.12
2005-08-01,24.81,16.52,89.22,4.85
2005-08-02,24.38,3.49,88.75,4.76
2005-08-03,24.48,1.08,87.76,3.7
2005-08-04,24.58,0.72,88.91,3.47
2005-08-05,24.9,0.31,87.24,3.49
2005-08-06,24.79,0.02,88.72,2.83
2005-08-07,24.92,0.0,87.46,3.14
2005-08-08,24.86,0.0,87.79,3.05
2005-08-09,24.78,0.49,89.57,2.71
2005-08-10,25.17,0.35,87.58,3.75
2005-08-11,25.3,0.17,86.52,4.14
2005-08-12,24.91,0.04,85.77,3.91
2005-08-13,25.21,1.01,87.02,3.49
2005-08-14,24.95,0.41,86.53,3.79
2005-08-15,25.25,1.92,85.72,3.94
2005-08-16,24.86,0.51,87.26,3.57
2005-08-17,24.86,0.02,86.96,2.88
2005-08-18,24.67,0.0,85.46,3.03
2005-08-19,24.61,0.09,88.11,3.08
2005-08-20,24.38,0.0,88.62,2.73
2005-08-21,25.23,0.04,85.07,2.6
2005-08-22,25.22,0.03,85.78,2.05
2005-08-23,25.13,0.29,86.95,2.11
2005-08-24,24.73,0.06,86.48,2.47
2005-08-25,25.0,1.72,86.92,2.63
2005-08-26,25.38,2.9,85.6,2.36
2005-08-27,24.71,5.78,88.33,2.57
2005-08-28,25.0,0.36,88.28,2.13
2005-08-29,25.65,0.4,84.92,2.38
2005-08-30,25.95,5.86,85.07,2.34
2005-08-31,25.48,11.24,87.54,3.28
2005-09-01,25.36,5.37,87.89,2.89
2005-09-02,24.84,26.99,91.46,2.65
2005-09-03,25.07,9.23,91.6,2.93
2005-09-04,24.94,54.96,91.06,4.23
2005-09-05,24.38,24.02,89.12,4.81
2005-09-06,24.13,13.06,90.12,3.69
2005-09-07,24.04,10.44,90.24,4.23
2005-09-08,24.47,2.19,88.43,4.87
2005-09-09,25.07,0.43,87.02,4.43
2005-09-10,24.98,20.02,88.48,4.06
2005-09-11,24.09,18.22,91.13,3.27
2005-09-12,24.42,7.44,89.8,3.75
2005-09-13,24.46,2.56,89.76,3.68
2005-09-14,24.97,0.38,89.53,2.97
2005-09-15,24.58,3.75,90.19,2.12
2005-09-16,25.13,0.22,89.12,2.24
2005-09-17,25.29,0.0,87.52,2.39
2005-09-18,25.12,0.0,87.41,2.99
2005-09-19,24.59,3.13,88.05,3.57
2005-09-20,24.83,5.09,87.74,3.96
2005-09-21,24.58,0.86,88.85,3.06
2005-09-22,24.97,0.04,87.76,2.72
2005-09-23,24.93,0.0,87.63,2.52
2005-09-24,25.07,0.03,86.66,2.37
2005-09-25,25.05,0.39,87.23,2.54
2005-09-26,24.78,0.0,87.56,2.57
2005-09-27,25.22,0.0,86.28,2.79
2005-09-28,24.76,0.55,87.96,2.44
2005-09-29,24.92,0.01,86.2,2.76
2005-09-30,24.64,0.0,85.2,2.6
2005-10-01,24.34,0.01,82.45,1.93
2005-10-02,24.74,0.31,88.91,1.77
2005-10-03,25.42,0.12,86.76,1.72
2005-10-04,25.8,6.97,86.58,1.27
2005-10-05,25.71,1.62,87.01,1.01
2005-10-06,26.48,0.01,83.02,0.78
2005-10-07,25.43,0.07,88.71,1.17
2005-10-08,24.86,10.81,89.4,1.58
2005-10-09,24.62,0.86,86.99,1.39
2005-10-10,25.45,3.95,87.23,1.17
2005-10-11,24.76,33.46,90.49,1.09
2005-10-12,24.39,41.28,93.0,2.2
2005-10-13,24.15,7.42,90.33,2.62
2005-10-14,24.94,4.07,89.14,2.5
2005-10-15,25.18,0.8,89.01,1.54
2005-10-16,25.18,0.0,86.98,1.5
2005-10-17,25.03,0.02,88.14,1.51
2005-10-18,24.47,4.05,90.37,1.37
2005-10-19,24.58,0.79,87.33,2.27
2005-10-20,25.01,0.08,87.37,2.04
2005-10-21,25.06,29.9,90.59,1.55
2005-10-22,24.79,68.16,93.65,1.8
2005-10-23,24.42,15.11,92.03,2.45
2005-10-24,24.1,24.67,93.13,1.61
2005-10-25,24.17,10.39,93.56,1.58
2005-10-26,24.39,2.03,88.84,1.74
2005-10-27,24.46,0.11,88.61,2.15
2005-10-28,24.18,0.15,90.09,2.41
2005-10-29,24.97,7.82,89.23,2.55
2005-10-30,25.09,3.23,89.68,2.58
2005-10-31,25.1,0.62,88.83,2.08
2005-11-01,24.8,6.92,91.11,2.2
2005-11-02,24.02,4.12,92.69,1.72
2005-11-03,24.32,4.91,88.45,1.35
2005-11-04,24.07,4.18,89.17,0.93
2005-11-05,23.47,5.4,93.37,1.01
2005-11-06,23.43,40.51,93.41,1.25
2005-11-07,24.39,11.63,89.37,1.07
2005-11-08,24.14,33.7,92.45,1.21
2005-11-09,24.69,2.79,90.55,1.13
2005-11-10,24.27,9.31,91.46,0.92
2005-11-11,25.28,11.86,87.06,0.39
2005-11-12,23.72,12.62,94.82,0.95
2005-11-13,23.45,84.92,92.39,0.75
2005-11-14,22.65,10.59,91.11,0.92
2005-11-15,24.06,0.01,86.58,0.87
2005-11-16,21.87,0.0,90.43,1.39
2005-11-17,21.05,0.36,82.24,1.47
2005-11-18,21.16,0.06,82.29,1.46
2005-11-19,22.04,0.47,86.93,1.25
2005-11-20,22.29,0.38,89.07,1.29
2005-11-21,23.07,2.08,90.25,1.13
