Date,Temperature,Rainfall,Humidity,WindSpeed
2005-01-01,20.57,0.11,85.88,0.98
2005-01-02,20.23,0.21,86.66,1.11
2005-01-03,20.47,0.17,86.68,0.9
2005-01-04,20.32,0.01,82.77,1.21
2005-01-05,19.57,0.0,83.93,1.25
2005-01-06,18.7,0.0,81.19,1.26
2005-01-07,18.92,0.0,85.39,1.4
2005-01-08,19.46,0.0,82.41,1.32
2005-01-09,18.85,0.0,81.17,1.25
2005-01-10,19.81,0.0,72.74,1.0
2005-01-11,20.28,0.0,59.56,0.88
2005-01-12,20.23,0.0,57.22,1.06
2005-01-13,19.61,0.0,73.95,1.16
2005-01-14,19.13,0.0,77.72,1.31
2005-01-15,19.29,0.0,75.96,1.11
2005-01-16,19.7,0.0,75.65,0.96
2005-01-17,21.15,0.0,74.14,0.8
2005-01-18,22.28,0.08,73.41,0.77
2005-01-19,22.65,0.02,79.62,0.91
2005-01-20,22.2,0.08,75.56,1.4
2005-01-21,21.85,0.41,81.5,1.99
2005-01-22,22.11,0.44,82.93,1.65
2005-01-23,22.42,0.04,77.9,1.26
2005-01-24,22.29,0.01,79.6,1.14
2005-01-25,22.36,0.0,75.55,1.15
2005-01-26,22.44,0.0,72.25,1.07
2005-01-27,22.25,1.89,78.29,0.98
2005-01-28,21.1,0.66,80.2,1.05
2005-01-29,21.75,16.92,78.67,0.84
2005-01-30,21.65,8.56,85.15,0.86
2005-01-31,22.85,2.98,83.29,0.72
2005-02-01,23.44,0.42,82.44,0.63
2005-02-02,23.22,0.1,79.61,1.16
2005-02-03,22.92,0.09,78.44,1.21
2005-02-04,23.02,0.02,75.95,1.16
2005-02-05,23.08,0.03,76.66,1.09
2005-02-06,22.61,0.0,71.92,1.21
2005-02-07,20.97,0.0,65.33,1.2
2005-02-08,21.65,0.0,71.09,1.4
2005-02-09,21.36,0.0,71.57,1.88
2005-02-10,21.47,0.0,71.88,1.92
2005-02-11,21.17,0.0,69.32,1.68
2005-02-12,20.82,0.0,67.32,1.71
2005-02-13,20.88,0.0,61.56,1.51
2005-02-14,22.3,0.0,47.94,1.35
2005-02-15,24.47,0.0,38.64,1.02
2005-02-16,24.78,0.0,41.29,1.23
2005-02-17,24.28,0.0,50.99,1.31
2005-02-18,23.96,0.0,51.3,1.33
2005-02-19,23.59,0.0,51.65,1.32
2005-02-20,22.9,0.0,55.14,1.08
2005-02-21,23.52,0.0,63.31,0.7
2005-02-22,24.32,0.86,72.5,0.97
2005-02-23,25.07,0.2,71.87,1.11
