Date,Temperature,Rainfall,Humidity,WindSpeed
2005-01-01,23.37,0.02,80.21,1.9
2005-01-02,23.24,0.02,80.75,2.04
2005-01-03,23.76,0.02,81.35,2.01
2005-01-04,23.41,0.0,77.54,2.39
2005-01-05,22.99,0.0,78.44,2.45
2005-01-06,22.39,0.0,76.87,2.51
2005-01-07,23.33,0.0,77.54,2.95
2005-01-08,23.28,0.0,77.56,2.59
2005-01-09,22.5,0.0,78.8,2.6
2005-01-10,22.49,0.0,73.52,1.86
2005-01-11,22.44,0.0,70.17,1.53
2005-01-12,22.68,0.0,72.73,1.82
2005-01-13,22.6,0.0,73.84,2.15
2005-01-14,22.74,0.0,75.74,2.51
2005-01-15,22.72,0.0,72.0,2.29
2005-01-16,23.24,0.0,74.9,2.12
2005-01-17,24.11,0.03,74.3,1.88
2005-01-18,25.25,0.11,74.95,1.86
2005-01-19,25.65,0.01,75.71,2.14
2005-01-20,25.34,0.1,74.38,3.05
2005-01-21,25.49,0.94,74.41,3.65
2005-01-22,25.31,0.55,76.5,3.01
2005-01-23,25.8,0.06,72.4,2.49
2005-01-24,25.72,0.01,74.45,2.07
2005-01-25,25.59,0.0,71.93,2.2
2005-01-26,25.66,0.0,71.86,2.2
2005-01-27,25.42,0.25,72.58,2.04
2005-01-28,24.62,0.2,75.43,1.39
2005-01-29,25.18,0.75,70.88,2.04
2005-01-30,25.58,0.78,72.19,2.02
2005-01-31,25.75,2.18,76.13,2.2
2005-02-01,25.37,1.05,80.03,2.28
2005-02-02,26.36,0.38,73.83,2.46
2005-02-03,26.01,1.39,73.87,2.67
2005-02-04,26.04,0.32,72.83,2.62
2005-02-05,26.37,0.0,67.16,2.29
2005-02-06,25.64,0.0,66.39,2.41
2005-02-07,24.63,0.0,67.52,2.47
2005-02-08,25.0,0.0,70.19,3.02
2005-02-09,25.01,0.0,69.09,3.3
2005-02-10,25.4,0.0,68.3,3.3
2005-02-11,25.34,0.0,67.7,2.94
2005-02-12,24.53,0.0,65.74,2.88
2005-02-13,24.54,0.0,63.32,2.42
2005-02-14,24.75,0.0,59.93,2.0
2005-02-15,25.77,0.0,57.08,1.39
2005-02-16,26.4,0.0,59.41,1.51
2005-02-17,26.71,0.0,59.33,1.66
2005-02-18,26.89,0.0,57.8,1.82
2005-02-19,26.56,0.0,61.62,1.85
2005-02-20,25.89,0.0,65.03,1.82
2005-02-21,26.62,0.0,66.44,1.69
2005-02-22,27.86,1.73,67.33,1.93
2005-02-23,28.66,0.2,64.78,2.29
2005-02-24,28.65,0.0,63.29,2.47
2005-02-25,27.55,0.0,60.04,2.12
2005-02-26,26.97,0.0,59.93,2.12
2005-02-27,27.17,0.0,54.91,2.22
2005-02-28,26.95,0.0,56.72,2.29
2005-03-01,27.79,0.0,60.97,2.62
2005-03-02,28.07,0.0,59.57,2.27
2005-03-03,28.58,0.0,59.33,2.41
2005-03-04,29.27,0.0,59.88,2.25
2005-03-05,29.59,0.36,62.83,2.63
2005-03-06,29.15,0.1,60.66,2.49
2005-03-07,28.84,0.0,63.08,2.48
2005-03-08,28.1,0.01,64.3,2.09
2005-03-09,28.47,0.01,64.74,2.19
2005-03-10,28.43,1.7,62.68,1.33
2005-03-11,29.01,1.19,61.57,1.59
2005-03-12,30.07,0.18,59.82,1.86
2005-03-13,29.36,6.92,64.65,1.58
2005-03-14,28.59,5.04,66.66,2.09
2005-03-15,28.37,0.0,60.97,2.07
2005-03-16,27.94,0.0,59.31,2.0
2005-03-17,27.48,0.0,60.25,2.59
2005-03-18,27.92,0.17,58.05,1.85
2005-03-19,29.04,0.22,58.62,2.02
2005-03-20,29.79,0.0,56.41,1.65
2005-03-21,30.54,0.0,54.05,2.07
2005-03-22,30.72,0.0,51.91,1.54
2005-03-23,31.4,0.0,49.79,1.9
2005-03-24,32.19,0.36,53.09,2.16
2005-03-25,32.14,0.09,53.81,2.09
2005-03-26,32.07,0.0,50.05,2.2
2005-03-27,32.41,0.0,48.56,2.05
2005-03-28,32.49,0.0,46.98,2.17
2005-03-29,32.95,0.0,46.91,2.07
2005-03-30,32.64,1.15,51.35,2.4
2005-03-31,31.92,0.04,54.67,1.92
2005-04-01,32.02,0.15,54.21,2.46
2005-04-02,31.51,0.21,58.98,2.94
2005-04-03,27.78,20.91,76.11,2.66
2005-04-04,25.74,22.02,88.77,4.07
2005-04-05,26.16,13.75,87.19,2.59
2005-04-06,26.62,16.8,83.36,1.31
2005-04-07,26.1,12.66,85.94,1.76
2005-04-08,26.66,0.54,79.22,2.01
2005-04-09,28.54,0.16,72.36,1.93
2005-04-10,28.6,0.72,74.56,1.32
2005-04-11,28.2,0.96,79.63,1.16
2005-04-12,27.94,0.46,81.41,0.89
2005-04-13,28.05,0.13,77.33,1.67
2005-04-14,28.99,0.02,70.53,1.57
2005-04-15,29.17,0.01,68.83,1.58
2005-04-16,29.52,0.03,65.99,1.59
2005-04-17,29.6,0.01,64.51,1.92
2005-04-18,29.34,0.03,66.2,1.81
2005-04-19,29.57,0.07,68.74,1.94
2005-04-20,27.57,7.64,78.55,1.67
2005-04-21,28.06,0.69,71.25,1.78
2005-04-22,28.52,0.02,70.24,1.5
2005-04-23,29.25,0.01,67.78,1.85
2005-04-24,29.51,0.02,66.15,1.6
2005-04-25,29.21,0.45,69.96,1.13
2005-04-26,29.59,1.63,68.05,1.37
2005-04-27,30.24,0.12,64.46,1.38
2005-04-28,31.36,0.01,63.03,1.47
2005-04-29,31.8,0.0,61.45,1.53
2005-04-30,29.75,17.53,75.28,1.86
2005-05-01,29.22,11.04,76.56,1.18
2005-05-02,28.32,1.3,79.11,1.36
2005-05-03,29.58,2.09,72.3,1.64
2005-05-04,28.39,7.9,77.19,1.26
2005-05-05,29.31,1.12,71.71,1.44
2005-05-06,30.44,1.35,65.22,2.04
2005-05-07,30.88,0.74,62.86,2.05
2005-05-08,30.25,0.0,63.71,2.44
2005-05-09,31.23,0.03,60.98,2.02
2005-05-10,30.96,0.01,59.17,3.54
2005-05-11,30.29,0.02,64.93,2.76
2005-05-12,31.32,0.44,62.02,2.67
2005-05-13,31.61,0.07,61.44,2.54
2005-05-14,30.51,0.07,66.06,2.7
2005-05-15,30.19,1.81,67.32,2.57
2005-05-16,29.55,0.03,65.25,2.32
2005-05-17,31.32,0.0,58.06,2.03
2005-05-18,32.13,0.0,56.62,2.22
2005-05-19,32.13,0.0,57.93,2.01
2005-05-20,31.99,0.0,61.39,2.28
2005-05-21,32.28,0.21,59.79,2.02
2005-05-22,32.39,0.31,58.21,2.18
2005-05-23,31.59,0.94,62.64,1.56
2005-05-24,31.31,0.12,61.59,1.87
2005-05-25,31.54,0.26,60.05,2.06
2005-05-26,30.28,13.16,67.29,1.93
2005-05-27,28.81,3.26,75.32,1.71
2005-05-28,28.17,2.81,72.07,2.53
2005-05-29,29.44,0.79,66.41,2.25
2005-05-30,29.03,0.03,68.31,2.47
2005-05-31,29.65,1.96,67.55,2.14
2005-06-01,29.99,0.3,66.61,2.87
2005-06-02,30.81,0.32,62.52,3.03
2005-06-03,29.95,0.02,68.12,1.76
2005-06-04,29.85,0.56,69.32,2.12
2005-06-05,29.57,0.49,69.91,2.33
2005-06-06,29.39,0.04,69.02,1.85
2005-06-07,29.88,0.02,66.85,2.06
2005-06-08,30.59,0.11,64.76,2.85
2005-06-09,27.99,0.71,71.99,3.95
2005-06-10,28.35,0.42,63.45,3.74
2005-06-11,29.78,0.03,62.03,3.63
2005-06-12,31.56,0.04,55.35,3.77
2005-06-13,31.4,0.21,55.73,3.72
2005-06-14,30.09,0.0,58.77,4.05
2005-06-15,31.06,0.02,55.38,3.4
2005-06-16,31.1,0.16,58.23,4.23
2005-06-17,29.84,0.06,61.38,5.25
2005-06-18,29.66,0.09,58.26,5.21
2005-06-19,29.86,0.09,60.37,4.53
2005-06-20,28.91,0.75,64.53,4.43
2005-06-21,28.76,0.15,64.96,4.43
2005-06-22,29.84,0.12,56.04,5.27
2005-06-23,30.22,0.0,53.17,4.61
2005-06-24,30.82,0.11,56.12,4.43
2005-06-25,30.84,0.15,57.26,4.11
2005-06-26,30.49,0.03,57.82,4.61
2005-06-27,29.81,0.01,59.79,4.35
2005-06-28,29.95,0.02,58.05,4.81
2005-06-29,30.06,0.02,55.8,4.47
2005-06-30,30.48,0.58,56.53,3.92
2005-07-01,29.73,0.27,61.59,4.0
2005-07-02,30.16,0.24,57.94,3.87
2005-07-03,29.74,0.04,60.97,4.32
2005-07-04,29.25,0.32,63.04,4.29
2005-07-05,29.36,0.08,62.86,4.81
2005-07-06,29.74,0.1,57.82,5.42
2005-07-07,30.3,0.02,53.61,4.9
2005-07-08,30.45,0.19,58.11,4.4
2005-07-09,30.06,0.03,57.5,5.56
2005-07-10,29.57,0.84,54.41,4.91
2005-07-11,30.28,0.16,52.87,4.4
2005-07-12,30.05,0.07,57.75,3.29
2005-07-13,28.59,2.09,66.41,3.09
2005-07-14,28.19,13.07,71.41,2.99
2005-07-15,27.49,4.05,75.59,1.86
2005-07-16,27.62,1.14,75.71,1.3
2005-07-17,28.32,1.02,70.55,2.35
2005-07-18,29.32,0.02,65.17,2.63
2005-07-19,28.81,0.03,68.85,3.41
2005-07-20,28.97,0.27,67.06,3.48
2005-07-21,28.33,0.0,66.9,4.16
2005-07-22,28.83,0.14,63.63,4.25
2005-07-23,28.38,1.45,67.55,4.12
2005-07-24,28.67,0.5,64.35,5.26
2005-07-25,28.21,0.3,63.18,6.25
2005-07-26,29.3,0.17,59.34,6.22
2005-07-27,29.84,0.27,59.31,5.54
2005-07-28,29.07,0.29,60.49,5.16
2005-07-29,28.52,0.25,61.03,5.63
2005-07-30,29.19,0.36,59.7,6.11
2005-07-31,30.05,0.33,58.7,6.6
2005-08-01,29.03,0.49,60.82,6.74
2005-08-02,29.09,0.2,58.0,6.78
2005-08-03,29.62,0.02,53.75,5.6
2005-08-04,29.17,0.04,59.21,4.75
2005-08-05,30.33,0.02,54.17,5.0
2005-08-06,31.26,0.01,49.85,4.95
2005-08-07,31.37,0.0,50.43,4.83
2005-08-08,30.4,0.01,53.64,4.93
2005-08-09,30.87,0.03,53.8,4.57
2005-08-10,30.26,1.17,57.2,4.9
2005-08-11,30.0,1.58,58.75,4.74
2005-08-12,30.67,0.67,55.95,4.81
2005-08-13,31.14,0.12,53.18,4.73
2005-08-14,30.9,0.58,54.65,4.84
2005-08-15,30.58,0.69,55.31,4.68
2005-08-16,29.59,0.16,54.92,5.22
2005-08-17,31.33,0.02,49.32,4.65
2005-08-18,30.87,0.0,48.64,4.18
2005-08-19,30.37,0.22,53.43,4.17
2005-08-20,31.07,0.0,50.88,3.58
2005-08-21,31.99,0.22,47.42,2.73
2005-08-22,30.69,0.3,53.35,2.16
2005-08-23,30.07,5.14,58.44,1.87
2005-08-24,29.3,3.59,63.92,1.9
2005-08-25,28.75,16.5,68.09,2.01
2005-08-26,28.35,9.65,71.07,1.75
2005-08-27,26.79,3.67,79.38,1.14
2005-08-28,29.2,1.21,68.67,1.76
2005-08-29,29.71,0.35,66.52,1.47
2005-08-30,30.9,0.04,60.16,1.6
2005-08-31,29.74,6.6,66.21,2.67
2005-09-01,28.81,1.5,71.8,1.49
2005-09-02,27.68,22.07,79.86,1.89
2005-09-03,27.45,7.94,81.1,2.0
2005-09-04,27.25,6.61,82.0,2.01
2005-09-05,27.24,0.8,76.89,3.16
2005-09-06,27.1,1.61,76.46,2.94
2005-09-07,26.99,4.02,76.0,2.96
2005-09-08,27.84,0.53,73.85,2.75
2005-09-09,28.56,0.19,68.97,4.1
2005-09-10,27.71,2.29,70.58,4.12
2005-09-11,27.67,0.7,68.51,3.78
2005-09-12,27.47,0.09,71.37,4.01
2005-09-13,27.61,0.08,70.64,3.72
2005-09-14,28.57,0.04,67.32,2.92
2005-09-15,27.21,21.31,73.33,2.48
2005-09-16,27.47,0.34,74.58,2.31
2005-09-17,29.13,0.01,65.05,2.73
2005-09-18,29.3,0.0,61.6,3.84
2005-09-19,28.38,0.05,62.05,5.08
2005-09-20,27.54,0.34,67.89,4.76
2005-09-21,29.02,0.05,64.41,3.62
2005-09-22,29.69,0.23,63.01,2.69
2005-09-23,29.45,0.0,62.66,2.47
2005-09-24,29.57,0.67,62.39,2.14
2005-09-25,29.53,2.32,64.27,2.06
2005-09-26,28.94,0.04,66.34,1.84
