Date,Temperature,Rainfall,Humidity,WindSpeed
2005-01-01,21.35,0.0,77.06,1.67
2005-01-02,21.83,0.0,80.03,1.85
2005-01-03,22.76,0.05,80.9,1.8
2005-01-04,21.98,0.01,76.7,2.2
2005-01-05,20.99,0.0,77.08,2.12
2005-01-06,20.51,0.0,78.98,2.21
2005-01-07,21.35,0.0,77.64,2.23
2005-01-08,21.31,0.0,77.71,2.13
2005-01-09,20.78,0.0,76.28,2.1
2005-01-10,20.76,0.0,70.12,1.38
2005-01-11,21.59,0.0,66.11,1.23
2005-01-12,21.82,0.0,68.07,1.6
2005-01-13,21.41,0.0,72.84,1.93
2005-01-14,21.12,0.0,75.4,2.14
2005-01-15,20.66,0.0,72.43,1.88
2005-01-16,20.87,0.0,74.22,1.64
2005-01-17,22.32,0.0,74.24,1.5
2005-01-18,23.81,0.0,72.81,1.49
2005-01-19,24.08,0.0,74.45,1.92
2005-01-20,23.5,0.0,73.06,2.62
2005-01-21,23.7,0.31,74.1,3.08
2005-01-22,23.73,0.27,74.82,2.58
2005-01-23,24.31,0.01,72.84,2.09
2005-01-24,24.76,0.0,71.23,1.89
2005-01-25,24.64,0.0,69.84,2.02
2005-01-26,24.75,0.0,68.8,1.74
2005-01-27,24.16,0.29,71.28,2.08
2005-01-28,22.9,0.07,74.67,1.53
2005-01-29,23.57,0.03,69.81,2.2
2005-01-30,23.95,0.3,70.75,2.31
2005-01-31,23.87,1.24,76.58,2.14
2005-02-01,22.84,3.43,85.23,1.9
2005-02-02,24.65,1.05,76.03,2.44
2005-02-03,24.43,1.77,75.91,2.66
2005-02-04,24.22,0.54,75.61,2.63
2005-02-05,24.61,0.0,68.87,1.95
2005-02-06,24.09,0.0,64.57,1.83
2005-02-07,22.83,0.0,65.78,2.23
2005-02-08,23.15,0.0,69.68,2.73
2005-02-09,23.33,0.0,65.39,2.96
2005-02-10,23.28,0.0,65.11,2.84
2005-02-11,23.39,0.0,64.18,2.56
2005-02-12,23.05,0.0,60.21,2.35
2005-02-13,23.47,0.0,50.08,2.2
2005-02-14,25.15,0.0,37.42,1.85
2005-02-15,26.09,0.0,39.05,1.75
2005-02-16,26.79,0.0,39.03,1.8
2005-02-17,26.77,0.0,44.73,2.06
2005-02-18,26.98,0.0,45.62,2.22
2005-02-19,25.46,0.0,54.8,2.16
2005-02-20,24.8,0.0,59.08,2.1
2005-02-21,24.5,0.0,65.66,2.06
2005-02-22,26.37,0.39,68.28,2.15
2005-02-23,27.14,0.06,64.77,2.27
2005-02-24,27.59,0.0,59.12,2.34
2005-02-25,26.59,0.0,55.25,2.15
2005-02-26,26.64,0.0,52.18,2.15
2005-02-27,26.05,0.0,47.57,2.16
2005-02-28,26.31,0.0,48.99,2.31
2005-03-01,26.24,0.0,58.83,2.43
2005-03-02,26.58,0.0,57.86,2.11
2005-03-03,26.98,0.0,56.98,2.22
2005-03-04,27.19,0.0,61.01,2.32
2005-03-05,27.98,0.0,61.46,2.42
2005-03-06,27.65,0.0,59.94,2.45
2005-03-07,27.64,0.0,60.36,2.51
2005-03-08,26.65,0.12,64.44,2.45
2005-03-09,26.67,0.06,68.45,2.16
2005-03-10,27.07,0.56,63.57,1.51
2005-03-11,26.35,4.75,67.24,1.22
2005-03-12,27.88,0.46,63.78,1.59
2005-03-13,27.91,2.47,66.43,2.2
2005-03-14,27.1,1.81,57.46,2.57
2005-03-15,27.71,0.0,57.76,2.15
2005-03-16,27.25,0.0,54.46,2.11
2005-03-17,26.56,0.0,55.08,2.52
2005-03-18,26.67,0.0,50.22,2.11
2005-03-19,27.53,0.0,51.06,1.97
2005-03-20,28.05,0.0,56.46,1.88
2005-03-21,28.71,0.0,52.9,1.91
2005-03-22,28.61,0.0,53.77,1.79
2005-03-23,30.2,0.0,50.36,2.46
