Date,Temperature,Rainfall,Humidity,WindSpeed
2005-01-01,24.13,0.07,72.03,1.54
2005-01-02,23.79,0.13,73.54,1.78
2005-01-03,24.47,0.11,74.58,1.6
2005-01-04,24.3,0.0,68.18,2.0
2005-01-05,23.22,0.0,70.11,1.88
2005-01-06,22.33,0.0,69.71,1.95
2005-01-07,22.88,0.0,71.61,2.28
2005-01-08,23.27,0.0,70.1,1.97
2005-01-09,22.8,0.0,68.97,1.97
2005-01-10,22.67,0.0,64.61,1.19
2005-01-11,22.64,0.0,60.66,1.06
2005-01-12,23.18,0.0,53.29,1.27
2005-01-13,23.28,0.0,63.73,1.62
2005-01-14,22.99,0.0,67.16,2.0
2005-01-15,22.62,0.0,66.48,1.76
2005-01-16,22.74,0.0,67.66,1.24
2005-01-17,23.99,0.0,68.72,1.18
2005-01-18,25.15,0.01,66.93,0.92
2005-01-19,25.78,0.0,69.3,1.59
2005-01-20,25.6,0.02,65.95,2.15
2005-01-21,25.25,0.31,68.74,2.72
2005-01-22,25.64,0.18,70.9,2.53
2005-01-23,26.23,0.01,65.81,1.97
2005-01-24,26.47,0.0,65.12,1.82
2005-01-25,26.05,0.0,64.69,1.89
2005-01-26,25.87,0.0,63.8,1.59
2005-01-27,25.67,0.83,67.91,1.67
2005-01-28,24.17,0.17,71.47,1.38
2005-01-29,24.65,3.39,68.58,1.45
2005-01-30,25.02,2.53,73.42,1.34
2005-01-31,24.57,3.93,81.46,1.19
2005-02-01,24.29,1.03,83.25,1.62
2005-02-02,26.31,0.23,70.24,1.97
2005-02-03,26.41,0.39,68.03,2.34
2005-02-04,26.48,0.12,67.2,2.36
2005-02-05,26.72,0.01,63.96,2.05
2005-02-06,26.42,0.0,58.77,2.01
2005-02-07,24.99,0.0,56.58,1.76
2005-02-08,25.17,0.0,61.18,2.19
2005-02-09,24.98,0.0,59.91,2.84
2005-02-10,24.92,0.0,59.01,2.83
2005-02-11,24.88,0.0,55.91,2.34
2005-02-12,24.52,0.0,55.46,2.31
2005-02-13,24.48,0.0,46.76,1.95
2005-02-14,25.07,0.0,43.7,1.6
2005-02-15,26.66,0.0,38.59,1.34
2005-02-16,27.45,0.0,35.47,1.48
2005-02-17,27.98,0.0,39.78,1.65
2005-02-18,28.2,0.0,42.46,1.95
2005-02-19,27.47,0.0,38.58,1.9
2005-02-20,26.84,0.0,44.82,1.74
2005-02-21,27.03,0.0,50.11,1.68
2005-02-22,28.37,0.96,56.66,1.92
2005-02-23,28.66,0.16,58.33,1.9
2005-02-24,29.15,0.0,56.74,2.33
2005-02-25,28.34,0.0,48.48,2.05
2005-02-26,28.23,0.0,41.71,2.16
2005-02-27,27.28,0.0,40.71,1.89
2005-02-28,26.92,0.0,39.19,1.75
2005-03-01,27.99,0.0,47.32,2.19
2005-03-02,28.22,0.0,45.44,1.57
2005-03-03,28.68,0.0,47.15,1.83
2005-03-04,29.98,0.33,43.21,1.73
2005-03-05,30.23,1.13,52.87,2.11
2005-03-06,29.5,0.08,54.01,2.08
2005-03-07,29.58,0.0,50.26,2.37
2005-03-08,28.81,0.01,54.36,2.39
2005-03-09,28.56,0.0,55.73,1.73
2005-03-10,27.7,4.8,59.58,1.01
2005-03-11,27.93,1.29,59.23,0.98
2005-03-12,29.54,0.43,54.54,0.96
