Date,Temperature,Rainfall,Humidity,WindSpeed
2005-01-01,24.39,0.03,81.7,2.0
2005-01-02,24.48,0.04,80.81,2.34
2005-01-03,24.61,0.03,80.62,2.16
2005-01-04,24.37,0.0,76.81,2.63
2005-01-05,24.2,0.0,79.15,2.85
2005-01-06,23.44,0.0,76.14,2.78
2005-01-07,24.12,0.0,76.76,3.32
2005-01-08,24.67,0.0,76.05,2.96
2005-01-09,23.35,0.0,78.05,2.83
2005-01-10,23.45,0.0,73.21,2.14
2005-01-11,23.28,0.0,69.19,1.88
2005-01-12,23.25,0.0,68.79,2.0
2005-01-13,23.69,0.0,71.99,2.55
2005-01-14,23.6,0.0,72.68,2.78
2005-01-15,23.7,0.0,70.43,2.56
2005-01-16,24.12,0.0,73.48,2.28
2005-01-17,25.23,0.0,73.92,1.91
2005-01-18,26.1,0.61,75.02,1.92
2005-01-19,26.61,0.24,75.59,2.06
2005-01-20,26.78,0.59,72.68,3.33
2005-01-21,25.96,3.03,77.69,3.97
2005-01-22,26.0,3.32,79.1,3.22
2005-01-23,26.69,0.26,73.5,2.9
2005-01-24,25.82,0.11,79.44,2.14
2005-01-25,26.54,0.0,72.96,2.5
2005-01-26,26.41,0.0,71.5,2.43
2005-01-27,26.18,0.57,72.56,1.89
2005-01-28,25.68,0.14,74.65,1.47
2005-01-29,26.1,3.95,72.88,1.7
2005-01-30,26.11,4.16,75.91,1.8
2005-01-31,26.94,1.26,75.62,1.86
2005-02-01,27.57,0.19,74.54,2.18
2005-02-02,27.35,0.09,71.96,2.71
2005-02-03,27.15,0.12,69.75,2.63
2005-02-04,27.35,0.0,68.23,2.72
2005-02-05,27.28,0.01,67.36,2.39
2005-02-06,27.01,0.0,63.3,2.63
2005-02-07,25.9,0.0,65.14,2.56
2005-02-08,26.62,0.0,65.49,3.21
2005-02-09,26.53,0.0,63.95,3.92
2005-02-10,26.76,0.0,63.23,3.76
2005-02-11,26.79,0.0,60.84,3.37
2005-02-12,26.32,0.0,61.38,3.47
2005-02-13,26.34,0.0,58.55,3.08
2005-02-14,26.03,0.0,60.96,2.3
2005-02-15,26.93,0.0,57.95,1.36
2005-02-16,27.59,0.0,56.51,1.6
2005-02-17,27.89,0.0,58.84,1.75
2005-02-18,28.14,0.0,54.14,1.83
2005-02-19,27.62,0.0,59.01,1.99
2005-02-20,27.07,0.0,64.94,1.75
2005-02-21,28.46,0.16,63.51,1.8
2005-02-22,28.76,1.71,67.41,1.97
2005-02-23,29.78,0.36,63.53,2.59
2005-02-24,29.77,0.0,62.59,2.72
2005-02-25,29.14,0.0,60.33,2.44
2005-02-26,28.34,0.0,54.77,2.18
2005-02-27,28.2,0.0,56.07,2.27
2005-02-28,27.72,0.0,55.01,2.28
2005-03-01,27.26,0.0,63.86,2.1
2005-03-02,28.61,0.0,60.97,2.44
2005-03-03,28.98,0.0,60.09,2.28
2005-03-04,29.79,0.26,59.83,2.24
2005-03-05,29.56,4.48,66.37,2.07
2005-03-06,29.1,1.94,67.4,2.01
2005-03-07,28.84,0.23,67.46,2.19
2005-03-08,28.53,0.0,65.37,1.88
