District,Latitude,Longitude
Chennai,13.0827,80.2707
Coimbatore,11.0168,76.9558
Cuddalore,11.7447,79.7680
Dharmapuri,12.1277,78.1579
Dindigul,10.3673,77.9803
Erode,11.3410,77.7172
Kanchipuram,12.8342,79.7036
Kanniyakumari,8.0883,77.5385
Karur,10.9601,78.0766
Krishnagiri,12.5266,78.2137
Madurai,9.9252,78.1198
Nagapattinam,10.7656,79.8428
Namakkal,11.2194,78.1674
Nilgiris,11.4064,76.6932
Perambalur,11.2342,78.8805
Pudukkottai,10.3797,78.8208
Ramanathapuram,9.3716,78.8308
Salem,11.6643,78.1460
Sivagangai,9.8470,78.4836
Tenkasi,8.9590,77.3152
Thanjavur,10.7870,79.1378
Theni,10.0104,77.4768
Thoothukudi,8.7642,78.1348
Tiruchirappalli,10.7905,78.7047
Tirunelveli,8.7139,77.7567
Tirupathur,12.4953,78.5677
Tiruppur,11.1085,77.3411
Tiruvallur,13.1445,79.9084
Tiruvannamalai,12.2253,79.0747
Tiruvarur,10.7722,79.6368
Vellore,12.9165,79.1325
Viluppuram,11.9401,79.4861
Virudhunagar,9.5872,77.9570
Ariyalur,11.1385,79.0756
Kallakurichi,11.7380,78.9630
Mayiladuthurai,11.1035,79.6550
Ranipet,12.9249,79.3330
Chengalpattu,12.6841,79.9836
