Crop,District,Years_Covered,Total_Area,Total_Production,Average_Yield,Yield_Std,Maximum_Yield,Minimum_Yield,Records,CV_Percentage,Yield_Stability
Bajra,VILLUPURAM,21,1011555.0,85358210.0,117.44,110.92,320.75,0.39,45,94.45,Highly Variable
Bajra,THOOTHUKUDI,19,285273.0,49852500.0,184.99,66.8,326.26,14.59,21,36.11,Highly Variable
Bajra,CUDDALORE,21,156555.0,21466834.0,148.52,134.61,435.08,1.26,45,90.63,Highly Variable
Bajra,VIRUDHUNAGAR,21,194625.0,18753227.0,145.02,133.36,435.02,1.1,45,91.96,Highly Variable
Bajra,TIRUVANNAMALAI,21,265133.0,18446994.0,124.33,145.74,488.32,0.32,45,117.22,Highly Variable
Bajra,DINDIGUL,21,184310.0,16809430.0,130.71,128.79,486.67,0.8,45,98.53,Highly Variable
Bajra,THENI,21,144180.0,12947872.0,133.96,126.16,386.32,0.44,45,94.18,Highly Variable
Bajra,MADURAI,21,122776.0,11339723.0,139.21,127.41,426.51,1.13,45,91.52,Highly Variable
Bajra,VELLORE,21,95497.0,9948716.0,129.65,130.6,478.24,0.75,45,100.73,Highly Variable
Bajra,DHARMAPURI,21,85191.0,8726747.0,133.61,132.32,444.58,0.78,44,99.03,Highly Variable
Bajra,SALEM,21,84784.0,7482089.0,118.33,105.99,314.86,1.06,45,89.57,Highly Variable
Bajra,TIRUCHIRAPPALLI,21,112295.0,5609948.0,90.12,97.61,314.74,0.32,45,108.31,Highly Variable
Bajra,KARUR,21,197157.0,5316095.0,89.13,107.28,314.69,0.25,45,120.36,Highly Variable
Bajra,THIRUVALLUR,21,35441.0,4169118.0,137.41,117.15,314.71,1.12,43,85.26,Highly Variable
Bajra,PERAMBALUR,21,66762.0,3465138.0,151.99,244.33,1573.02,0.73,45,160.76,Highly Variable
Bajra,TUTICORIN,16,271236.0,3386083.0,31.02,84.98,275.0,1.11,18,274.01,Highly Variable
Bajra,TIRUNELVELI,21,37189.0,3249106.0,132.78,117.36,315.22,0.99,44,88.39,Highly Variable
Bajra,ARIYALUR,9,10006.0,2363877.0,204.74,137.08,435.71,1.68,22,66.95,Highly Variable
