Crop,Total_Area,Total_Production,Average_Yield,Maximum_Yield,Minimum_Yield,Total_Records
Sugarcane,6475944.0,664897837.0,99.56,314.74,6.23,676
Rice,43313407.0,140057357.31,3.71,6.08,0.09,865
Banana,2045056.0,86968506.0,40.91,97.16,4.82,635
Tapioca,1986393.0,71294460.0,36.05,73.39,9.25,580
Maize,5143150.0,25697902.54,5.11,12.0,0.25,773
Groundnut,12003401.0,24295647.41,2.38,8.51,0.15,916
Jowar,7546403.0,8020178.0,1.28,5.53,0.06,728
Cotton(lint),3442817.0,6284670.0,2.09,6.21,0.05,833
Onion,641765.0,5527891.28,8.63,24.17,0.37,712
Ragi,2370118.0,5112319.39,2.59,5.23,0.1,788
Urad,7818265.0,4160070.87,0.6,1.9,0.05,881
Bajra,2213906.0,3567283.39,2.02,4.88,0.14,731
Turmeric,548582.0,2692711.0,4.86,12.11,1.34,531
Moong(Green Gram),4052775.0,1850085.18,0.52,1.74,0.0,836
Sesamum,1719834.0,892315.0,0.5,1.34,0.01,840
Horse-gram,1650831.0,840901.1,0.54,1.33,0.01,681
Arhar/Tur,1067763.0,822163.1,0.79,2.49,0.02,581
Small millets,915837.0,746673.6,1.19,17.0,0.01,530
Dry chillies,1362327.0,706077.77,0.67,4.69,0.03,589
Cashewnut,1737453.0,613982.64,0.37,3.5,0.02,503
Sunflower,355765.0,420936.9,1.23,3.64,0.04,682
Sweet potato,17123.0,275346.0,17.13,44.55,6.55,442
Tobacco,92695.0,146149.08,1.52,5.12,0.08,201
Coriander,447524.0,137279.6,0.4,1.62,0.01,451
Gram,142498.0,96865.83,0.61,1.29,0.02,357
