Rank,District,Total_Crops,Unique_Seasons,Years_Covered,Total_Records,Total_Area,Total_Production,Average_Yield,Maximum_Yield,Minimum_Yield
1,VILLUPURAM,25,6,23,602,8587343.0,160044323.0,8.51,132.9,0.03
2,CUDDALORE,25,6,23,576,6460620.0,95324556.0,9.16,134.8,0.07
3,ERODE,25,6,23,587,3917325.0,90482120.32,9.56,147.66,0.02
4,TIRUVANNAMALAI,25,6,23,608,6060209.0,67948853.0,8.51,116.72,0.07
5,NAMAKKAL,25,6,23,598,3642627.0,62557107.04,9.68,188.41,0.04
6,DHARMAPURI,25,6,23,603,4811956.0,49229039.77,8.07,112.55,0.03
7,SALEM,25,6,23,624,4577908.0,45360748.0,8.12,133.8,0.05
8,THANJAVUR,24,6,23,482,5226179.0,40446745.1,10.31,134.39,0.06
9,VELLORE,25,6,23,598,3821905.0,40359555.0,8.01,99.44,0.06
10,TIRUCHIRAPPALLI,24,6,23,605,3721355.0,32934778.0,9.02,143.86,0.06
11,THENI,25,6,23,597,1563780.0,30417850.0,10.02,224.25,0.01
12,PERAMBALUR,24,6,23,580,3397847.0,29851097.52,9.3,258.35,0.08
13,THIRUVALLUR,25,6,23,503,3017853.0,26436072.0,10.17,172.87,0.12
14,PUDUKKOTTAI,25,6,23,549,3105998.0,24525907.0,9.66,145.54,0.02
15,KANCHIPURAM,25,6,23,491,3253940.0,24378664.1,10.23,242.66,0.02
16,COIMBATORE,25,6,23,606,2687894.0,22907995.94,8.98,314.74,0.01
17,TIRUNELVELI,25,6,23,603,3247957.0,22584315.02,8.24,122.79,0.0
18,DINDIGUL,25,6,23,635,3282294.0,21999070.0,8.15,146.36,0.02
19,MADURAI,25,6,23,613,2451386.0,21061230.0,8.86,303.48,0.03
20,KARUR,25,5,23,578,1763840.0,18885147.3,9.07,136.77,0.08
21,NAGAPATTINAM,21,6,23,359,5551495.0,16759673.0,11.77,122.73,0.04
22,THIRUVARUR,22,6,23,321,5872052.0,15541056.0,13.84,122.79,0.06
23,SIVAGANGA,25,6,23,548,2254119.0,13813385.1,8.22,123.93,0.01
24,THOOTHUKUDI,25,6,21,510,3150189.0,13775207.0,9.44,122.79,0.03
25,TUTICORIN,24,6,18,413,2581808.0,12941867.0,9.88,122.79,0.07
26,VIRUDHUNAGAR,24,6,23,603,2544042.0,12742328.0,8.18,122.73,0.04
27,ARIYALUR,24,6,11,309,1024587.0,10202889.0,8.21,116.2,0.03
28,TIRUPPUR,25,5,11,306,1009801.0,9444224.0,8.24,134.55,0.01
29,KANNIYAKUMARI,19,6,23,222,769732.0,8451143.1,9.59,112.57,0.01
30,KRISHNAGIRI,25,6,18,441,1976260.0,7712251.08,8.37,122.79,0.08
31,RAMANATHAPURAM,24,4,23,456,3733662.0,6233637.0,8.63,122.79,0.01
32,THE NILGIRIS,22,4,23,210,41325.0,769517.6,18.58,122.8,0.18
33,TIRUPATHUR,2,2,1,2,1954.0,1473.0,0.83,0.92,0.75
34,CHENNAI,1,1,1,1,27.0,1166.0,43.19,43.19,43.19
35,KALLAKURICHI,1,1,1,1,356.0,599.0,1.68,1.68,1.68
36,CHENGALPATTU,2,2,1,2,7.0,20.0,3.65,5.5,1.8
