Year,Total_Districts,Total_Crops,Total_Seasons,Total_Records,Total_Area,Total_Production,Average_Yield,Maximum_Yield,Minimum_Yield
1997,28,25,2,652,5593552.0,24507406.3,7.37,74.98,0.03
1998,29,25,3,601,6901767.0,67233679.02,12.11,303.48,0.0
1999,29,24,3,591,6131392.0,53912813.0,10.02,133.61,0.1
2000,29,24,3,579,6123897.0,52651380.0,10.08,133.61,0.1
2001,29,12,2,322,4394735.0,41691857.2,10.1,158.57,0.01
2002,30,25,3,619,4033226.0,35368274.1,8.91,135.69,0.07
2003,30,24,3,642,4250633.0,31528397.37,9.04,125.81,0.01
2004,30,24,3,655,4828579.0,41028452.0,10.41,137.92,0.1
2005,30,24,3,627,4791155.0,53173755.0,10.97,147.26,0.12
2006,30,25,2,654,4834249.0,70348687.0,11.96,188.41,0.01
2007,30,25,2,677,4837242.0,58721469.0,10.4,126.36,0.05
2008,30,25,2,671,4599127.0,51779510.78,11.01,314.74,0.01
2009,32,25,2,692,4496790.0,48813170.0,10.26,146.36,0.13
2010,32,13,3,375,3774038.0,42890540.0,10.41,134.39,0.15
2011,32,25,3,829,4685164.0,60890535.08,10.1,136.77,0.08
2012,32,13,3,370,3245769.0,40470981.0,9.46,125.79,0.01
2013,32,25,3,986,4786094.0,52182799.14,8.19,119.38,0.01
2014,31,24,3,951,4659402.0,49327358.0,8.43,126.07,0.05
2015,31,24,3,928,4771365.0,44466923.0,7.98,127.0,0.07
2016,31,25,3,927,3903226.0,30565684.0,6.32,107.42,0.02
2017,31,24,6,976,4413768.0,34954338.0,8.06,121.0,0.05
2018,31,25,6,1000,4419938.0,35121064.0,7.94,134.55,0.05
2019,35,25,6,1018,4636524.0,34496537.0,8.42,138.47,0.06
