District,Records,Start Date,End Date,Average Temperature,Minimum Temperature,Maximum Temperature,Average Rainfall,Maximum Rainfall,Average Humidity,Average WindSpeed
Ariyalur,7670,2005-01-01,2025-12-31,28.19,21.05,34.83,2.99,104.12,71.57,2.84
Chengalpattu,7670,2005-01-01,2025-12-31,27.96,21.83,33.89,3.62,156.79,74.43,3.29
Chennai,7670,2005-01-01,2025-12-31,27.92,21.38,35.26,3.67,187.88,73.18,3.04
Coimbatore,7670,2005-01-01,2025-12-31,24.56,18.29,32.21,3.33,57.95,76.01,2.1
Cuddalore,7670,2005-01-01,2025-12-31,28.24,23.09,32.73,3.15,135.18,75.87,3.98
Dharmapuri,7670,2005-01-01,2025-12-31,25.87,17.6,35.56,2.51,154.37,68.81,2.16
Dindigul,7670,2005-01-01,2025-12-31,27.25,19.24,35.47,2.38,111.92,68.78,2.39
Erode,7670,2005-01-01,2025-12-31,26.43,18.9,35.24,2.19,82.37,66.54,1.62
Kallakurichi,7670,2005-01-01,2025-12-31,26.79,19.07,35.27,2.56,84.37,70.28,2.44
Kanchipuram,7670,2005-01-01,2025-12-31,27.92,21.38,35.26,3.67,187.88,73.18,3.04
Kanniyakumari,7670,2005-01-01,2025-12-31,27.6,24.31,31.18,3.47,199.47,80.29,4.41
Karur,7670,2005-01-01,2025-12-31,27.46,19.06,35.9,2.21,81.82,67.76,2.51
Krishnagiri,7670,2005-01-01,2025-12-31,24.84,16.5,34.92,2.63,266.32,69.77,2.61
Madurai,7670,2005-01-01,2025-12-31,27.34,19.91,35.19,2.68,105.44,69.46,2.11
Mayiladuthurai,7670,2005-01-01,2025-12-31,28.19,21.05,34.83,2.99,104.12,71.57,2.84
Nagapattinam,7670,2005-01-01,2025-12-31,28.31,22.97,32.44,3.15,134.66,75.69,4.12
Namakkal,7670,2005-01-01,2025-12-31,27.46,19.06,35.9,2.21,81.82,67.76,2.51
Nilgiris,7670,2005-01-01,2025-12-31,23.5,17.33,31.37,2.75,73.27,73.55,1.95
Perambalur,7670,2005-01-01,2025-12-31,27.59,19.99,35.4,2.44,91.02,69.61,2.61
Pudukkottai,7670,2005-01-01,2025-12-31,28.05,20.75,35.2,2.48,85.27,69.48,2.58
Ramanathapuram,7670,2005-01-01,2025-12-31,28.36,22.12,33.68,2.68,79.03,72.48,3.69
Ranipet,7670,2005-01-01,2025-12-31,26.96,18.88,36.01,3.11,130.99,71.12,2.28
Salem,7670,2005-01-01,2025-12-31,26.97,18.5,35.88,2.3,86.18,67.5,2.18
Sivagangai,7670,2005-01-01,2025-12-31,28.2,21.34,34.69,2.64,80.71,70.38,2.76
Tenkasi,7670,2005-01-01,2025-12-31,25.98,19.9,33.27,3.44,212.91,77.97,2.37
Thanjavur,7670,2005-01-01,2025-12-31,28.19,21.05,34.83,2.99,104.12,71.57,2.84
Theni,7670,2005-01-01,2025-12-31,23.81,17.28,31.83,3.1,141.71,74.53,1.61
Thoothukudi,7670,2005-01-01,2025-12-31,28.08,22.15,34.51,2.71,202.34,73.21,3.34
Tiruchirappalli,7670,2005-01-01,2025-12-31,27.59,19.99,35.4,2.44,91.02,69.61,2.61
Tirunelveli,7670,2005-01-01,2025-12-31,25.94,20.21,32.18,3.33,209.16,79.24,2.87
Tirupathur,7670,2005-01-01,2025-12-31,26.0,17.73,35.81,2.69,91.01,70.41,2.4
Tiruppur,7670,2005-01-01,2025-12-31,27.07,19.84,35.84,2.15,94.78,67.32,2.59
Tiruvallur,7670,2005-01-01,2025-12-31,27.92,21.38,35.26,3.67,187.88,73.18,3.04
Tiruvannamalai,7670,2005-01-01,2025-12-31,27.8,20.5,35.96,3.16,134.94,71.49,2.48
Tiruvarur,7670,2005-01-01,2025-12-31,28.19,21.05,34.83,2.99,104.12,71.57,2.84
Vellore,7670,2005-01-01,2025-12-31,26.96,18.88,36.01,3.11,130.99,71.12,2.28
Viluppuram,7670,2005-01-01,2025-12-31,27.8,20.5,35.96,3.16,134.94,71.49,2.48
Virudhunagar,7670,2005-01-01,2025-12-31,27.96,21.34,35.31,2.79,106.75,70.92,2.55
