District,Records,Start Date,End Date,Average Temperature,Minimum Temperature,Maximum Temperature,Average Rainfall,Maximum Rainfall,Average Humidity,Average WindSpeed
Ramanathapuram,7670,2005-01-01,2025-12-31,28.36,22.12,33.68,2.68,79.03,72.48,3.69
Nagapattinam,7670,2005-01-01,2025-12-31,28.31,22.97,32.44,3.15,134.66,75.69,4.12
Cuddalore,7670,2005-01-01,2025-12-31,28.24,23.09,32.73,3.15,135.18,75.87,3.98
Sivagangai,7670,2005-01-01,2025-12-31,28.2,21.34,34.69,2.64,80.71,70.38,2.76
Mayiladuthurai,7670,2005-01-01,2025-12-31,28.19,21.05,34.83,2.99,104.12,71.57,2.84
Ariyalur,7670,2005-01-01,2025-12-31,28.19,21.05,34.83,2.99,104.12,71.57,2.84
Thanjavur,7670,2005-01-01,2025-12-31,28.19,21.05,34.83,2.99,104.12,71.57,2.84
Tiruvarur,7670,2005-01-01,2025-12-31,28.19,21.05,34.83,2.99,104.12,71.57,2.84
Thoothukudi,7670,2005-01-01,2025-12-31,28.08,22.15,34.51,2.71,202.34,73.21,3.34
Pudukkottai,7670,2005-01-01,2025-12-31,28.05,20.75,35.2,2.48,85.27,69.48,2.58
