District,Records,Start Date,End Date,Average Temperature,Minimum Temperature,Maximum Temperature,Average Rainfall,Maximum Rainfall,Average Humidity,Average WindSpeed
Chennai,7670,2005-01-01,2025-12-31,27.92,21.38,35.26,3.67,187.88,73.18,3.04
Kanchipuram,7670,2005-01-01,2025-12-31,27.92,21.38,35.26,3.67,187.88,73.18,3.04
Tiruvallur,7670,2005-01-01,2025-12-31,27.92,21.38,35.26,3.67,187.88,73.18,3.04
Chengalpattu,7670,2005-01-01,2025-12-31,27.96,21.83,33.89,3.62,156.79,74.43,3.29
Kanniyakumari,7670,2005-01-01,2025-12-31,27.6,24.31,31.18,3.47,199.47,80.29,4.41
Tenkasi,7670,2005-01-01,2025-12-31,25.98,19.9,33.27,3.44,212.91,77.97,2.37
Tirunelveli,7670,2005-01-01,2025-12-31,25.94,20.21,32.18,3.33,209.16,79.24,2.87
Coimbatore,7670,2005-01-01,2025-12-31,24.56,18.29,32.21,3.33,57.95,76.01,2.1
Viluppuram,7670,2005-01-01,2025-12-31,27.8,20.5,35.96,3.16,134.94,71.49,2.48
Tiruvannamalai,7670,2005-01-01,2025-12-31,27.8,20.5,35.96,3.16,134.94,71.49,2.48
