Date,T2M,PRECTOTCORR,RH2M,WS2M
20050101,23.99,0.0,77.75,2.69
20050102,24.25,0.15,79.9,2.73
20050103,24.31,0.08,78.55,2.81
20050104,24.46,0.09,79.03,3.53
20050105,24.17,0.02,76.87,3.43
20050106,24.25,0.1,75.58,3.71
20050107,24.9,0.07,75.82,3.93
20050108,24.38,0.0,76.51,3.6
20050109,23.82,0.0,76.82,3.4
20050110,23.45,0.0,74.48,2.23
20050111,23.39,0.0,72.01,1.37
20050112,23.92,0.0,75.59,2.1
20050113,24.1,0.0,77.1,3.1
20050114,24.17,0.07,76.46,3.36
20050115,23.73,0.0,72.27,3.12
20050116,24.33,0.05,72.13,2.75
20050117,24.88,0.12,73.26,2.53
20050118,25.44,0.01,76.48,2.46
20050119,25.65,0.0,79.98,3.01
20050120,25.49,0.01,78.86,4.01
20050121,25.94,0.7,77.18,4.38
20050122,25.84,0.42,76.68,3.9
20050123,25.77,0.07,77.37,3.02
20050124,25.82,0.01,79.37,2.44
20050125,25.78,0.0,78.74,2.43
20050126,25.62,0.0,77.56,2.36
20050127,25.32,0.0,79.26,2.62
20050128,25.29,0.03,77.56,2.35
20050129,25.48,0.01,75.06,2.93
20050130,25.93,0.11,73.36,3.12
20050131,26.14,0.44,75.06,3.43
20050201,25.68,2.42,80.33,3.13
20050202,25.87,0.92,79.09,3.7
20050203,26.05,3.25,77.69,4.0
20050204,25.94,0.62,75.3,3.7
20050205,25.77,0.03,71.15,2.95
20050206,25.4,0.0,69.63,3.13
20050207,24.87,0.0,72.53,3.15
20050208,25.19,0.0,74.31,3.7
20050209,25.84,0.0,71.0,4.11
20050210,26.01,0.0,72.06,3.87
20050211,25.77,0.0,74.46,3.47
20050212,25.44,0.0,70.99,3.35
20050213,25.38,0.0,67.03,2.45
20050214,25.51,0.0,59.08,1.63
20050215,26.13,0.0,64.3,2.18
20050216,26.56,0.0,71.45,3.43
20050217,26.48,0.0,73.59,3.43
20050218,26.41,0.0,73.45,3.29
20050219,26.13,0.0,75.75,2.59
20050220,25.83,0.0,75.86,2.79
20050221,26.01,0.0,75.41,2.77
20050222,26.99,0.12,74.46,3.11
20050223,27.66,0.05,73.76,2.93
20050224,27.74,0.0,70.67,2.92
20050225,27.46,0.0,65.89,2.57
20050226,27.74,0.0,61.25,2.22
20050227,27.19,0.0,61.2,2.42
20050228,27.32,0.0,65.01,2.46
20050301,27.24,0.0,71.0,2.98
20050302,27.25,0.0,70.42,2.67
20050303,27.18,0.0,72.83,2.88
20050304,27.47,0.0,74.6,3.06
20050305,28.18,0.4,74.12,3.23
20050306,27.85,0.05,72.28,3.0
20050307,28.02,0.04,73.03,3.12
20050308,27.98,0.49,69.96,2.9
20050309,27.89,0.8,75.5,2.78
20050310,28.26,0.19,70.7,2.29
20050311,28.1,0.66,72.7,2.49
20050312,28.91,0.22,71.11,3.45
20050313,28.54,0.74,73.28,3.3
20050314,28.48,0.13,65.89,2.76
20050315,28.34,0.0,64.36,2.78
20050316,28.35,0.0,61.94,2.66
20050317,27.73,0.0,66.37,3.14
20050318,27.75,0.0,62.53,2.54
20050319,28.16,0.0,64.85,2.43
20050320,29.05,0.0,65.53,2.59
20050321,28.96,0.0,67.65,2.61
20050322,28.89,0.0,68.43,3.27
20050323,29.34,0.0,68.57,4.42
20050324,30.27,0.73,68.92,4.7
20050325,30.17,0.3,70.37,4.13
20050326,30.56,0.04,67.27,3.54
20050327,29.9,0.3,69.73,3.28
20050328,30.01,0.0,65.77,3.48
20050329,30.55,0.0,64.43,3.93
20050330,30.64,0.02,69.75,3.9
20050331,30.49,0.38,68.95,4.08
20050401,30.24,0.05,68.41,3.47
20050402,30.1,2.45,70.72,3.26
20050403,28.38,24.73,80.74,3.04
20050404,27.58,38.57,84.24,4.35
20050405,26.86,55.67,89.83,3.63
20050406,26.19,21.61,90.03,2.19
20050407,27.02,5.94,87.37,1.61
20050408,27.5,2.34,84.4,2.96
20050409,27.96,1.64,83.11,2.94
20050410,28.16,0.67,85.12,3.25
20050411,27.95,0.51,87.38,2.59
20050412,27.86,0.18,88.83,2.61
20050413,28.19,0.03,83.81,2.44
20050414,27.97,0.02,81.75,2.3
20050415,28.48,0.01,78.22,2.53
20050416,28.68,0.02,77.09,2.66
20050417,28.53,0.02,74.25,2.67
20050418,28.62,0.27,78.18,3.11
20050419,28.95,1.02,77.22,2.82
20050420,28.45,1.88,79.9,2.41
20050421,28.6,0.2,73.9,2.32
20050422,28.72,0.13,74.43,2.49
20050423,29.13,0.28,76.19,3.34
20050424,29.39,0.16,74.75,3.08
20050425,29.54,0.19,75.18,2.48
20050426,29.53,0.65,75.23,2.39
20050427,30.08,0.06,72.96,2.63
20050428,30.71,0.26,73.9,2.81
20050429,31.14,0.39,72.84,3.28
20050430,30.62,0.71,74.56,3.87
20050501,29.95,15.59,77.98,3.55
20050502,29.28,10.06,80.75,2.9
20050503,29.67,7.01,77.2,3.2
20050504,28.8,17.1,82.01,2.9
20050505,29.04,3.28,77.57,2.29
20050506,30.13,1.22,75.64,2.7
20050507,30.54,0.34,74.36,3.13
20050508,30.41,0.23,76.02,3.06
20050509,30.45,0.44,71.45,3.52
20050510,31.04,0.11,69.05,4.03
20050511,31.06,0.3,72.35,3.44
20050512,30.59,0.03,75.83,3.82
20050513,31.01,0.03,73.57,4.57
20050514,30.89,0.02,73.4,5.15
20050515,31.59,0.05,67.72,4.96
20050516,30.94,0.01,69.33,4.35
20050517,31.06,0.0,67.96,4.03
20050518,30.79,0.01,70.83,4.07
20050519,30.23,0.0,71.74,3.93
20050520,30.3,0.02,74.27,4.11
20050521,30.66,0.11,73.09,4.04
20050522,30.71,0.21,75.67,3.32
20050523,30.4,0.31,78.03,3.55
20050524,31.09,0.21,72.82,4.69
20050525,30.36,0.19,77.3,3.61
20050526,30.56,0.88,76.36,3.29
20050527,29.97,1.44,76.12,2.65
20050528,29.81,0.68,74.49,3.24
20050529,30.59,0.9,70.19,2.73
20050530,29.87,0.55,73.63,3.22
20050531,30.09,1.27,75.42,3.59
20050601,31.31,0.29,68.92,3.9
20050602,31.42,0.42,69.3,3.64
20050603,30.56,0.44,72.67,3.45
20050604,30.69,0.36,76.13,3.37
20050605,30.46,0.57,74.21,4.21
20050606,30.16,0.34,73.54,4.63
20050607,30.29,0.53,72.91,4.06
20050608,31.28,1.37,69.76,4.06
20050609,28.54,1.48,79.75,4.27
20050610,28.58,0.58,73.38,4.97
20050611,30.73,0.24,65.2,4.89
20050612,31.5,0.1,64.28,3.57
20050613,31.83,0.14,63.89,3.99
20050614,30.92,0.14,66.66,2.76
20050615,31.06,0.08,66.05,3.23
20050616,31.14,0.04,63.48,3.37
20050617,32.26,0.03,58.54,4.5
20050618,31.92,0.01,57.83,4.85
20050619,31.56,0.05,58.75,4.09
20050620,30.04,1.31,67.11,4.6
20050621,29.55,1.4,65.45,4.32
20050622,30.34,1.3,62.34,3.82
20050623,30.14,0.29,60.57,4.05
20050624,30.07,1.69,64.16,3.28
20050625,30.94,0.82,63.7,3.41
20050626,30.87,0.28,61.91,3.33
20050627,30.93,0.18,60.15,3.91
20050628,31.0,0.07,59.21,3.96
20050629,31.41,0.01,57.49,4.06
20050630,31.16,0.08,60.33,3.4
20050701,31.15,0.3,61.61,3.66
20050702,30.87,0.56,62.7,3.64
20050703,30.98,0.17,62.79,4.42
20050704,31.48,0.39,60.22,4.67
20050705,31.19,0.97,59.97,5.1
20050706,31.16,0.26,57.75,4.48
20050707,31.14,0.45,59.13,3.72
20050708,31.19,0.47,59.68,2.91
20050709,31.74,0.83,55.05,5.15
20050710,30.88,2.24,57.24,3.58
20050711,30.32,0.27,62.21,3.42
20050712,30.73,0.23,63.1,3.22
20050713,30.17,0.57,70.35,2.62
20050714,29.32,1.96,72.31,2.01
20050715,28.39,1.28,77.95,2.18
20050716,28.38,1.36,77.49,2.2
20050717,28.95,0.59,74.85,2.56
20050718,30.22,0.12,70.25,2.43
20050719,30.47,0.39,70.08,2.83
20050720,30.23,11.15,71.36,2.57
20050721,30.04,3.98,71.32,3.03
20050722,29.73,5.55,68.96,3.97
20050723,28.93,18.86,72.5,4.67
20050724,28.91,3.03,71.46,5.67
20050725,29.98,1.37,66.44,5.79
20050726,30.08,0.43,63.71,6.24
20050727,30.23,0.7,64.36,5.42
20050728,30.44,1.56,63.01,5.22
20050729,30.14,0.52,62.59,5.97
20050730,30.28,0.27,62.61,5.64
20050731,30.59,0.14,62.61,5.38
20050801,30.21,0.07,64.0,5.53
20050802,29.7,0.03,64.4,5.09
20050803,30.32,0.01,59.7,4.19
20050804,30.3,0.33,60.64,3.19
20050805,30.13,0.49,62.06,4.42
20050806,31.35,0.03,57.42,3.94
20050807,31.58,0.06,57.59,3.54
20050808,31.03,0.27,58.97,3.4
20050809,31.13,0.52,60.17,2.54
20050810,30.72,3.09,62.86,3.52
20050811,30.77,1.74,62.9,3.72
20050812,30.28,3.65,65.56,3.05
20050813,30.1,0.87,67.09,3.34
20050814,29.89,10.35,70.84,2.97
20050815,28.86,10.46,76.01,2.78
20050816,29.11,2.26,69.32,4.33
20050817,30.3,0.6,63.54,3.15
20050818,30.1,0.3,64.3,3.29
20050819,30.0,2.59,68.65,2.84
20050820,29.93,0.44,67.54,2.42
20050821,30.25,0.03,64.67,3.12
20050822,30.06,0.82,68.32,2.89
20050823,29.35,2.5,72.93,3.38
20050824,29.18,12.38,73.7,2.55
20050825,29.11,14.22,74.51,2.36
20050826,29.04,5.19,75.67,2.47
20050827,28.6,3.05,78.27,2.2
20050828,29.32,1.44,74.58,2.65
20050829,29.39,0.67,75.68,2.81
20050830,30.22,1.11,72.12,2.22
20050831,29.68,3.13,76.13,2.62
20050901,29.69,1.43,74.41,1.36
20050902,29.27,1.36,78.57,1.71
20050903,28.55,1.76,81.73,2.33
20050904,28.13,9.29,84.01,1.81
20050905,28.43,2.49,81.77,2.36
20050906,28.26,8.51,79.66,1.89
20050907,28.39,13.58,78.15,1.2
20050908,28.39,14.03,79.37,2.18
