Date,T2M,PRECTOTCORR,RH2M,WS2M
20050101,23.0,0.1,75.48,1.67
20050102,22.36,0.19,76.68,1.67
20050103,22.76,0.2,77.42,1.5
20050104,23.08,0.0,71.61,2.04
20050105,21.62,0.0,69.3,1.98
20050106,20.81,0.0,69.34,2.08
20050107,20.99,0.0,73.22,2.15
20050108,21.61,0.0,70.65,2.04
20050109,21.37,0.0,68.16,1.99
20050110,21.59,0.0,65.56,1.21
20050111,21.96,0.0,56.2,1.09
20050112,22.15,0.0,55.71,1.42
20050113,21.67,0.0,64.29,1.54
20050114,21.04,0.0,67.03,2.08
20050115,21.05,0.0,66.2,1.91
20050116,21.43,0.0,66.52,1.38
20050117,22.95,0.0,67.36,1.12
20050118,24.15,0.0,66.44,0.8
20050119,24.6,0.0,70.7,1.17
20050120,24.12,0.0,66.01,2.36
20050121,23.98,0.05,68.26,3.23
20050122,24.12,0.07,72.04,2.84
20050123,24.8,0.0,69.31,1.9
20050124,24.86,0.0,66.69,1.74
20050125,24.5,0.0,65.7,1.79
20050126,24.49,0.0,64.09,1.33
20050127,24.25,0.95,70.33,1.23
20050128,22.67,0.6,76.24,1.51
20050129,23.27,8.04,70.95,1.12
20050130,22.95,6.31,79.21,1.12
20050131,23.6,4.51,83.08,0.42
20050201,24.5,0.71,74.96,0.94
20050202,24.51,0.23,72.96,1.39
20050203,24.96,0.07,71.68,1.58
20050204,25.05,0.03,71.04,1.59
20050205,25.21,0.03,69.87,1.44
20050206,24.92,0.02,66.65,1.69
20050207,23.16,0.0,56.58,2.07
20050208,23.17,0.0,62.64,2.35
20050209,23.33,0.0,60.11,3.2
20050210,23.02,0.0,60.94,3.14
20050211,22.91,0.0,57.7,2.59
20050212,22.94,0.0,54.97,2.61
20050213,22.71,0.0,46.93,2.3
20050214,23.77,0.0,41.93,1.97
20050215,26.0,0.0,37.59,1.07
20050216,26.67,0.0,43.74,1.21
20050217,26.75,0.0,53.65,1.23
20050218,26.98,0.0,49.95,1.26
20050219,26.48,0.0,44.26,1.32
20050220,26.17,0.0,39.97,1.5
20050221,26.6,0.0,49.48,0.86
20050222,27.16,0.29,56.58,0.86
20050223,27.53,0.09,58.23,1.45
20050224,27.96,0.0,56.2,1.49
20050225,27.32,0.0,45.5,1.96
20050226,26.9,0.0,40.54,2.02
20050227,25.61,0.0,39.43,1.95
20050228,25.23,0.0,35.67,1.78
20050301,26.05,0.0,44.62,1.84
20050302,26.9,0.0,43.38,1.34
20050303,27.11,0.0,44.48,1.61
20050304,28.23,0.99,48.25,1.07
20050305,28.18,1.94,57.97,1.23
20050306,27.98,0.05,56.78,1.22
20050307,27.96,0.0,50.23,1.8
20050308,27.33,0.0,54.52,1.47
20050309,26.67,0.0,56.41,1.43
20050310,26.28,5.49,61.84,0.65
20050311,26.2,0.84,64.38,0.51
20050312,27.52,0.59,60.77,0.78
20050313,26.99,13.52,66.66,0.98
20050314,25.82,12.38,70.7,1.38
20050315,26.27,1.52,67.19,1.43
20050316,25.72,0.0,59.49,1.44
20050317,25.09,0.0,54.36,2.11
20050318,24.95,0.0,50.08,1.55
20050319,26.08,0.02,49.35,1.59
20050320,26.91,0.0,56.69,0.81
20050321,27.27,0.0,60.47,1.34
20050322,27.95,0.0,61.06,1.24
20050323,28.15,0.0,62.42,1.71
20050324,28.87,0.04,56.22,1.66
20050325,28.72,0.0,51.59,2.11
20050326,27.68,0.0,56.77,1.99
20050327,29.44,0.0,54.24,1.02
20050328,29.93,0.0,54.85,1.4
20050329,29.01,0.0,59.79,2.63
20050330,28.64,3.73,62.35,1.74
20050331,27.27,0.23,65.89,1.75
20050401,29.13,0.15,55.84,1.2
20050402,29.68,0.08,53.25,1.5
20050403,28.09,9.57,64.44,1.73
20050404,24.33,2.72,82.4,1.56
20050405,23.51,2.9,85.24,2.3
20050406,25.18,24.24,81.21,1.22
20050407,23.99,11.76,85.23,2.05
20050408,25.26,1.74,79.32,1.97
20050409,25.91,0.15,77.73,1.75
20050410,26.36,0.68,78.18,1.07
20050411,26.21,1.15,79.11,0.74
20050412,26.26,0.73,77.55,0.92
20050413,26.16,1.85,78.6,0.73
20050414,27.21,0.26,71.55,0.75
20050415,27.74,0.29,67.79,1.3
20050416,27.57,0.13,67.64,1.08
20050417,27.92,0.05,64.92,1.16
20050418,26.86,0.06,71.47,0.89
20050419,27.59,1.9,69.63,1.01
20050420,25.79,1.95,75.67,1.33
20050421,26.36,0.19,69.3,1.43
20050422,26.55,0.01,70.47,0.78
20050423,27.56,0.51,68.28,1.18
20050424,27.23,0.12,72.24,0.9
20050425,26.42,1.57,75.24,0.66
20050426,27.17,1.37,73.69,0.83
20050427,27.12,0.55,75.89,0.71
20050428,28.31,0.0,70.03,1.34
20050429,29.03,0.05,66.8,1.06
20050430,27.5,2.91,74.34,1.13
20050501,27.06,8.6,76.82,1.17
20050502,26.24,1.85,78.4,0.79
20050503,27.58,0.22,67.4,1.71
20050504,26.83,1.63,69.23,1.54
20050505,27.19,0.57,70.13,1.55
20050506,27.39,3.82,69.37,1.82
