Date,T2M,PRECTOTCORR,RH2M,WS2M
20050101,21.65,0.0,74.89,1.5
20050102,21.82,0.0,78.42,1.61
20050103,22.95,0.01,79.63,1.42
20050104,22.32,0.0,73.22,2.11
20050105,20.99,0.0,73.62,2.02
20050106,20.32,0.0,75.95,2.15
20050107,21.02,0.0,75.53,2.22
20050108,21.3,0.0,75.04,2.13
20050109,20.82,0.0,73.4,2.18
20050110,20.76,0.0,67.09,1.33
20050111,21.52,0.0,64.36,1.09
20050112,21.7,0.0,61.88,1.51
20050113,21.34,0.0,69.42,1.86
20050114,20.98,0.0,72.41,2.16
20050115,20.72,0.0,69.74,1.79
20050116,20.81,0.0,70.64,1.53
20050117,22.2,0.0,72.05,1.25
20050118,23.78,0.0,72.0,1.1
20050119,24.14,0.0,73.59,1.64
20050120,23.59,0.0,70.19,2.53
20050121,23.61,0.46,72.04,3.15
20050122,23.63,0.31,74.79,2.39
20050123,24.41,0.0,71.07,1.84
20050124,24.77,0.0,69.0,1.73
20050125,24.33,0.0,68.31,1.86
20050126,24.22,0.0,68.7,1.45
20050127,24.08,0.26,70.21,1.64
20050128,22.6,0.12,74.53,1.21
20050129,23.4,0.22,68.83,1.75
20050130,23.86,0.38,70.51,1.88
20050131,23.22,1.99,80.08,1.48
20050201,22.6,2.59,85.55,1.58
20050202,24.69,0.76,74.15,2.02
20050203,24.51,1.97,74.43,2.27
20050204,24.31,0.66,75.2,2.25
20050205,24.75,0.0,69.43,1.82
20050206,24.28,0.0,64.84,1.76
20050207,22.87,0.0,62.39,2.18
20050208,23.02,0.0,67.24,2.61
20050209,23.09,0.0,64.19,3.02
20050210,22.76,0.0,63.32,2.97
20050211,23.01,0.0,61.37,2.61
20050212,22.54,0.0,58.16,2.54
20050213,22.77,0.0,50.58,2.34
20050214,24.34,0.0,39.46,1.96
20050215,25.82,0.0,37.07,1.55
20050216,26.52,0.0,36.58,1.44
20050217,26.7,0.0,41.26,1.53
20050218,26.76,0.0,41.91,1.78
20050219,25.81,0.0,45.72,1.94
20050220,25.02,0.0,50.23,1.93
20050221,24.71,0.0,57.77,1.79
20050222,26.43,0.8,65.64,1.76
20050223,27.2,0.12,62.1,1.91
20050224,27.59,0.0,58.01,2.1
20050225,26.38,0.0,52.85,2.22
20050226,26.78,0.0,47.28,2.32
20050227,25.78,0.0,42.69,2.34
20050228,25.73,0.0,41.12,2.23
20050301,26.38,0.0,53.55,2.56
20050302,26.58,0.0,51.57,1.84
20050303,27.12,0.0,51.57,2.1
20050304,27.69,0.0,51.47,1.86
20050305,28.55,0.06,56.74,2.38
20050306,28.35,0.0,54.67,2.35
20050307,28.27,0.0,53.22,2.34
20050308,27.35,0.09,57.42,2.36
20050309,27.23,0.05,61.2,2.03
20050310,27.03,1.29,60.62,1.14
20050311,26.51,3.5,61.48,0.95
20050312,28.08,0.36,58.9,1.15
20050313,28.2,5.04,61.64,1.57
20050314,26.24,3.95,63.48,2.3
20050315,27.25,0.0,57.59,1.58
20050316,26.86,0.0,52.39,1.91
20050317,26.45,0.0,49.57,2.5
20050318,26.31,0.0,46.63,1.98
20050319,27.36,0.0,46.15,1.88
20050320,27.82,0.0,52.45,1.36
20050321,29.04,0.0,47.14,1.68
20050322,29.06,0.0,46.59,1.45
20050323,30.51,0.0,43.75,1.74
20050324,32.23,0.52,40.13,1.8
