Date,T2M,PRECTOTCORR,RH2M,WS2M
20050101,23.26,0.06,81.07,1.5
20050102,22.8,0.11,82.36,1.74
20050103,23.51,0.09,82.68,1.7
20050104,23.09,0.0,77.82,1.87
20050105,22.5,0.0,79.91,2.04
20050106,21.65,0.0,78.12,2.0
20050107,22.36,0.0,79.12,2.44
20050108,22.77,0.0,78.21,2.12
20050109,21.78,0.0,79.5,2.08
20050110,22.02,0.0,73.03,1.53
20050111,22.23,0.0,69.03,1.42
20050112,22.09,0.0,70.07,1.56
20050113,22.48,0.0,72.6,1.9
20050114,22.4,0.0,74.85,2.23
20050115,22.15,0.0,73.44,1.88
20050116,22.59,0.0,75.12,1.54
20050117,23.71,0.01,74.89,1.37
20050118,24.7,0.17,75.97,1.43
20050119,25.37,0.02,75.69,1.57
20050120,25.02,0.15,73.98,2.42
20050121,24.63,0.95,77.22,2.94
20050122,24.93,0.87,78.41,2.64
20050123,25.45,0.08,72.9,2.1
20050124,25.36,0.01,75.23,1.81
20050125,25.38,0.0,71.4,1.95
20050126,25.49,0.0,70.47,1.83
20050127,25.22,0.58,72.02,1.7
20050128,24.26,0.2,75.39,1.34
20050129,24.79,3.16,72.5,1.59
20050130,25.01,2.1,75.62,1.69
20050131,25.76,2.16,77.46,2.03
20050201,25.32,0.59,81.14,1.86
20050202,26.2,0.22,73.27,2.06
20050203,25.88,0.69,72.56,2.2
20050204,26.08,0.06,70.84,2.24
20050205,26.25,0.01,67.98,1.9
20050206,25.6,0.0,64.4,1.94
20050207,24.29,0.0,66.45,1.86
20050208,24.8,0.0,68.41,2.4
20050209,24.64,0.0,68.15,2.85
20050210,24.94,0.0,67.18,2.91
20050211,24.7,0.0,66.24,2.45
20050212,24.27,0.0,64.71,2.55
20050213,23.93,0.0,61.96,2.08
20050214,24.28,0.0,59.88,1.71
20050215,25.6,0.0,52.8,1.25
20050216,26.64,0.0,48.41,1.49
20050217,26.67,0.0,53.17,1.69
20050218,26.88,0.0,52.05,1.88
20050219,26.03,0.0,56.8,1.79
20050220,25.54,0.0,64.76,1.6
20050221,26.15,0.01,67.72,1.46
20050222,27.26,1.79,69.41,1.83
20050223,28.11,0.28,66.29,1.92
20050224,28.24,0.0,64.08,1.97
20050225,27.35,0.0,58.95,1.78
20050226,26.73,0.0,55.41,1.85
20050227,26.51,0.0,55.13,1.68
20050228,26.29,0.0,52.71,1.81
20050301,27.06,0.0,59.36,2.08
20050302,27.62,0.0,58.25,1.73
20050303,28.27,0.0,58.03,1.96
20050304,29.03,0.02,57.73,1.89
20050305,29.35,1.48,62.09,2.19
20050306,28.61,0.27,62.43,2.02
20050307,28.55,0.01,62.38,2.34
20050308,27.62,0.0,64.46,2.01
20050309,27.97,0.0,63.72,1.89
20050310,27.8,1.66,64.5,1.15
20050311,28.37,0.93,62.57,1.66
20050312,29.68,0.19,57.35,1.85
20050313,29.21,7.31,63.48,1.53
20050314,27.99,5.62,70.94,1.99
20050315,27.99,0.0,61.3,1.75
20050316,27.75,0.0,57.84,1.86
20050317,27.38,0.0,57.86,2.36
20050318,27.58,0.18,56.66,1.58
20050319,28.8,0.7,57.66,1.71
20050320,29.6,0.0,55.16,1.32
20050321,30.42,0.0,52.6,1.81
20050322,30.96,0.0,48.33,1.54
20050323,31.78,0.0,47.87,1.32
20050324,32.29,0.24,49.38,1.48
20050325,32.37,0.04,46.6,1.23
20050326,32.11,0.0,44.14,1.56
20050327,32.57,0.02,44.34,1.92
20050328,32.79,0.0,42.49,2.41
20050329,33.35,0.0,43.33,1.49
20050330,33.03,1.24,46.57,2.04
20050331,31.77,0.05,49.52,1.71
20050401,32.26,0.01,50.0,2.42
20050402,31.58,1.0,56.31,2.86
20050403,27.77,17.64,73.44,2.01
20050404,25.11,18.14,88.03,3.59
20050405,25.29,12.05,87.7,2.56
20050406,26.27,20.59,83.64,1.6
20050407,26.45,14.7,81.9,1.66
20050408,26.82,0.4,78.03,1.5
20050409,28.51,0.12,69.81,1.49
20050410,28.69,0.34,70.4,0.99
20050411,28.23,1.25,75.62,1.07
20050412,27.76,0.53,78.09,1.07
20050413,27.82,0.63,76.13,1.59
20050414,28.86,0.02,68.9,1.65
20050415,28.85,0.04,67.85,1.99
20050416,29.52,0.79,62.66,1.67
20050417,29.42,0.19,60.8,1.96
20050418,28.99,0.2,63.02,1.75
20050419,29.13,1.07,66.82,2.15
20050420,26.98,7.72,78.85,2.05
20050421,27.55,0.9,72.3,1.77
20050422,27.92,0.07,70.86,1.71
20050423,28.91,0.04,67.36,2.08
20050424,29.33,0.03,67.06,1.43
20050425,28.93,0.76,68.66,0.91
20050426,29.69,0.25,64.36,1.23
20050427,29.99,0.07,63.01,1.11
20050428,31.03,0.0,61.25,1.1
20050429,31.45,0.01,60.68,1.52
20050430,29.69,21.23,72.34,1.09
20050501,29.28,9.37,74.65,1.06
20050502,28.19,2.83,78.04,1.2
20050503,29.81,1.39,68.26,1.24
20050504,28.76,4.59,72.73,0.68
20050505,29.23,0.29,68.98,1.1
20050506,29.99,1.2,64.18,1.89
20050507,29.83,0.91,63.12,2.06
20050508,28.82,0.0,66.1,2.18
20050509,31.24,0.06,58.09,1.86
20050510,30.26,0.0,57.7,3.08
20050511,29.42,0.04,64.98,2.58
20050512,30.38,0.47,64.85,2.07
20050513,30.99,0.05,61.78,1.9
20050514,30.45,0.64,63.22,1.74
20050515,30.56,1.88,64.28,1.75
20050516,29.49,0.05,63.85,1.56
20050517,31.09,0.0,55.98,1.45
20050518,31.95,0.0,55.86,1.89
20050519,32.32,0.0,55.35,1.93
20050520,32.07,0.0,57.32,1.88
20050521,32.17,0.03,57.99,1.53
20050522,32.22,0.07,56.95,1.72
20050523,31.95,0.14,58.47,1.47
20050524,31.36,0.01,59.25,1.09
20050525,31.2,0.07,58.44,1.63
20050526,30.73,17.28,62.05,1.91
20050527,28.71,1.38,73.23,2.1
20050528,27.74,2.69,71.13,2.34
20050529,29.04,6.31,67.06,2.15
20050530,29.34,0.04,66.59,1.78
20050531,29.4,0.71,64.98,2.16
20050601,29.52,0.06,66.46,2.24
20050602,30.24,0.05,64.02,2.46
20050603,29.44,0.03,68.52,1.75
20050604,29.45,1.18,67.98,1.6
20050605,29.07,2.09,70.35,1.6
20050606,29.58,0.23,65.43,1.24
20050607,29.48,0.44,66.51,1.73
20050608,29.94,1.11,66.26,2.37
20050609,27.69,3.14,70.82,3.51
20050610,27.85,1.11,61.95,3.65
20050611,28.99,0.36,66.3,3.32
20050612,30.35,0.55,59.45,3.71
20050613,29.85,1.09,60.83,3.36
20050614,27.7,0.03,68.36,3.45
20050615,29.55,0.57,60.47,3.02
20050616,29.33,3.42,66.5,3.57
20050617,28.5,0.74,67.56,4.37
20050618,28.06,0.3,64.25,4.68
20050619,28.49,1.78,66.64,3.89
20050620,27.92,3.84,69.13,4.11
20050621,27.79,0.49,68.84,4.26
20050622,28.0,0.28,64.16,4.73
20050623,28.63,0.01,62.34,4.14
20050624,29.45,0.32,61.2,4.59
20050625,29.28,1.25,64.54,3.65
20050626,28.9,0.43,65.16,3.91
20050627,28.56,0.08,65.06,3.7
20050628,28.39,0.18,64.22,3.88
20050629,28.05,0.28,63.99,3.31
20050630,28.89,1.31,63.75,3.07
20050701,28.22,1.08,69.5,3.32
20050702,28.57,0.59,65.23,3.29
20050703,28.25,0.6,66.35,3.69
20050704,28.0,1.58,68.34,3.41
20050705,28.12,0.25,67.58,4.08
20050706,27.77,0.14,64.85,4.91
20050707,28.64,0.05,59.69,4.95
20050708,29.27,0.25,62.91,4.27
20050709,28.29,1.6,64.59,5.07
20050710,27.31,1.32,66.7,3.93
20050711,28.05,0.35,63.43,4.2
20050712,28.47,0.01,65.2,3.55
20050713,27.06,1.92,73.62,2.4
20050714,27.51,15.85,71.9,2.6
20050715,27.18,3.04,74.77,1.61
20050716,27.44,0.67,74.01,1.36
20050717,27.59,1.7,71.93,2.45
20050718,28.62,0.22,67.32,2.5
20050719,28.13,0.03,69.38,3.29
20050720,27.89,0.47,70.05,3.48
20050721,27.61,0.0,66.98,4.2
20050722,27.73,0.58,66.42,3.99
20050723,27.35,0.94,69.4,3.9
20050724,27.71,0.42,65.69,5.08
20050725,27.37,0.18,63.57,6.03
20050726,28.18,1.34,62.53,6.22
20050727,28.46,0.88,63.47,5.16
20050728,28.0,1.51,65.83,4.42
20050729,27.35,3.11,67.89,4.7
20050730,27.68,2.02,65.46,5.57
20050731,28.29,1.58,64.45,6.43
20050801,27.76,2.0,65.67,6.23
20050802,27.56,0.85,62.4,6.49
20050803,28.03,0.09,57.91,4.98
20050804,27.49,0.16,65.08,4.54
20050805,28.35,0.12,61.54,5.12
20050806,28.97,0.0,59.38,4.61
20050807,29.25,0.0,59.1,4.3
20050808,28.62,0.01,60.26,4.26
20050809,28.46,0.18,63.06,3.86
20050810,28.45,0.29,64.93,4.63
20050811,28.29,0.72,66.05,4.73
20050812,28.66,0.19,62.04,5.08
20050813,28.9,0.05,61.65,4.57
20050814,29.2,0.59,61.24,4.8
20050815,29.25,0.22,59.71,4.93
20050816,28.75,0.24,59.76,4.89
20050817,29.09,0.0,58.54,4.44
20050818,28.79,0.0,56.62,4.37
20050819,28.67,0.07,60.51,4.09
20050820,29.28,0.0,57.63,3.93
20050821,30.04,0.08,55.61,3.18
20050822,29.64,0.1,57.06,2.11
20050823,29.49,2.98,59.59,1.17
20050824,28.67,1.49,63.13,2.06
20050825,28.31,16.41,66.31,2.47
20050826,27.77,8.79,70.78,1.92
20050827,26.64,2.37,78.53,1.63
20050828,28.89,0.29,68.27,1.41
20050829,28.94,0.1,68.15,1.61
20050830,30.27,0.25,59.77,1.83
20050831,28.38,6.62,68.62,2.87
20050901,28.15,1.03,72.28,2.16
20050902,27.12,27.38,80.41,2.15
20050903,26.9,7.23,81.96,1.9
20050904,26.92,9.28,81.58,1.89
20050905,26.57,2.09,77.57,3.18
20050906,26.6,1.58,74.61,2.88
20050907,26.41,4.13,76.61,2.75
20050908,27.54,0.37,72.66,3.3
20050909,28.09,0.19,68.07,4.09
20050910,27.27,3.02,71.04,3.5
20050911,26.66,1.76,71.75,3.34
20050912,26.75,0.4,72.04,3.71
20050913,27.09,0.16,70.49,3.65
20050914,28.06,0.02,67.79,3.01
20050915,26.46,23.3,73.31,2.1
20050916,27.2,0.12,73.3,1.88
20050917,28.52,0.0,65.73,2.85
