Date,T2M,PRECTOTCORR,RH2M,WS2M
20050101,23.26,0.02,70.45,0.98
20050102,23.08,0.03,72.13,1.18
20050103,24.01,0.05,73.65,1.02
20050104,23.87,0.0,66.25,1.39
20050105,22.29,0.0,67.74,1.34
20050106,21.45,0.0,69.23,1.43
20050107,21.99,0.0,70.56,1.6
20050108,22.38,0.0,69.54,1.41
20050109,22.16,0.0,67.3,1.44
20050110,21.79,0.0,63.14,1.02
20050111,22.3,0.0,55.79,0.87
20050112,22.63,0.0,52.05,1.0
20050113,22.58,0.0,62.26,1.24
20050114,22.12,0.0,66.65,1.51
20050115,21.76,0.0,65.44,1.26
20050116,21.78,0.0,66.22,0.99
20050117,23.37,0.0,66.57,0.94
20050118,24.83,0.0,64.38,0.84
20050119,25.15,0.0,69.05,1.02
20050120,24.92,0.0,64.37,1.38
20050121,24.57,0.23,67.03,1.78
20050122,24.78,0.16,70.41,1.52
20050123,25.63,0.0,65.24,1.22
20050124,25.78,0.0,63.33,1.2
20050125,25.4,0.0,63.58,1.22
20050126,25.2,0.0,63.21,1.06
20050127,25.0,0.59,67.39,1.11
20050128,23.43,0.11,71.55,0.93
20050129,24.02,1.37,66.11,1.03
20050130,24.35,1.44,71.43,0.99
20050131,23.44,3.85,82.05,1.0
20050201,23.18,1.65,84.53,1.13
20050202,25.21,0.48,71.83,1.17
20050203,25.69,0.61,68.66,1.54
20050204,25.6,0.25,69.25,1.55
20050205,26.08,0.0,64.12,1.36
20050206,25.76,0.0,58.86,1.28
20050207,24.39,0.0,54.49,1.3
20050208,24.26,0.0,60.46,1.48
20050209,24.13,0.0,58.14,1.88
20050210,23.89,0.0,57.75,2.01
20050211,24.16,0.0,52.81,1.78
20050212,23.84,0.0,51.16,1.78
20050213,24.02,0.0,41.48,1.7
20050214,25.13,0.0,35.46,1.44
20050215,26.39,0.0,34.16,1.17
20050216,27.49,0.0,28.58,1.22
20050217,27.95,0.0,32.51,1.27
20050218,27.9,0.0,36.98,1.41
20050219,26.83,0.0,37.49,1.32
20050220,26.38,0.0,42.38,1.19
20050221,26.26,0.0,49.05,1.3
20050222,27.38,0.72,57.43,1.36
20050223,27.89,0.14,57.55,1.22
20050224,28.53,0.0,56.11,1.56
20050225,27.82,0.0,45.26,1.42
20050226,27.9,0.0,40.67,1.47
20050227,26.96,0.0,36.24,1.35
20050228,26.28,0.0,32.98,1.25
20050301,27.45,0.0,43.86,1.45
20050302,27.66,0.0,42.31,1.1
20050303,27.93,0.0,46.84,1.22
20050304,28.7,0.01,43.86,1.23
20050305,29.44,0.49,53.08,1.55
20050306,29.08,0.02,52.44,1.51
20050307,28.97,0.0,47.71,1.53
20050308,28.04,0.02,54.55,1.57
20050309,27.64,0.0,57.06,1.11
20050310,27.1,4.4,60.25,0.77
20050311,26.52,2.59,62.73,0.69
20050312,28.32,0.48,58.16,0.76
20050313,28.13,11.2,62.81,0.8
20050314,26.44,11.83,70.45,1.36
20050315,27.27,0.04,60.82,1.1
20050316,26.63,0.0,55.51,1.03
20050317,26.4,0.0,50.17,1.47
20050318,26.21,0.0,46.87,0.93
20050319,27.15,0.02,49.17,0.99
20050320,27.55,0.0,54.57,0.69
20050321,28.7,0.0,47.1,0.9
20050322,29.46,0.0,45.68,0.83
20050323,30.4,0.0,49.35,1.17
20050324,31.82,0.18,45.51,1.21
20050325,32.04,0.12,37.75,1.22
20050326,30.56,0.0,41.95,1.57
20050327,30.99,0.0,45.14,1.36
20050328,32.46,0.0,41.0,1.14
20050329,32.64,0.0,43.43,1.53
20050330,31.74,2.76,47.8,1.48
20050331,30.35,0.06,52.38,1.27
20050401,31.78,0.8,44.66,1.16
20050402,31.29,0.12,49.29,1.81
20050403,28.63,12.05,65.81,1.61
20050404,25.29,7.2,80.28,1.36
20050405,24.36,7.15,84.34,2.11
20050406,25.7,17.43,80.73,1.1
20050407,24.86,9.06,83.57,1.38
20050408,27.65,0.16,67.93,1.23
20050409,28.32,0.19,67.27,1.14
20050410,28.62,1.94,67.82,0.76
20050411,27.74,0.6,71.82,0.74
20050412,27.94,0.18,68.69,0.96
20050413,27.81,0.16,70.93,0.98
20050414,28.68,0.08,64.47,0.95
20050415,28.88,0.16,61.61,1.27
20050416,29.43,0.01,55.38,1.0
20050417,28.94,0.01,55.53,1.01
20050418,28.66,0.04,58.23,0.86
20050419,29.03,0.14,58.04,1.24
20050420,26.92,2.36,73.07,1.09
20050421,27.5,0.24,65.22,1.35
20050422,27.4,0.0,67.96,0.75
20050423,29.09,0.09,59.76,1.18
20050424,28.62,0.01,64.78,0.73
20050425,27.71,1.37,67.56,0.65
20050426,28.09,6.18,67.92,0.83
20050427,28.92,1.29,65.14,0.55
20050428,30.91,0.01,56.42,0.88
20050429,31.32,0.0,56.04,0.91
20050430,29.24,8.2,66.72,1.15
20050501,28.77,9.81,72.99,0.86
20050502,27.89,1.74,75.19,0.83
20050503,29.95,0.46,61.84,0.91
20050504,27.61,6.22,71.15,1.05
20050505,28.92,3.21,66.09,0.73
20050506,29.52,2.97,63.79,1.37
20050507,29.39,3.39,64.91,1.1
20050508,28.44,0.0,64.68,1.0
20050509,30.36,0.09,57.0,1.58
20050510,29.48,0.05,60.81,2.07
20050511,29.42,0.07,64.18,1.56
20050512,30.67,1.39,60.16,1.43
20050513,29.93,0.13,61.64,1.75
20050514,31.04,0.15,56.27,1.53
20050515,30.94,0.74,56.97,1.94
20050516,30.37,0.04,56.55,1.76
20050517,31.17,0.0,53.84,1.5
20050518,32.38,0.0,49.88,1.67
20050519,32.82,0.0,47.98,1.34
20050520,32.7,0.0,47.61,1.13
20050521,31.33,1.0,54.47,1.36
20050522,32.21,1.36,54.04,1.45
20050523,31.3,4.55,57.49,1.23
20050524,30.91,0.31,58.45,1.58
20050525,30.57,1.17,58.17,1.17
20050526,29.78,23.41,66.08,1.35
20050527,27.6,11.36,74.92,1.17
20050528,27.67,2.3,68.09,1.56
20050529,28.36,1.08,64.3,1.22
20050530,28.55,0.22,64.82,1.61
20050531,27.34,9.04,73.14,1.83
20050601,28.27,1.33,70.85,1.91
20050602,27.78,1.54,71.49,2.12
20050603,28.42,0.12,69.0,1.14
20050604,28.09,2.63,72.56,1.21
20050605,28.31,1.55,71.5,1.35
20050606,27.45,0.36,73.53,1.9
20050607,28.17,0.05,68.67,1.97
20050608,28.57,0.33,67.88,2.21
20050609,25.93,1.03,78.18,2.86
20050610,26.11,1.5,68.78,3.54
20050611,27.8,0.09,66.57,2.35
20050612,28.81,0.23,61.42,2.53
20050613,28.01,0.3,66.59,2.66
20050614,27.56,0.01,67.85,2.13
20050615,28.56,0.06,63.53,2.19
20050616,28.52,0.63,66.32,2.68
20050617,27.85,0.3,67.96,3.37
20050618,26.79,0.31,66.47,3.35
20050619,27.59,0.43,66.01,3.3
20050620,26.97,2.86,69.4,2.85
20050621,26.99,0.52,69.04,2.87
20050622,26.44,0.58,62.31,3.35
20050623,27.33,0.03,61.42,2.89
20050624,28.0,0.55,64.04,2.95
20050625,28.1,0.27,65.22,2.7
20050626,27.08,0.05,69.0,2.56
20050627,26.67,0.07,70.5,2.47
20050628,26.98,0.13,66.48,2.93
20050629,27.58,0.12,64.51,2.93
20050630,27.19,1.83,69.56,2.5
20050701,26.61,1.33,72.46,2.35
20050702,27.16,0.93,66.86,2.49
20050703,27.07,0.21,69.45,2.7
20050704,27.25,0.85,67.87,2.8
20050705,27.05,0.38,68.58,3.11
20050706,27.32,0.34,60.65,3.77
20050707,27.95,0.08,60.98,3.43
20050708,27.91,0.74,66.21,2.73
20050709,27.19,0.16,65.54,3.28
20050710,26.21,1.99,62.03,2.89
20050711,26.83,0.56,61.6,2.87
20050712,27.29,0.3,67.15,2.29
20050713,26.23,3.42,74.25,1.12
20050714,25.82,14.8,76.49,1.7
20050715,25.95,7.17,79.3,1.07
20050716,25.56,4.96,81.61,0.87
20050717,26.42,1.56,75.9,1.94
20050718,27.37,0.11,70.95,1.97
20050719,27.12,0.21,73.64,2.01
20050720,26.74,0.65,72.95,2.02
20050721,26.42,0.03,71.68,2.38
20050722,26.32,0.47,70.49,2.46
20050723,25.74,6.11,74.89,2.29
20050724,25.9,1.82,71.85,3.35
20050725,26.19,1.27,67.41,4.23
20050726,26.81,0.75,64.39,4.15
20050727,27.07,0.43,65.75,3.85
20050728,26.7,0.58,65.75,3.49
20050729,25.88,0.63,66.23,3.68
20050730,26.5,1.21,67.45,4.05
20050731,27.22,1.03,65.48,4.47
20050801,26.61,1.61,67.53,4.13
20050802,26.46,0.7,64.98,4.42
20050803,25.92,0.14,65.83,3.57
20050804,26.16,0.23,67.69,3.27
20050805,26.68,0.11,63.53,3.57
20050806,27.55,0.04,60.67,3.22
20050807,27.3,0.02,62.9,3.02
20050808,26.93,0.08,64.81,2.9
20050809,27.38,0.19,64.7,2.73
20050810,26.92,5.07,68.05,2.89
20050811,27.54,0.4,64.95,3.05
20050812,27.87,0.31,62.27,3.3
20050813,27.95,0.37,62.23,3.05
20050814,27.95,0.49,62.52,3.25
20050815,27.7,2.81,63.7,3.19
20050816,26.14,0.59,63.78,3.33
20050817,27.6,0.1,60.44,3.16
20050818,27.26,0.01,59.84,2.86
20050819,27.09,0.82,64.88,2.61
20050820,28.02,0.0,59.98,2.58
20050821,28.44,0.61,59.81,2.28
20050822,28.2,0.84,62.56,1.66
20050823,26.8,18.41,72.44,1.03
20050824,26.42,2.5,72.75,1.37
20050825,27.01,6.69,67.56,1.64
20050826,26.58,4.45,71.35,1.22
20050827,25.84,9.86,78.14,1.13
20050828,27.59,5.09,73.87,0.72
20050829,27.79,1.48,70.4,1.15
20050830,29.11,0.1,64.03,1.4
20050831,27.13,2.23,70.1,1.53
20050901,27.2,4.5,72.68,1.2
20050902,26.16,11.15,81.12,1.28
20050903,25.85,9.33,83.08,1.17
20050904,25.79,7.27,83.25,1.44
20050905,25.69,0.67,78.06,2.14
20050906,25.94,2.03,78.22,1.69
20050907,24.96,4.39,79.96,1.8
20050908,26.68,1.17,75.26,2.19
20050909,26.86,0.37,71.52,2.66
20050910,25.76,3.73,73.89,2.56
20050911,25.25,1.73,74.95,2.42
20050912,25.62,0.29,75.14,2.62
20050913,26.1,0.33,72.11,2.85
20050914,26.7,0.24,69.45,2.6
20050915,25.63,7.26,73.35,1.75
20050916,26.06,0.07,75.38,1.58
20050917,27.28,0.06,67.17,1.83
20050918,27.01,0.0,66.09,2.34
20050919,26.2,0.16,65.89,3.03
20050920,26.17,1.56,68.98,3.27
20050921,27.26,0.25,67.68,2.7
20050922,27.55,0.07,66.11,2.02
20050923,27.47,0.0,64.07,1.95
20050924,27.68,0.39,63.7,1.7
20050925,27.62,0.89,64.79,1.65
20050926,28.0,0.01,61.45,1.68
20050927,27.84,0.02,64.23,1.47
20050928,26.8,5.67,71.39,1.41
20050929,26.52,3.5,72.32,1.34
20050930,25.54,5.88,75.64,1.47
20051001,26.05,0.71,70.98,1.13
20051002,26.01,3.27,73.76,0.7
20051003,26.39,5.61,73.73,0.97
20051004,26.39,33.29,76.76,0.66
20051005,26.12,8.75,78.97,0.79
20051006,26.82,0.38,74.41,0.99
20051007,26.75,5.9,78.68,0.68
20051008,25.95,22.36,82.67,1.1
20051009,25.3,11.08,83.88,0.71
20051010,24.32,13.35,86.96,0.77
20051011,24.75,16.86,83.29,0.75
20051012,23.89,7.83,87.84,0.74
20051013,24.05,12.61,89.5,0.91
20051014,24.41,0.73,85.22,1.4
20051015,25.19,1.73,81.81,1.04
20051016,25.24,2.8,78.61,0.81
20051017,24.93,13.13,83.75,0.73
20051018,24.38,5.35,85.61,0.7
20051019,24.55,4.29,85.92,1.44
20051020,25.05,0.38,81.4,1.07
20051021,24.72,37.72,85.05,1.32
20051022,23.57,39.6,90.91,0.95
20051023,23.98,15.64,91.11,1.21
20051024,23.82,25.93,89.07,0.8
20051025,23.37,34.91,90.82,0.95
20051026,22.82,5.28,90.24,0.84
20051027,23.21,5.31,89.95,1.24
20051028,24.44,1.23,85.63,1.49
20051029,25.38,1.4,84.88,1.59
20051030,24.8,4.17,86.96,1.48
20051031,24.54,0.6,88.56,0.98
20051101,24.82,17.88,87.65,1.0
20051102,23.75,12.9,91.3,0.76
20051103,23.72,6.43,86.19,0.8
20051104,23.57,15.2,88.5,0.83
20051105,22.46,11.74,91.38,1.2
20051106,23.12,10.19,91.66,1.09
20051107,22.75,11.96,92.38,1.31
20051108,23.11,6.07,90.94,1.3
20051109,22.86,1.32,91.69,1.1
20051110,24.06,1.18,88.4,0.8
20051111,23.42,3.55,91.93,0.64
20051112,23.07,5.8,90.73,1.27
20051113,21.45,3.77,87.25,0.85
20051114,21.24,0.75,79.94,1.01
20051115,21.69,0.0,81.99,0.83
20051116,19.95,0.0,79.67,1.21
20051117,19.12,0.0,76.88,1.18
20051118,19.08,0.0,76.21,1.18
20051119,20.24,0.01,81.32,1.05
20051120,21.64,0.06,81.72,1.1
20051121,21.24,9.24,91.06,1.5
20051122,22.4,13.62,94.61,2.35
20051123,22.52,47.36,94.47,2.42
20051124,20.72,17.45,93.85,2.11
20051125,22.11,8.29,91.52,1.65
20051126,22.47,1.53,90.56,1.21
20051127,22.42,1.6,89.54,1.24
20051128,21.39,0.07,86.02,1.03
