Date,T2M,PRECTOTCORR,RH2M,WS2M
20050101,22.54,0.0,78.36,1.84
20050102,22.59,0.0,79.66,1.95
20050103,23.31,0.01,80.51,1.96
20050104,22.83,0.0,76.53,2.41
20050105,22.17,0.0,77.88,2.38
20050106,21.61,0.0,77.13,2.5
20050107,22.49,0.0,77.7,2.77
20050108,22.39,0.0,77.71,2.48
20050109,21.82,0.0,77.42,2.53
20050110,21.75,0.0,71.82,1.71
20050111,22.11,0.0,68.69,1.36
20050112,22.22,0.0,71.42,1.72
20050113,21.96,0.0,73.54,2.08
20050114,21.94,0.0,76.06,2.41
20050115,21.84,0.0,72.87,2.18
20050116,22.25,0.0,75.03,1.96
20050117,23.25,0.01,74.61,1.76
20050118,24.57,0.02,74.82,1.77
20050119,24.97,0.0,75.87,2.02
20050120,24.47,0.02,74.2,2.91
20050121,24.56,0.75,74.86,3.53
20050122,24.54,0.33,76.47,2.92
20050123,24.99,0.02,73.33,2.31
20050124,25.06,0.0,73.94,2.01
20050125,24.86,0.0,72.47,2.1
20050126,24.97,0.0,72.46,2.04
20050127,24.75,0.23,72.59,2.01
20050128,23.7,0.15,76.33,1.37
20050129,24.31,0.3,71.51,2.08
20050130,24.7,0.61,72.36,2.09
20050131,24.85,2.13,76.9,2.13
20050201,23.9,1.79,84.13,2.01
20050202,25.39,0.56,76.15,2.42
20050203,25.09,1.93,76.39,2.6
20050204,25.03,0.53,75.68,2.54
20050205,25.39,0.0,69.81,2.16
20050206,24.77,0.0,68.42,2.25
20050207,23.71,0.0,68.29,2.37
20050208,23.98,0.0,71.66,2.9
20050209,23.99,0.0,69.63,3.19
20050210,24.22,0.0,69.41,3.13
20050211,24.16,0.0,68.44,2.78
20050212,23.44,0.0,65.99,2.66
20050213,23.45,0.0,61.95,2.32
20050214,24.26,0.0,56.44,1.95
20050215,25.63,0.0,50.7,1.51
20050216,26.07,0.0,54.43,1.5
20050217,26.25,0.0,56.16,1.71
20050218,26.5,0.0,54.22,1.87
20050219,25.76,0.0,59.57,1.9
20050220,25.12,0.0,63.49,1.85
20050221,25.39,0.0,67.4,1.68
20050222,27.02,1.32,68.46,1.96
20050223,27.78,0.14,65.99,2.29
20050224,27.86,0.0,63.94,2.41
20050225,26.71,0.0,59.9,2.09
20050226,26.36,0.0,59.21,2.06
20050227,26.23,0.0,53.99,2.17
20050228,26.23,0.0,56.06,2.22
20050301,26.94,0.0,61.39,2.56
20050302,27.22,0.0,60.1,2.21
20050303,27.69,0.0,59.58,2.35
20050304,28.28,0.0,60.97,2.29
20050305,28.66,0.13,63.44,2.57
20050306,28.3,0.02,61.12,2.48
20050307,28.29,0.0,62.59,2.51
20050308,27.1,0.04,66.19,2.11
20050309,27.61,0.02,67.29,2.2
20050310,27.59,1.63,63.87,1.32
20050311,27.92,2.18,63.28,1.28
20050312,29.23,0.24,60.78,1.58
20050313,28.45,6.18,66.33,1.62
20050314,27.54,4.71,65.52,2.14
20050315,27.7,0.0,61.35,2.01
20050316,27.19,0.0,59.06,1.93
20050317,26.6,0.0,60.64,2.47
20050318,27.03,0.0,56.5,1.87
20050319,28.11,0.1,57.97,1.96
20050320,28.91,0.0,57.02,1.7
20050321,29.55,0.0,54.96,2.04
20050322,29.71,0.0,53.41,1.59
20050323,30.64,0.0,50.0,2.06
20050324,31.61,0.46,52.21,2.19
20050325,31.52,0.18,52.75,2.19
20050326,31.8,0.0,48.99,2.41
20050327,31.55,0.0,49.54,2.19
20050328,31.81,0.0,47.82,2.11
20050329,32.5,0.0,44.38,2.01
20050330,31.72,1.12,51.31,2.47
20050331,31.12,0.04,53.86,2.2
20050401,30.9,0.54,55.69,2.51
20050402,30.59,0.22,60.15,2.91
20050403,27.34,23.53,75.9,2.64
20050404,25.15,25.37,87.02,3.79
20050405,25.37,15.61,87.39,2.27
20050406,25.87,17.43,84.38,1.3
20050407,25.18,11.73,88.23,1.58
20050408,26.13,0.67,78.51,1.87
20050409,27.78,0.26,73.18,1.83
20050410,27.96,1.61,75.09,1.17
20050411,27.42,0.98,80.53,0.98
20050412,27.12,0.31,82.93,0.88
20050413,27.49,0.07,77.86,1.66
20050414,28.37,0.05,70.94,1.6
20050415,28.55,0.05,68.53,1.51
20050416,28.46,0.0,66.95,1.57
20050417,28.62,0.0,64.79,1.72
20050418,28.46,0.01,66.24,1.6
20050419,28.93,0.03,68.21,1.89
20050420,27.02,5.72,77.91,1.68
20050421,27.38,0.5,70.79,1.88
20050422,27.92,0.0,69.76,1.53
20050423,28.47,0.01,68.87,1.82
20050424,28.66,0.0,66.59,1.34
20050425,28.51,0.53,70.33,0.92
20050426,28.21,4.92,72.97,1.13
20050427,29.1,0.66,68.07,1.18
20050428,30.46,0.02,64.65,1.14
20050429,31.26,0.0,60.98,1.37
20050430,29.47,12.59,73.64,1.86
20050501,28.73,11.55,76.12,1.3
20050502,27.74,1.9,78.36,1.31
20050503,28.89,1.85,72.61,1.44
20050504,27.14,11.28,80.27,1.41
20050505,28.47,3.2,74.22,1.15
20050506,29.78,1.49,66.5,1.85
20050507,30.45,0.69,64.4,1.69
20050508,29.85,0.0,64.53,1.97
20050509,30.27,0.03,62.17,2.15
20050510,30.49,0.03,61.09,3.27
20050511,29.73,0.05,66.56,2.4
20050512,31.07,0.45,60.66,2.45
20050513,31.19,0.06,60.29,2.28
20050514,30.4,0.02,63.54,2.75
20050515,29.81,1.31,64.87,2.74
20050516,29.32,0.04,63.77,2.51
20050517,31.25,0.0,56.24,2.07
20050518,31.7,0.0,55.42,2.3
20050519,31.39,0.0,57.32,2.03
20050520,31.22,0.0,61.21,2.12
20050521,31.54,0.77,60.83,1.81
20050522,31.93,0.99,58.7,2.11
20050523,30.47,3.3,66.11,1.39
20050524,30.8,0.45,62.12,2.05
20050525,30.75,0.88,61.25,1.72
20050526,29.58,12.25,69.02,1.72
20050527,27.91,9.09,77.19,1.55
20050528,27.88,2.52,72.11,2.12
20050529,28.65,0.91,67.86,1.79
20050530,28.51,0.14,68.17,2.35
20050531,28.57,6.88,71.35,1.81
20050601,29.03,0.91,69.84,2.83
20050602,29.53,1.14,67.34,3.09
20050603,28.92,0.11,70.67,1.89
20050604,28.76,1.86,74.31,1.79
20050605,29.13,0.87,69.7,2.15
20050606,28.27,0.02,72.51,2.07
20050607,29.15,0.02,68.17,2.06
20050608,29.93,0.18,64.63,2.85
20050609,26.49,0.87,78.04,3.99
20050610,27.11,1.16,67.88,4.11
20050611,28.31,0.04,66.52,3.34
20050612,30.48,0.03,58.13,2.95
20050613,30.37,0.18,58.02,3.47
20050614,29.21,0.0,62.73,3.17
20050615,30.27,0.01,58.4,2.77
20050616,30.56,0.09,57.97,3.81
20050617,29.25,0.05,63.09,5.12
20050618,28.93,0.09,60.06,4.71
20050619,29.11,0.05,61.15,4.33
20050620,27.86,1.18,67.64,3.76
20050621,27.93,0.12,65.49,3.91
20050622,28.99,0.26,56.39,4.89
20050623,29.31,0.0,51.99,4.05
20050624,29.76,0.37,56.76,3.33
20050625,29.9,0.26,57.97,3.36
20050626,29.44,0.01,59.36,3.92
20050627,28.82,0.0,61.34,3.9
20050628,29.22,0.02,58.42,4.47
20050629,29.66,0.01,56.2,4.47
20050630,29.36,0.76,59.4,3.75
20050701,28.79,0.46,63.16,3.6
20050702,29.18,0.49,59.19,3.34
20050703,28.8,0.04,62.89,3.81
20050704,28.74,0.27,62.86,4.07
20050705,28.58,0.14,63.45,4.42
20050706,29.32,0.15,55.76,4.57
20050707,29.62,0.01,53.27,3.95
20050708,29.75,0.53,58.63,3.58
20050709,29.52,0.12,56.71,4.84
20050710,29.0,1.91,53.37,4.19
20050711,29.42,0.52,53.95,3.47
20050712,29.04,0.24,59.85,2.62
20050713,27.26,2.97,70.33,2.61
20050714,27.14,11.49,74.95,2.53
20050715,26.51,6.19,78.47,1.39
20050716,26.62,3.9,79.06,0.97
20050717,27.43,1.27,74.13,1.95
20050718,28.31,0.02,68.64,2.29
20050719,27.93,0.07,72.47,2.86
20050720,28.4,0.7,68.66,2.76
20050721,27.65,0.02,69.34,3.38
20050722,27.98,0.46,65.98,3.54
20050723,27.54,5.1,70.1,3.65
20050724,27.75,1.23,67.26,4.78
20050725,27.66,0.81,64.48,5.85
20050726,28.47,0.54,60.11,5.7
20050727,28.99,0.5,60.54,5.17
20050728,28.34,0.61,60.22,4.89
20050729,27.56,0.21,60.72,5.41
20050730,28.58,0.5,59.72,5.65
20050731,29.54,0.67,57.62,6.05
20050801,28.38,0.5,61.39,6.2
20050802,28.61,0.25,58.6,5.97
20050803,28.69,0.04,55.83,5.1
20050804,28.51,0.1,58.75,4.17
20050805,29.21,0.05,55.41,4.48
20050806,30.54,0.03,49.84,4.43
20050807,30.56,0.0,50.13,4.23
20050808,29.79,0.02,53.47,4.16
20050809,30.3,0.05,53.51,3.74
20050810,29.39,4.23,58.6,3.95
20050811,28.99,1.56,60.24,4.1
20050812,29.77,1.12,57.38,3.99
20050813,30.17,0.33,54.78,3.83
20050814,29.85,0.81,57.21,3.73
20050815,29.26,2.51,60.25,3.48
20050816,27.75,0.24,59.43,4.41
20050817,30.13,0.06,51.12,4.14
20050818,29.73,0.01,51.62,3.43
20050819,29.36,0.77,55.3,3.24
20050820,30.09,0.0,52.21,2.64
20050821,30.93,0.47,49.47,1.96
20050822,29.2,0.77,58.51,1.54
20050823,28.36,12.06,65.96,1.57
20050824,27.93,6.54,70.51,1.53
20050825,27.84,15.23,70.81,1.67
20050826,27.57,8.71,71.77,1.57
20050827,26.21,8.92,79.7,1.08
20050828,28.21,4.17,72.32,1.45
20050829,28.57,1.15,70.3,1.3
20050830,29.84,0.12,64.3,1.22
20050831,28.88,5.37,69.41,1.81
20050901,28.24,4.03,72.72,0.88
20050902,27.08,17.86,80.5,1.18
20050903,26.78,10.81,82.99,1.37
20050904,26.36,10.23,84.63,1.51
20050905,26.43,1.03,79.71,2.46
20050906,26.09,3.33,80.95,2.62
20050907,26.14,6.54,80.01,2.28
20050908,26.92,1.49,77.85,1.74
20050909,27.6,0.66,73.31,3.39
20050910,26.74,3.7,73.68,4.01
20050911,26.65,0.73,71.44,3.5
20050912,26.56,0.08,74.5,3.75
20050913,26.67,0.17,73.48,3.59
20050914,27.68,0.07,69.0,2.99
20050915,26.47,16.12,73.94,2.38
20050916,26.68,0.29,76.26,2.28
20050917,28.05,0.05,68.08,2.31
20050918,28.02,0.0,64.8,3.18
20050919,27.38,0.1,63.1,4.56
20050920,26.56,0.89,69.59,4.28
20050921,28.17,0.05,67.26,3.48
20050922,28.88,0.13,64.57,2.35
20050923,28.98,0.0,62.83,2.19
20050924,28.97,0.87,63.34,1.8
20050925,28.9,1.74,64.95,1.67
20050926,28.2,0.04,68.08,1.34
20050927,27.97,0.04,68.59,1.41
20050928,26.9,14.34,77.35,1.03
20050929,26.85,4.88,77.19,1.43
20050930,26.69,4.88,77.79,1.49
20051001,26.76,1.22,74.56,1.58
20051002,26.36,3.82,76.47,0.72
20051003,26.55,4.28,74.84,1.51
20051004,26.75,26.0,77.26,0.77
20051005,27.34,3.14,75.44,0.87
20051006,26.99,0.45,78.3,1.09
20051007,26.6,3.77,80.52,1.37
20051008,26.61,28.79,80.84,0.98
20051009,26.49,10.89,80.86,1.37
20051010,24.6,9.56,87.85,1.46
20051011,24.45,16.18,86.44,1.6
20051012,24.35,8.96,88.03,1.17
20051013,24.73,11.41,88.77,2.76
20051014,25.38,1.13,84.2,2.42
20051015,25.99,1.37,82.75,1.17
20051016,25.86,2.4,83.69,0.71
20051017,25.91,10.12,84.55,0.47
20051018,24.74,9.14,89.41,0.96
20051019,24.55,7.4,90.42,1.7
20051020,26.06,1.15,80.68,1.53
20051021,25.39,46.71,88.38,1.49
20051022,25.66,36.16,88.84,0.74
20051023,25.22,14.34,89.53,1.25
20051024,24.61,33.48,88.21,1.07
20051025,23.76,37.97,94.32,1.1
20051026,23.81,6.11,88.72,1.85
20051027,24.21,9.17,88.38,2.43
20051028,25.26,1.12,85.56,2.6
20051029,26.1,0.55,85.57,2.23
20051030,25.71,6.39,87.46,2.13
20051031,25.73,0.69,88.83,1.34
20051101,25.58,9.34,87.67,1.05
20051102,24.67,8.78,89.38,0.99
20051103,23.66,5.84,89.3,1.39
20051104,23.49,20.69,92.14,2.07
20051105,23.39,18.74,91.57,2.37
20051106,23.87,29.39,94.22,2.88
20051107,23.36,33.28,93.05,3.81
20051108,23.2,21.13,92.9,3.5
20051109,22.98,3.85,94.97,3.4
20051110,22.96,0.44,93.25,2.17
20051111,23.31,5.1,95.47,2.31
20051112,23.0,5.66,92.83,2.79
20051113,21.42,0.5,85.3,1.56
20051114,21.39,0.89,85.41,1.92
20051115,21.62,0.0,87.4,1.74
20051116,20.14,0.0,81.04,1.98
20051117,19.91,0.0,82.3,1.73
20051118,20.17,0.02,82.4,1.76
20051119,21.38,0.29,85.1,2.0
20051120,21.85,0.22,87.44,2.42
20051121,21.63,20.97,92.75,3.47
20051122,23.8,27.91,96.08,3.8
20051123,23.48,84.37,95.29,4.29
20051124,22.21,32.09,94.38,3.37
20051125,22.82,18.25,92.99,2.11
20051126,22.92,2.74,91.79,2.45
20051127,23.0,1.89,91.21,2.71
20051128,21.53,0.04,87.91,2.48
20051129,20.05,0.02,87.58,2.11
20051130,21.59,0.02,83.93,1.66
20051201,22.45,0.08,84.21,1.3
20051202,23.05,6.38,88.7,1.64
20051203,23.67,19.73,91.7,1.79
20051204,23.61,11.13,94.87,1.86
20051205,23.35,1.93,91.55,2.48
20051206,22.47,0.03,89.15,2.35
20051207,21.93,0.0,89.34,2.26
20051208,19.69,0.0,84.0,2.11
20051209,21.28,14.16,84.21,2.95
20051210,21.43,11.99,91.64,3.99
20051211,22.76,8.63,94.2,2.81
20051212,22.9,5.19,93.99,2.52
20051213,23.02,7.97,94.17,3.03
20051214,22.88,0.53,90.34,2.61
20051215,21.92,0.02,88.21,2.66
20051216,20.59,0.0,87.03,2.7
20051217,21.28,2.96,90.51,3.23
20051218,22.65,2.96,91.4,2.95
20051219,22.58,0.42,89.26,2.52
20051220,23.45,0.12,89.28,2.2
20051221,23.84,0.07,88.51,2.22
20051222,24.05,1.02,84.76,1.47
20051223,23.79,1.56,85.98,0.91
20051224,23.47,0.0,87.57,1.15
20051225,22.72,0.0,88.18,1.94
20051226,21.09,0.0,86.07,2.01
20051227,20.29,0.0,83.48,1.81
20051228,20.94,0.22,89.83,2.23
20051229,20.37,0.03,84.65,1.73
20051230,19.93,0.0,84.62,1.8
20051231,20.65,0.0,84.35,2.5
20060101,20.27,0.0,83.16,2.47
20060102,20.2,0.0,86.02,2.13
20060103,20.62,0.0,87.21,2.07
20060104,21.47,0.41,86.55,2.08
20060105,22.4,2.44,90.04,2.83
20060106,22.05,0.0,85.8,2.7
20060107,23.08,0.64,89.67,2.57
20060108,22.78,8.96,93.64,2.23
20060109,23.55,0.88,89.99,2.47
20060110,22.52,0.02,86.9,2.66
20060111,21.18,0.0,85.89,2.39
20060112,21.72,0.01,87.27,2.56
20060113,21.46,0.17,86.66,2.39
20060114,22.06,0.17,88.72,2.06
20060115,23.09,0.01,86.93,2.08
20060116,23.09,0.03,86.47,1.93
20060117,22.88,0.0,84.68,1.54
20060118,21.22,0.0,80.1,1.6
20060119,19.86,0.0,77.56,1.3
20060120,20.02,0.0,77.25,1.45
20060121,20.31,0.0,77.24,1.42
20060122,20.98,0.0,72.37,1.23
20060123,21.07,0.0,67.74,0.97
20060124,21.3,0.0,70.33,1.06
20060125,21.2,0.0,82.28,1.56
20060126,20.52,0.02,79.04,2.01
20060127,22.01,0.25,83.78,2.98
20060128,21.02,0.0,80.22,2.69
20060129,19.7,0.0,77.26,2.13
20060130,19.77,0.0,78.58,1.81
20060131,20.27,0.0,79.78,2.16
20060201,20.95,0.0,79.29,2.45
20060202,21.76,0.0,79.45,2.41
20060203,22.34,0.0,80.9,2.52
20060204,23.47,0.0,82.6,2.9
20060205,23.25,0.0,76.64,2.31
20060206,21.2,0.0,71.9,2.12
20060207,20.59,0.0,72.13,2.01
20060208,20.9,0.0,72.98,2.16
20060209,21.85,0.0,76.48,2.05
20060210,21.75,0.0,70.76,2.25
20060211,22.32,0.0,75.45,2.3
20060212,21.88,0.0,73.35,2.36
20060213,21.5,0.0,70.73,2.02
20060214,21.57,0.0,64.46,1.59
20060215,22.71,0.0,70.23,1.45
20060216,23.55,0.0,68.52,1.24
20060217,24.23,0.0,69.48,1.27
20060218,23.8,0.0,70.92,1.81
20060219,24.2,0.0,67.43,1.63
20060220,23.98,0.0,67.37,1.94
20060221,23.39,0.0,67.63,1.79
20060222,23.42,0.0,65.84,1.9
20060223,22.96,0.0,63.83,2.05
20060224,23.51,0.0,63.24,1.85
20060225,24.59,0.0,61.2,1.12
20060226,24.74,0.0,61.76,1.63
20060227,26.16,0.0,66.5,1.61
20060228,27.0,0.0,71.86,1.74
20060301,27.58,0.0,68.62,1.64
20060302,27.31,0.35,72.4,2.05
20060303,25.7,13.36,82.98,1.71
20060304,26.66,4.06,73.46,1.77
20060305,27.4,3.35,71.38,1.83
20060306,26.67,9.77,74.04,1.66
20060307,26.25,0.11,70.03,1.59
20060308,26.66,0.0,67.53,2.08
20060309,25.77,2.39,77.32,1.64
20060310,26.49,1.85,74.94,1.55
20060311,26.9,10.25,76.69,1.23
20060312,26.52,2.93,76.77,1.76
20060313,27.19,0.0,70.51,1.33
20060314,27.06,0.0,71.64,1.51
20060315,27.55,0.02,67.64,1.67
20060316,27.04,0.0,70.2,1.4
20060317,27.72,0.0,66.7,1.63
20060318,28.06,0.0,63.58,1.99
20060319,27.12,0.0,68.62,2.6
20060320,27.11,0.0,65.78,2.5
20060321,26.88,0.0,62.19,2.37
20060322,26.87,0.0,57.68,1.59
20060323,27.74,0.0,56.16,2.12
20060324,28.4,0.2,56.96,1.67
20060325,28.78,0.0,59.26,1.6
20060326,29.17,0.01,55.2,1.44
20060327,29.28,0.0,52.73,1.93
20060328,28.79,0.0,59.33,2.02
20060329,29.13,0.0,61.54,1.95
20060330,29.64,0.0,60.34,2.12
20060331,29.3,0.0,56.74,1.96
20060401,29.24,0.0,55.39,1.93
20060402,29.29,0.0,53.39,1.88
20060403,29.53,0.1,54.3,1.75
20060404,30.07,0.0,52.55,1.78
20060405,30.44,0.0,52.9,2.03
20060406,31.45,0.0,48.6,1.83
20060407,32.01,0.0,45.51,1.66
20060408,31.82,0.0,48.06,1.81
20060409,31.35,0.0,50.79,2.4
20060410,31.13,0.0,51.64,2.38
20060411,31.51,0.0,50.69,1.96
20060412,32.12,0.0,51.34,2.12
20060413,31.59,0.03,52.94,2.17
20060414,29.38,0.18,62.05,2.54
20060415,28.73,3.97,61.88,1.66
20060416,27.42,1.29,70.45,1.98
20060417,27.64,14.63,71.04,1.57
20060418,28.28,5.28,72.73,1.83
20060419,29.07,0.3,66.1,1.66
20060420,28.85,0.14,64.35,1.64
20060421,29.14,0.0,59.56,1.94
20060422,28.68,0.0,55.63,1.58
20060423,29.4,0.0,54.51,1.85
20060424,30.17,0.0,50.77,1.92
20060425,31.33,0.2,48.39,1.46
20060426,32.78,0.15,46.59,1.58
20060427,33.75,0.0,46.35,1.77
20060428,34.31,0.0,44.02,2.6
20060429,33.42,0.0,46.18,3.02
20060430,34.84,0.0,41.06,2.34
20060501,34.06,0.0,42.4,2.9
20060502,33.01,1.22,48.8,2.32
20060503,30.08,1.61,64.03,1.92
