Date,T2M,PRECTOTCORR,RH2M,WS2M
20050101,26.31,0.08,79.7,4.55
20050102,26.84,0.0,77.01,4.9
20050103,26.74,0.0,74.8,5.08
20050104,27.1,0.0,72.84,5.62
20050105,26.86,0.0,76.65,5.48
20050106,26.73,0.0,70.57,5.33
20050107,26.78,0.0,74.25,5.4
20050108,26.97,0.0,73.21,5.12
20050109,26.1,0.0,73.19,5.4
20050110,26.71,0.0,67.42,3.48
20050111,26.97,0.0,64.98,2.44
20050112,27.15,0.0,60.33,3.69
20050113,26.78,0.0,69.19,4.59
20050114,26.65,0.0,66.95,5.8
20050115,26.78,0.0,67.39,5.47
20050116,26.72,0.0,69.24,4.51
20050117,27.3,0.0,70.09,2.97
20050118,27.86,0.17,71.22,2.03
20050119,28.01,0.9,77.37,2.43
20050120,28.1,0.01,76.43,5.95
20050121,27.41,0.1,79.8,7.64
20050122,27.26,0.17,80.01,6.65
20050123,27.19,0.14,79.45,5.98
20050124,27.3,0.32,80.2,5.05
20050125,27.54,0.04,77.77,5.3
20050126,27.39,0.0,75.01,4.48
20050127,26.95,0.06,74.23,2.67
20050128,26.62,0.05,75.27,1.65
20050129,27.43,0.05,75.36,3.01
20050130,27.4,0.59,75.07,3.81
20050131,27.23,0.34,77.31,2.73
20050201,27.37,0.19,75.8,1.94
20050202,27.58,0.22,76.67,3.32
20050203,28.01,0.0,73.4,4.34
20050204,28.01,0.0,71.82,5.4
20050205,27.98,0.0,71.11,5.0
20050206,28.18,0.0,68.88,4.88
20050207,27.79,0.0,67.64,5.56
20050208,27.98,0.0,71.83,6.54
20050209,27.68,0.03,70.64,7.7
20050210,27.82,0.0,68.68,7.18
20050211,27.82,0.0,66.26,6.68
20050212,27.43,0.0,67.98,6.73
20050213,27.44,0.0,70.64,5.69
20050214,27.24,0.0,71.34,4.88
20050215,27.27,0.0,70.22,2.52
20050216,27.51,0.0,67.24,1.92
20050217,27.48,0.0,70.2,2.05
20050218,27.76,0.0,70.54,2.47
20050219,27.87,0.0,67.29,3.06
20050220,27.86,0.0,71.22,3.15
20050221,28.09,0.17,70.63,2.84
20050222,28.01,1.04,77.34,3.0
20050223,28.71,0.01,77.12,3.23
20050224,29.05,0.0,74.03,3.81
20050225,28.73,0.0,71.91,4.02
20050226,28.52,0.0,68.98,4.34
20050227,28.42,0.0,66.7,4.7
20050228,28.37,0.0,68.16,3.75
20050301,28.1,0.0,69.68,4.19
20050302,28.39,0.0,72.84,3.75
20050303,28.25,0.0,70.43,3.77
20050304,28.47,0.04,72.97,3.05
20050305,28.42,4.47,77.62,3.09
20050306,28.07,5.08,81.54,3.34
20050307,28.05,0.63,79.31,3.86
20050308,28.64,0.01,74.68,3.86
20050309,28.7,0.08,75.33,4.09
20050310,28.87,0.26,74.0,2.16
20050311,28.32,3.11,76.44,2.02
20050312,28.39,3.03,74.56,2.12
20050313,29.06,0.07,72.93,2.34
20050314,29.36,0.09,71.58,2.82
20050315,29.02,0.0,70.15,3.91
20050316,28.94,0.0,66.2,3.92
20050317,28.58,0.0,64.39,4.7
20050318,28.56,0.02,71.29,4.08
20050319,29.3,0.26,72.71,3.38
20050320,29.36,0.07,72.41,2.81
20050321,29.28,0.03,69.89,2.26
20050322,29.31,0.0,73.09,2.74
20050323,29.64,0.0,72.63,4.23
20050324,29.52,0.05,74.18,4.42
20050325,29.81,0.14,70.17,4.44
20050326,29.97,0.0,68.94,4.52
20050327,29.89,0.0,70.75,3.42
20050328,29.12,0.75,75.89,3.11
20050329,29.13,0.01,76.52,4.96
20050330,28.9,2.38,80.05,4.49
20050331,28.71,0.88,76.46,4.96
20050401,29.83,0.09,71.38,4.53
20050402,29.78,8.87,74.07,2.55
20050403,27.96,19.13,83.59,2.24
20050404,27.62,96.15,82.98,2.73
20050405,26.66,36.71,86.8,4.22
20050406,27.32,11.19,85.99,2.95
20050407,27.98,12.7,83.24,3.78
20050408,28.13,0.33,83.34,4.23
20050409,28.3,0.18,83.23,3.64
20050410,28.17,2.53,85.19,3.59
20050411,28.01,11.48,86.7,3.88
20050412,27.77,2.52,86.07,3.6
20050413,27.81,2.28,83.63,3.01
20050414,28.15,0.66,79.25,2.42
20050415,28.38,1.63,78.34,1.5
20050416,28.72,8.47,76.29,1.74
20050417,28.44,15.68,80.71,2.46
20050418,28.66,8.31,81.64,2.35
20050419,28.37,15.94,82.98,1.45
20050420,27.8,15.71,86.05,3.09
20050421,28.01,3.24,78.5,3.6
20050422,28.16,0.63,79.75,1.95
20050423,28.45,0.9,78.27,1.57
20050424,28.22,0.78,82.2,2.09
20050425,28.87,6.26,79.92,1.91
20050426,29.37,4.02,79.04,2.1
20050427,29.14,0.01,80.83,2.74
20050428,29.36,0.01,80.35,2.85
20050429,29.6,0.01,82.33,2.92
20050430,29.47,0.33,82.28,3.29
20050501,29.72,0.25,78.22,3.14
20050502,28.76,31.19,83.77,3.04
20050503,28.91,6.62,80.69,3.72
20050504,28.76,0.08,79.46,3.81
20050505,28.92,0.03,76.73,3.84
20050506,29.07,0.01,77.69,4.42
20050507,29.25,0.01,76.8,3.92
20050508,29.54,0.02,77.51,4.47
20050509,29.51,0.01,75.74,5.37
20050510,29.26,0.02,76.86,5.38
20050511,29.11,0.01,79.19,4.4
20050512,29.09,0.02,77.94,3.85
