Date,T2M,PRECTOTCORR,RH2M,WS2M
20050101,25.18,0.43,79.57,3.46
20050102,25.45,0.5,78.21,3.67
20050103,25.57,0.46,76.91,3.51
20050104,25.83,0.29,77.65,4.53
20050105,25.73,0.3,76.07,4.66
20050106,25.53,0.96,73.63,4.71
20050107,26.06,1.78,75.46,5.21
20050108,25.92,0.38,73.67,4.79
20050109,25.49,0.31,74.46,4.9
20050110,24.9,0.0,75.86,3.64
20050111,24.55,0.0,74.59,2.52
20050112,24.93,0.0,79.54,3.15
20050113,25.14,0.0,76.46,4.23
20050114,25.31,0.23,74.26,4.51
20050115,25.13,1.49,69.91,4.22
20050116,25.4,0.06,75.05,3.93
20050117,25.83,0.33,75.39,3.32
20050118,26.12,0.45,79.6,3.27
20050119,26.51,0.25,81.01,4.13
20050120,26.54,1.31,80.5,5.4
20050121,26.78,3.07,78.71,5.93
20050122,26.51,0.93,78.23,5.23
20050123,26.4,0.36,77.97,4.14
20050124,26.49,0.27,79.62,3.56
20050125,26.35,0.02,78.37,3.5
20050126,25.91,0.0,80.08,3.54
20050127,25.73,0.01,79.04,3.41
20050128,26.38,0.12,72.63,2.95
20050129,26.27,0.26,74.04,3.46
20050130,26.66,0.62,72.78,3.48
20050131,26.58,0.66,76.47,3.72
20050201,26.42,0.77,79.7,3.77
20050202,26.41,0.35,77.62,4.27
20050203,26.57,1.28,77.12,4.57
20050204,26.6,0.53,75.93,4.55
20050205,26.4,0.0,72.76,3.83
20050206,26.06,0.0,71.79,4.14
20050207,25.89,0.0,71.81,4.11
20050208,26.24,0.0,73.68,4.78
20050209,26.68,0.16,72.03,5.47
20050210,27.18,0.0,69.59,5.44
20050211,27.01,0.0,70.36,5.08
20050212,26.6,0.0,67.79,5.14
20050213,26.41,0.0,70.34,4.26
20050214,26.18,0.0,69.49,2.92
20050215,26.89,0.0,67.56,2.14
20050216,26.84,0.0,71.76,3.22
20050217,26.94,0.0,73.8,3.29
20050218,26.69,0.0,75.21,2.88
20050219,26.68,0.0,76.19,2.81
20050220,26.64,0.0,75.86,3.36
20050221,26.98,0.06,74.58,3.38
20050222,27.58,0.51,75.11,3.54
20050223,27.91,0.35,77.02,3.58
20050224,27.81,0.02,76.88,3.81
20050225,27.53,0.0,71.51,3.31
20050226,27.43,0.0,69.72,2.92
20050227,27.37,0.0,65.42,3.37
20050228,27.22,0.0,70.15,3.36
20050301,27.17,0.0,74.49,3.74
20050302,27.35,0.0,73.26,3.47
20050303,27.32,0.0,75.84,3.51
20050304,27.86,0.09,75.42,3.38
20050305,28.23,4.17,77.56,3.7
20050306,28.03,0.94,75.72,3.59
20050307,28.17,0.61,75.74,3.64
20050308,28.45,0.79,72.52,3.43
20050309,27.96,1.22,77.5,3.26
20050310,28.22,0.86,73.75,2.49
20050311,28.42,0.54,74.78,2.85
20050312,28.85,0.45,73.72,3.44
20050313,28.63,4.97,75.86,3.48
20050314,28.09,0.26,75.08,3.12
20050315,27.88,0.0,71.33,3.35
20050316,27.87,0.0,69.74,3.33
20050317,27.44,0.0,71.87,3.83
20050318,27.68,0.13,72.41,2.94
20050319,28.04,0.31,74.66,3.44
20050320,28.54,0.11,72.72,3.17
20050321,28.64,0.01,72.94,2.96
20050322,28.71,0.0,71.22,3.12
20050323,29.16,0.0,71.77,3.93
20050324,29.92,0.28,72.56,4.37
20050325,29.92,0.59,73.74,4.04
20050326,29.9,0.48,73.43,3.26
20050327,29.74,1.15,73.28,3.36
20050328,29.64,0.0,68.54,3.21
20050329,29.93,0.01,69.89,3.54
20050330,30.26,0.04,73.77,3.77
