Date,T2M,PRECTOTCORR,RH2M,WS2M
20050101,21.99,0.03,73.64,1.26
20050102,21.43,0.06,73.82,1.35
20050103,21.9,0.13,75.41,1.14
20050104,22.45,0.0,68.45,1.66
20050105,20.65,0.0,63.23,1.61
20050106,19.84,0.0,66.39,1.64
20050107,19.96,0.0,69.89,1.78
20050108,20.52,0.0,68.39,1.62
20050109,20.54,0.0,64.68,1.61
20050110,20.71,0.0,60.34,0.97
20050111,20.83,0.0,52.17,0.88
20050112,21.14,0.0,51.96,1.16
20050113,20.83,0.0,59.88,1.27
20050114,20.07,0.0,63.92,1.74
20050115,19.97,0.0,62.86,1.51
20050116,20.23,0.0,62.75,1.06
20050117,21.86,0.0,65.16,0.81
20050118,22.9,0.0,64.47,0.67
20050119,23.31,0.0,68.92,1.21
20050120,22.98,0.0,63.44,1.95
20050121,22.78,0.04,66.52,2.57
20050122,22.79,0.06,71.25,2.15
20050123,23.81,0.0,67.58,1.38
20050124,23.81,0.0,64.49,1.39
20050125,23.68,0.0,62.93,1.52
20050126,23.59,0.0,61.56,0.94
20050127,22.9,0.56,69.58,1.31
20050128,21.67,0.29,73.72,1.27
20050129,22.0,4.14,70.62,1.14
20050130,21.72,3.65,77.17,1.16
20050131,22.18,3.74,82.2,0.7
20050201,23.1,1.06,75.42,0.95
20050202,23.34,0.47,71.42,1.01
20050203,23.79,0.13,69.72,1.49
20050204,23.77,0.06,70.62,1.45
20050205,24.16,0.01,67.57,1.42
20050206,23.96,0.0,63.71,1.47
20050207,22.37,0.0,51.8,1.74
20050208,21.86,0.0,59.52,1.86
20050209,22.01,0.0,57.22,2.5
20050210,21.45,0.0,58.33,2.52
20050211,21.65,0.0,53.9,2.15
20050212,21.68,0.0,50.9,2.13
20050213,21.77,0.0,40.98,1.93
20050214,23.06,0.0,33.86,1.72
20050215,24.63,0.0,34.1,1.18
20050216,25.67,0.0,32.01,1.38
20050217,25.63,0.0,42.46,1.38
20050218,25.42,0.0,46.45,1.47
20050219,25.0,0.0,37.54,1.48
20050220,24.28,0.0,40.48,1.62
20050221,24.82,0.0,46.61,1.29
20050222,25.51,0.21,54.53,1.27
20050223,25.99,0.08,59.42,1.5
20050224,26.48,0.0,57.34,1.54
20050225,25.86,0.0,43.18,1.77
20050226,25.48,0.0,40.97,1.68
20050227,24.39,0.0,37.48,1.74
20050228,23.47,0.0,32.13,1.62
20050301,24.35,0.0,45.55,1.8
20050302,25.17,0.0,41.95,1.34
20050303,25.23,0.0,43.54,1.69
20050304,26.43,0.29,43.8,1.48
20050305,27.01,0.71,53.7,1.63
20050306,26.75,0.01,56.18,1.67
20050307,26.56,0.0,48.94,1.81
20050308,25.54,0.0,56.88,1.82
20050309,25.2,0.0,57.58,1.42
20050310,25.46,4.8,57.2,0.7
20050311,24.92,1.82,62.06,0.8
20050312,26.35,0.62,58.53,0.77
20050313,26.01,10.61,64.22,1.13
20050314,23.97,12.67,71.54,1.48
20050315,24.97,0.66,64.91,1.35
20050316,24.33,0.0,58.38,1.48
20050317,23.91,0.0,52.51,1.88
20050318,23.59,0.0,47.32,1.53
20050319,24.53,0.0,46.81,1.56
20050320,25.17,0.0,52.92,1.19
20050321,25.84,0.0,55.2,1.32
20050322,26.68,0.0,56.82,1.23
20050323,26.87,0.0,62.12,1.22
20050324,27.89,0.06,53.51,1.46
20050325,27.95,0.01,45.5,1.67
20050326,26.83,0.0,52.88,1.56
20050327,28.38,0.0,52.43,1.2
20050328,29.03,0.0,51.46,1.36
20050329,28.3,0.0,55.56,1.98
20050330,27.88,3.28,59.23,1.52
20050331,26.69,0.11,63.38,1.3
20050401,27.96,0.59,55.53,0.87
20050402,28.58,0.04,51.03,1.74
20050403,27.03,7.26,63.5,1.98
20050404,23.64,2.08,79.0,1.53
20050405,22.58,3.18,83.43,2.2
20050406,24.1,16.3,79.87,1.34
20050407,23.09,7.06,83.6,1.79
20050408,25.45,0.33,71.59,1.58
20050409,25.38,0.14,73.54,1.52
20050410,25.6,1.44,74.22,0.85
20050411,25.03,0.54,75.54,0.96
20050412,25.66,0.34,71.53,1.07
20050413,25.54,0.52,72.81,1.11
20050414,26.71,0.16,66.0,1.11
20050415,27.08,0.7,62.47,1.46
20050416,26.63,0.11,61.8,1.1
20050417,26.84,0.01,57.96,1.27
20050418,25.97,0.14,64.34,0.95
20050419,26.82,0.69,62.33,1.28
20050420,24.67,1.8,73.12,1.49
20050421,25.12,0.21,64.38,1.44
20050422,25.33,0.0,67.86,1.16
20050423,26.86,0.79,61.69,1.21
20050424,26.3,0.15,67.83,1.14
20050425,25.63,1.43,67.33,0.82
20050426,25.97,4.64,71.36,0.92
20050427,26.43,1.59,71.64,0.6
20050428,27.69,0.01,64.42,0.74
20050429,28.51,0.01,62.15,0.86
20050430,26.89,2.36,68.79,1.03
20050501,26.09,7.62,76.01,0.83
20050502,25.19,1.22,78.14,1.25
20050503,26.8,0.09,64.57,1.12
20050504,24.88,2.65,73.48,1.45
20050505,26.16,1.59,69.18,1.16
20050506,26.54,3.86,68.69,1.39
20050507,26.86,4.01,67.47,1.4
20050508,25.81,0.0,68.21,1.43
20050509,27.14,0.11,63.68,1.72
20050510,26.22,0.05,67.87,1.92
20050511,26.02,0.09,72.29,1.92
20050512,27.81,1.71,66.11,1.0
20050513,26.36,0.2,72.81,1.21
20050514,27.95,0.57,63.03,1.54
20050515,27.89,0.25,63.81,2.01
20050516,28.31,0.02,60.32,1.88
20050517,28.26,0.01,58.73,1.76
20050518,29.58,0.01,55.72,1.87
20050519,30.4,0.0,53.39,1.7
20050520,29.81,0.0,56.35,1.42
20050521,28.32,0.76,62.47,1.68
20050522,29.44,1.12,59.0,1.62
20050523,27.68,3.44,66.22,1.46
20050524,27.07,0.08,68.6,1.51
20050525,26.93,0.97,67.24,1.18
20050526,26.0,33.57,74.32,1.19
20050527,24.41,12.06,82.25,1.44
20050528,24.7,1.53,74.45,1.74
20050529,24.93,3.01,73.89,1.21
20050530,25.17,1.13,73.6,1.66
20050531,23.49,8.78,86.17,1.45
20050601,25.11,1.9,78.75,2.42
20050602,24.49,1.93,81.56,2.22
20050603,25.58,0.24,75.66,1.43
20050604,25.14,2.98,79.57,1.23
20050605,25.3,5.54,79.74,1.01
20050606,23.59,3.45,87.06,1.82
20050607,24.53,0.49,80.29,1.85
20050608,25.12,2.81,77.69,2.36
20050609,23.12,3.66,86.75,3.72
20050610,22.61,1.96,82.59,4.25
20050611,24.23,0.44,76.84,3.19
20050612,24.67,4.24,76.37,3.17
20050613,23.75,3.51,82.41,2.39
20050614,23.81,0.3,82.09,2.41
20050615,24.46,0.72,77.66,2.17
20050616,24.26,11.29,82.83,2.97
20050617,23.88,6.09,83.2,4.14
20050618,22.94,4.42,81.31,4.17
20050619,23.58,7.68,82.21,4.2
20050620,23.34,16.14,84.03,4.13
20050621,23.6,11.79,82.37,4.18
20050622,22.12,5.65,79.82,4.3
20050623,23.28,1.08,78.87,3.55
20050624,23.87,3.66,80.83,3.77
20050625,23.85,2.18,82.28,3.33
20050626,23.14,1.06,85.07,3.05
20050627,22.93,1.25,86.26,3.03
20050628,22.93,2.66,82.92,3.87
20050629,23.23,2.94,81.83,3.64
20050630,23.42,7.37,84.88,2.96
20050701,23.1,9.55,85.51,3.43
20050702,23.09,3.78,82.83,3.33
20050703,23.01,4.15,86.34,3.37
20050704,23.19,7.26,84.92,3.93
20050705,23.16,6.35,84.54,4.56
20050706,22.77,2.98,79.7,4.72
20050707,23.4,1.83,80.48,4.03
20050708,23.72,1.58,82.48,3.37
20050709,23.0,1.46,83.53,3.75
20050710,21.47,7.85,81.86,3.14
20050711,21.95,1.59,79.4,3.39
20050712,23.03,0.73,83.95,2.67
20050713,23.03,3.7,87.15,1.32
20050714,22.86,20.53,82.92,1.99
20050715,22.74,11.49,87.46,1.4
20050716,22.81,5.98,87.89,1.1
20050717,22.85,8.84,87.81,2.16
20050718,23.4,2.09,86.22,2.36
20050719,23.29,3.83,87.86,2.4
20050720,22.59,3.16,88.9,2.5
20050721,22.68,0.82,85.44,2.88
20050722,22.42,1.0,85.15,3.04
20050723,22.18,6.37,87.25,3.0
20050724,21.94,4.68,87.18,4.25
20050725,21.88,3.96,84.31,5.46
20050726,22.5,2.55,81.85,5.25
20050727,22.79,1.72,82.71,4.81
20050728,22.58,2.55,82.8,4.6
20050729,21.59,4.45,84.06,4.68
