Date,T2M,PRECTOTCORR,RH2M,WS2M
20050101,23.37,0.02,80.21,1.9
20050102,23.24,0.02,80.75,2.04
20050103,23.76,0.02,81.35,2.01
20050104,23.41,0.0,77.54,2.39
20050105,22.99,0.0,78.44,2.45
20050106,22.39,0.0,76.87,2.51
20050107,23.33,0.0,77.54,2.95
20050108,23.28,0.0,77.56,2.59
20050109,22.5,0.0,78.8,2.6
20050110,22.49,0.0,73.52,1.86
20050111,22.44,0.0,70.17,1.53
20050112,22.68,0.0,72.73,1.82
20050113,22.6,0.0,73.84,2.15
20050114,22.74,0.0,75.74,2.51
20050115,22.72,0.0,72.0,2.29
20050116,23.24,0.0,74.9,2.12
20050117,24.11,0.03,74.3,1.88
20050118,25.25,0.11,74.95,1.86
20050119,25.65,0.01,75.71,2.14
20050120,25.34,0.1,74.38,3.05
20050121,25.49,0.94,74.41,3.65
20050122,25.31,0.55,76.5,3.01
20050123,25.8,0.06,72.4,2.49
20050124,25.72,0.01,74.45,2.07
20050125,25.59,0.0,71.93,2.2
20050126,25.66,0.0,71.86,2.2
20050127,25.42,0.25,72.58,2.04
20050128,24.62,0.2,75.43,1.39
20050129,25.18,0.75,70.88,2.04
20050130,25.58,0.78,72.19,2.02
20050131,25.75,2.18,76.13,2.2
20050201,25.37,1.05,80.03,2.28
20050202,26.36,0.38,73.83,2.46
20050203,26.01,1.39,73.87,2.67
20050204,26.04,0.32,72.83,2.62
20050205,26.37,0.0,67.16,2.29
20050206,25.64,0.0,66.39,2.41
20050207,24.63,0.0,67.52,2.47
20050208,25.0,0.0,70.19,3.02
20050209,25.01,0.0,69.09,3.3
20050210,25.4,0.0,68.3,3.3
20050211,25.34,0.0,67.7,2.94
20050212,24.53,0.0,65.74,2.88
20050213,24.54,0.0,63.32,2.42
20050214,24.75,0.0,59.93,2.0
20050215,25.77,0.0,57.08,1.39
20050216,26.4,0.0,59.41,1.51
20050217,26.71,0.0,59.33,1.66
20050218,26.89,0.0,57.8,1.82
20050219,26.56,0.0,61.62,1.85
20050220,25.89,0.0,65.03,1.82
20050221,26.62,0.0,66.44,1.69
20050222,27.86,1.73,67.33,1.93
20050223,28.66,0.2,64.78,2.29
20050224,28.65,0.0,63.29,2.47
20050225,27.55,0.0,60.04,2.12
20050226,26.97,0.0,59.93,2.12
20050227,27.17,0.0,54.91,2.22
20050228,26.95,0.0,56.72,2.29
20050301,27.79,0.0,60.97,2.62
20050302,28.07,0.0,59.57,2.27
20050303,28.58,0.0,59.33,2.41
20050304,29.27,0.0,59.88,2.25
20050305,29.59,0.36,62.83,2.63
20050306,29.15,0.1,60.66,2.49
20050307,28.84,0.0,63.08,2.48
20050308,28.1,0.01,64.3,2.09
20050309,28.47,0.01,64.74,2.19
20050310,28.43,1.7,62.68,1.33
20050311,29.01,1.19,61.57,1.59
20050312,30.07,0.18,59.82,1.86
20050313,29.36,6.92,64.65,1.58
20050314,28.59,5.04,66.66,2.09
20050315,28.37,0.0,60.97,2.07
20050316,27.94,0.0,59.31,2.0
20050317,27.48,0.0,60.25,2.59
20050318,27.92,0.17,58.05,1.85
20050319,29.04,0.22,58.62,2.02
20050320,29.79,0.0,56.41,1.65
20050321,30.54,0.0,54.05,2.07
20050322,30.72,0.0,51.91,1.54
20050323,31.4,0.0,49.79,1.9
20050324,32.19,0.36,53.09,2.16
20050325,32.14,0.09,53.81,2.09
20050326,32.07,0.0,50.05,2.2
20050327,32.41,0.0,48.56,2.05
20050328,32.49,0.0,46.98,2.17
20050329,32.95,0.0,46.91,2.07
20050330,32.64,1.15,51.35,2.4
20050331,31.92,0.04,54.67,1.92
20050401,32.02,0.15,54.21,2.46
20050402,31.51,0.21,58.98,2.94
20050403,27.78,20.91,76.11,2.66
20050404,25.74,22.02,88.77,4.07
20050405,26.16,13.75,87.19,2.59
20050406,26.62,16.8,83.36,1.31
20050407,26.1,12.66,85.94,1.76
20050408,26.66,0.54,79.22,2.01
20050409,28.54,0.16,72.36,1.93
20050410,28.6,0.72,74.56,1.32
20050411,28.2,0.96,79.63,1.16
20050412,27.94,0.46,81.41,0.89
20050413,28.05,0.13,77.33,1.67
20050414,28.99,0.02,70.53,1.57
20050415,29.17,0.01,68.83,1.58
20050416,29.52,0.03,65.99,1.59
20050417,29.6,0.01,64.51,1.92
20050418,29.34,0.03,66.2,1.81
20050419,29.57,0.07,68.74,1.94
20050420,27.57,7.64,78.55,1.67
20050421,28.06,0.69,71.25,1.78
20050422,28.52,0.02,70.24,1.5
20050423,29.25,0.01,67.78,1.85
20050424,29.51,0.02,66.15,1.6
20050425,29.21,0.45,69.96,1.13
20050426,29.59,1.63,68.05,1.37
20050427,30.24,0.12,64.46,1.38
20050428,31.36,0.01,63.03,1.47
20050429,31.8,0.0,61.45,1.53
20050430,29.75,17.53,75.28,1.86
20050501,29.22,11.04,76.56,1.18
20050502,28.32,1.3,79.11,1.36
20050503,29.58,2.09,72.3,1.64
20050504,28.39,7.9,77.19,1.26
20050505,29.31,1.12,71.71,1.44
20050506,30.44,1.35,65.22,2.04
20050507,30.88,0.74,62.86,2.05
20050508,30.25,0.0,63.71,2.44
20050509,31.23,0.03,60.98,2.02
20050510,30.96,0.01,59.17,3.54
20050511,30.29,0.02,64.93,2.76
20050512,31.32,0.44,62.02,2.67
20050513,31.61,0.07,61.44,2.54
20050514,30.51,0.07,66.06,2.7
20050515,30.19,1.81,67.32,2.57
20050516,29.55,0.03,65.25,2.32
20050517,31.32,0.0,58.06,2.03
20050518,32.13,0.0,56.62,2.22
20050519,32.13,0.0,57.93,2.01
20050520,31.99,0.0,61.39,2.28
20050521,32.28,0.21,59.79,2.02
20050522,32.39,0.31,58.21,2.18
20050523,31.59,0.94,62.64,1.56
20050524,31.31,0.12,61.59,1.87
20050525,31.54,0.26,60.05,2.06
20050526,30.28,13.16,67.29,1.93
20050527,28.81,3.26,75.32,1.71
20050528,28.17,2.81,72.07,2.53
20050529,29.44,0.79,66.41,2.25
20050530,29.03,0.03,68.31,2.47
20050531,29.65,1.96,67.55,2.14
20050601,29.99,0.3,66.61,2.87
20050602,30.81,0.32,62.52,3.03
20050603,29.95,0.02,68.12,1.76
20050604,29.85,0.56,69.32,2.12
20050605,29.57,0.49,69.91,2.33
20050606,29.39,0.04,69.02,1.85
20050607,29.88,0.02,66.85,2.06
20050608,30.59,0.11,64.76,2.85
20050609,27.99,0.71,71.99,3.95
20050610,28.35,0.42,63.45,3.74
20050611,29.78,0.03,62.03,3.63
20050612,31.56,0.04,55.35,3.77
20050613,31.4,0.21,55.73,3.72
20050614,30.09,0.0,58.77,4.05
20050615,31.06,0.02,55.38,3.4
20050616,31.1,0.16,58.23,4.23
20050617,29.84,0.06,61.38,5.25
20050618,29.66,0.09,58.26,5.21
20050619,29.86,0.09,60.37,4.53
20050620,28.91,0.75,64.53,4.43
20050621,28.76,0.15,64.96,4.43
20050622,29.84,0.12,56.04,5.27
20050623,30.22,0.0,53.17,4.61
20050624,30.82,0.11,56.12,4.43
20050625,30.84,0.15,57.26,4.11
20050626,30.49,0.03,57.82,4.61
20050627,29.81,0.01,59.79,4.35
20050628,29.95,0.02,58.05,4.81
20050629,30.06,0.02,55.8,4.47
20050630,30.48,0.58,56.53,3.92
20050701,29.73,0.27,61.59,4.0
20050702,30.16,0.24,57.94,3.87
20050703,29.74,0.04,60.97,4.32
20050704,29.25,0.32,63.04,4.29
20050705,29.36,0.08,62.86,4.81
20050706,29.74,0.1,57.82,5.42
20050707,30.3,0.02,53.61,4.9
20050708,30.45,0.19,58.11,4.4
20050709,30.06,0.03,57.5,5.56
20050710,29.57,0.84,54.41,4.91
20050711,30.28,0.16,52.87,4.4
20050712,30.05,0.07,57.75,3.29
20050713,28.59,2.09,66.41,3.09
20050714,28.19,13.07,71.41,2.99
20050715,27.49,4.05,75.59,1.86
20050716,27.62,1.14,75.71,1.3
20050717,28.32,1.02,70.55,2.35
20050718,29.32,0.02,65.17,2.63
20050719,28.81,0.03,68.85,3.41
20050720,28.97,0.27,67.06,3.48
20050721,28.33,0.0,66.9,4.16
20050722,28.83,0.14,63.63,4.25
20050723,28.38,1.45,67.55,4.12
20050724,28.67,0.5,64.35,5.26
20050725,28.21,0.3,63.18,6.25
20050726,29.3,0.17,59.34,6.22
20050727,29.84,0.27,59.31,5.54
20050728,29.07,0.29,60.49,5.16
20050729,28.52,0.25,61.03,5.63
20050730,29.19,0.36,59.7,6.11
20050731,30.05,0.33,58.7,6.6
20050801,29.03,0.49,60.82,6.74
20050802,29.09,0.2,58.0,6.78
20050803,29.62,0.02,53.75,5.6
20050804,29.17,0.04,59.21,4.75
20050805,30.33,0.02,54.17,5.0
20050806,31.26,0.01,49.85,4.95
20050807,31.37,0.0,50.43,4.83
20050808,30.4,0.01,53.64,4.93
20050809,30.87,0.03,53.8,4.57
20050810,30.26,1.17,57.2,4.9
20050811,30.0,1.58,58.75,4.74
20050812,30.67,0.67,55.95,4.81
20050813,31.14,0.12,53.18,4.73
20050814,30.9,0.58,54.65,4.84
20050815,30.58,0.69,55.31,4.68
20050816,29.59,0.16,54.92,5.22
20050817,31.33,0.02,49.32,4.65
20050818,30.87,0.0,48.64,4.18
20050819,30.37,0.22,53.43,4.17
20050820,31.07,0.0,50.88,3.58
20050821,31.99,0.22,47.42,2.73
20050822,30.69,0.3,53.35,2.16
20050823,30.07,5.14,58.44,1.87
20050824,29.3,3.59,63.92,1.9
20050825,28.75,16.5,68.09,2.01
20050826,28.35,9.65,71.07,1.75
20050827,26.79,3.67,79.38,1.14
20050828,29.2,1.21,68.67,1.76
20050829,29.71,0.35,66.52,1.47
20050830,30.9,0.04,60.16,1.6
20050831,29.74,6.6,66.21,2.67
20050901,28.81,1.5,71.8,1.49
20050902,27.68,22.07,79.86,1.89
20050903,27.45,7.94,81.1,2.0
20050904,27.25,6.61,82.0,2.01
20050905,27.24,0.8,76.89,3.16
20050906,27.1,1.61,76.46,2.94
20050907,26.99,4.02,76.0,2.96
20050908,27.84,0.53,73.85,2.75
20050909,28.56,0.19,68.97,4.1
20050910,27.71,2.29,70.58,4.12
20050911,27.67,0.7,68.51,3.78
20050912,27.47,0.09,71.37,4.01
20050913,27.61,0.08,70.64,3.72
20050914,28.57,0.04,67.32,2.92
20050915,27.21,21.31,73.33,2.48
20050916,27.47,0.34,74.58,2.31
20050917,29.13,0.01,65.05,2.73
20050918,29.3,0.0,61.6,3.84
20050919,28.38,0.05,62.05,5.08
20050920,27.54,0.34,67.89,4.76
20050921,29.02,0.05,64.41,3.62
20050922,29.69,0.23,63.01,2.69
20050923,29.45,0.0,62.66,2.47
20050924,29.57,0.67,62.39,2.14
20050925,29.53,2.32,64.27,2.06
20050926,28.94,0.04,66.34,1.84
20050927,29.05,0.0,64.83,1.7
20050928,27.28,12.36,76.15,1.85
20050929,28.07,1.76,72.62,1.87
20050930,28.39,1.42,70.39,1.95
20051001,27.85,0.3,69.63,2.0
20051002,27.15,4.57,74.84,1.12
20051003,27.94,3.03,72.74,1.58
20051004,27.87,22.35,75.67,0.76
20051005,28.13,1.92,72.86,1.01
20051006,28.33,0.16,73.29,1.27
20051007,28.03,2.54,75.28,1.45
20051008,27.72,30.88,78.15,0.8
20051009,27.33,10.03,79.64,1.16
20051010,25.65,11.21,85.06,1.5
20051011,25.68,15.12,84.22,1.09
20051012,25.33,7.68,85.04,1.15
20051013,25.72,6.71,85.68,2.52
20051014,26.56,0.65,80.46,2.28
20051015,27.0,0.55,80.83,1.1
20051016,26.94,0.99,81.66,0.72
20051017,26.86,4.5,81.95,0.51
20051018,25.81,9.35,86.87,0.77
20051019,25.29,4.56,87.53,1.62
20051020,26.8,0.8,78.77,1.58
20051021,26.35,58.54,85.78,1.48
20051022,26.15,27.7,89.7,0.87
20051023,25.89,9.34,88.6,1.6
20051024,25.26,40.96,87.59,0.96
20051025,24.43,28.93,93.47,1.5
20051026,24.83,4.97,86.33,1.92
20051027,25.26,4.09,86.59,2.51
20051028,26.09,0.48,84.49,2.68
20051029,26.66,0.75,83.97,2.39
20051030,26.44,8.56,85.65,2.18
20051031,26.42,0.89,87.82,1.4
20051101,26.02,9.29,87.78,1.27
20051102,25.2,8.49,89.97,1.39
20051103,24.25,4.69,89.33,1.55
20051104,24.3,21.61,91.86,1.92
20051105,24.19,21.9,90.8,2.55
