Date,T2M,PRECTOTCORR,RH2M,WS2M
20050101,22.9,0.01,74.51,1.47
20050102,22.76,0.02,77.18,1.66
20050103,23.77,0.02,78.49,1.5
20050104,23.32,0.0,72.0,2.04
20050105,22.16,0.0,73.73,2.0
20050106,21.45,0.0,74.33,2.11
20050107,22.17,0.0,74.92,2.36
20050108,22.41,0.0,73.84,2.15
20050109,21.93,0.0,72.87,2.19
20050110,21.85,0.0,67.41,1.42
20050111,22.23,0.0,65.59,1.19
20050112,22.28,0.0,65.6,1.51
20050113,22.39,0.0,68.58,1.91
20050114,22.13,0.0,71.32,2.2
20050115,21.89,0.0,69.36,1.83
20050116,22.12,0.0,70.45,1.53
20050117,23.41,0.0,71.02,1.36
20050118,24.79,0.0,71.56,1.29
20050119,25.23,0.0,72.61,1.61
20050120,24.72,0.01,69.48,2.53
20050121,24.66,0.64,71.22,3.11
20050122,24.78,0.28,73.83,2.48
20050123,25.48,0.01,69.54,2.0
20050124,25.64,0.0,69.01,1.8
20050125,25.31,0.0,67.81,1.97
20050126,25.32,0.0,67.88,1.67
20050127,25.16,0.28,69.21,1.63
20050128,23.77,0.16,73.06,1.22
20050129,24.53,0.6,68.36,1.69
20050130,25.02,0.58,69.75,1.76
20050131,24.82,2.43,76.93,1.57
20050201,23.62,1.74,84.12,1.76
20050202,25.86,0.48,72.23,1.99
20050203,25.67,1.73,72.18,2.26
20050204,25.6,0.51,72.04,2.21
20050205,26.04,0.0,66.53,1.82
20050206,25.53,0.0,62.75,1.88
20050207,24.14,0.0,62.49,2.08
20050208,24.36,0.0,65.86,2.57
20050209,24.2,0.0,64.29,2.92
20050210,24.1,0.0,63.05,2.96
20050211,24.3,0.0,61.88,2.6
20050212,23.72,0.0,59.51,2.55
20050213,23.78,0.0,52.29,2.29
20050214,24.67,0.0,46.08,1.91
20050215,25.97,0.0,41.58,1.38
20050216,26.89,0.0,41.03,1.21
20050217,27.32,0.0,44.67,1.39
20050218,27.57,0.0,43.76,1.66
20050219,26.6,0.0,48.75,1.73
20050220,26.02,0.0,51.19,1.77
20050221,25.81,0.0,58.32,1.6
20050222,27.54,1.29,64.13,1.72
20050223,28.39,0.14,59.89,1.87
20050224,28.67,0.0,57.46,2.09
20050225,27.43,0.0,52.94,2.12
20050226,27.46,0.0,48.28,2.25
20050227,26.75,0.0,44.58,2.22
20050228,26.67,0.0,43.24,2.12
20050301,27.72,0.0,51.49,2.43
20050302,27.79,0.0,50.03,1.75
20050303,28.44,0.0,51.33,1.98
20050304,29.06,0.0,50.3,1.79
20050305,29.57,0.22,57.14,2.39
20050306,29.21,0.01,54.66,2.19
20050307,29.25,0.0,53.65,2.29
20050308,28.19,0.04,56.5,2.13
20050309,28.45,0.02,59.06,1.92
20050310,27.98,1.86,59.61,0.94
20050311,28.01,2.14,58.27,0.88
20050312,29.49,0.28,56.71,1.18
20050313,29.03,6.9,61.71,1.37
20050314,27.42,5.36,66.4,2.13
20050315,27.94,0.0,58.46,1.54
20050316,27.54,0.0,54.01,1.72
20050317,27.22,0.0,50.38,2.43
20050318,27.16,0.0,48.77,1.65
20050319,28.35,0.06,49.42,1.63
20050320,29.16,0.0,50.86,1.02
20050321,30.25,0.0,47.48,1.5
20050322,30.49,0.0,46.1,1.25
20050323,31.46,0.0,44.11,1.59
20050324,32.77,0.51,43.55,1.79
20050325,32.91,0.12,39.95,1.85
20050326,32.18,0.0,39.77,2.07
20050327,32.19,0.0,43.25,1.7
20050328,32.79,0.0,41.53,1.97
20050329,33.37,0.0,39.41,1.52
20050330,32.96,1.27,44.27,2.4
20050331,31.63,0.04,46.76,1.4
20050401,32.17,0.37,44.93,2.22
20050402,31.53,0.27,53.05,2.83
20050403,28.4,24.06,69.86,2.21
20050404,25.4,22.53,83.47,2.61
20050405,25.05,15.71,86.06,2.45
20050406,26.0,17.55,82.52,1.18
20050407,24.91,11.81,87.79,1.48
20050408,26.69,0.64,76.28,1.42
20050409,27.97,0.25,72.73,1.29
20050410,28.51,1.25,71.54,0.89
20050411,27.8,0.75,76.03,0.74
20050412,27.64,0.27,76.55,0.89
20050413,27.87,0.1,75.03,1.5
20050414,28.86,0.04,67.54,1.23
20050415,29.0,0.03,65.21,1.47
20050416,29.12,0.01,61.66,1.31
20050417,29.02,0.0,60.44,1.4
20050418,28.88,0.01,61.84,1.24
20050419,29.27,0.06,63.39,1.58
20050420,27.11,4.79,76.16,1.54
20050421,27.66,0.4,68.71,1.8
20050422,28.11,0.0,67.84,1.24
