Date,T2M,PRECTOTCORR,RH2M,WS2M
20050101,24.34,0.04,84.49,2.38
20050102,24.0,0.07,84.37,2.63
20050103,24.19,0.06,83.97,2.45
20050104,23.76,0.0,82.17,2.92
20050105,23.87,0.0,82.54,3.29
20050106,23.1,0.0,79.83,3.1
20050107,23.91,0.0,81.25,3.72
20050108,24.25,0.0,80.45,3.33
20050109,23.46,0.0,80.71,3.42
20050110,23.23,0.0,78.26,2.53
20050111,22.69,0.0,75.11,2.12
20050112,22.87,0.0,78.21,2.31
20050113,23.14,0.0,77.75,2.76
20050114,23.33,0.0,77.06,3.06
20050115,23.4,0.0,73.49,2.89
20050116,23.89,0.0,77.26,2.72
20050117,24.8,0.05,76.72,2.32
20050118,25.53,0.54,79.29,2.2
20050119,26.07,0.17,79.01,2.52
20050120,26.1,0.84,77.69,3.76
20050121,25.79,4.8,79.45,4.21
20050122,25.6,5.07,80.94,3.56
20050123,26.15,0.83,76.64,3.14
20050124,25.48,0.11,82.29,2.39
20050125,26.04,0.0,75.76,2.72
20050126,25.96,0.0,74.71,2.74
20050127,25.68,0.32,75.5,2.37
20050128,25.41,0.22,75.85,1.76
20050129,26.01,2.24,73.01,2.16
20050130,26.05,1.38,75.96,2.22
20050131,26.46,1.42,78.39,2.42
20050201,26.96,0.36,77.22,2.73
20050202,26.94,0.21,74.04,3.08
20050203,26.77,0.36,72.35,3.12
20050204,26.78,0.16,71.78,3.17
20050205,26.91,0.0,68.63,2.79
20050206,26.38,0.0,65.92,3.02
20050207,25.6,0.0,68.99,3.02
20050208,26.07,0.0,70.17,3.71
20050209,26.05,0.0,68.14,4.17
20050210,26.6,0.0,66.16,4.26
20050211,26.56,0.0,65.24,3.87
20050212,25.76,0.0,66.04,3.79
20050213,25.95,0.0,64.46,3.39
20050214,25.37,0.0,68.65,2.43
20050215,26.16,0.0,65.72,1.37
20050216,26.75,0.0,64.26,1.75
20050217,26.7,0.0,65.85,1.77
20050218,26.78,0.0,64.94,1.93
20050219,26.79,0.0,68.28,2.02
20050220,26.57,0.0,71.25,2.19
20050221,27.7,0.11,67.58,2.18
20050222,27.99,2.06,71.28,2.34
20050223,28.83,0.47,68.73,2.72
20050224,28.79,0.0,68.13,2.93
20050225,27.98,0.0,66.15,2.51
20050226,27.4,0.0,62.1,2.33
20050227,27.45,0.0,61.96,2.6
20050228,27.04,0.0,62.07,2.66
20050301,26.96,0.0,70.02,2.67
20050302,28.15,0.0,64.55,2.76
20050303,28.45,0.0,64.66,2.72
20050304,29.22,0.04,64.89,2.62
20050305,29.51,1.85,67.97,2.86
20050306,29.11,1.17,67.23,2.78
20050307,28.63,0.33,69.56,2.76
20050308,28.5,0.0,67.13,2.48
