Date,T2M,PRECTOTCORR,RH2M,WS2M
20050101,23.8,0.0,84.19,2.16
20050102,23.89,0.1,83.12,2.3
20050103,24.07,0.09,83.6,2.25
20050104,23.9,0.01,82.77,2.82
20050105,23.85,0.03,81.6,2.95
20050106,23.37,0.13,79.32,2.91
20050107,24.27,0.36,80.49,3.46
20050108,24.2,0.06,79.59,3.04
20050109,23.49,0.1,80.77,3.16
20050110,23.02,0.0,80.48,2.27
20050111,22.65,0.0,77.95,1.67
20050112,23.09,0.0,81.59,1.96
20050113,23.19,0.0,80.03,2.47
20050114,23.31,0.03,79.39,2.8
20050115,23.35,0.31,73.08,2.63
20050116,23.92,0.02,76.97,2.53
20050117,24.54,0.15,78.39,2.19
20050118,25.36,0.22,80.33,2.08
20050119,25.84,0.06,80.54,2.47
20050120,25.83,0.37,78.7,3.57
20050121,26.12,1.95,77.39,4.04
20050122,25.91,0.88,77.66,3.47
20050123,26.03,0.13,75.6,2.74
20050124,25.95,0.06,78.92,2.26
20050125,25.82,0.01,76.61,2.31
20050126,25.59,0.0,77.25,2.35
20050127,25.46,0.0,76.59,2.22
20050128,25.52,0.19,75.25,1.66
20050129,25.78,0.09,72.45,2.3
20050130,26.15,0.47,72.86,2.28
20050131,26.31,0.75,76.09,2.34
20050201,26.27,1.11,78.7,2.56
20050202,26.41,0.62,76.33,2.84
20050203,26.31,2.5,75.86,2.98
20050204,26.35,0.78,74.49,2.94
20050205,26.56,0.0,68.32,2.6
20050206,25.62,0.0,70.26,2.71
20050207,25.09,0.0,70.24,2.75
20050208,25.45,0.0,72.03,3.32
20050209,25.99,0.06,69.67,3.81
20050210,26.4,0.0,68.5,3.78
20050211,26.23,0.0,69.13,3.4
20050212,25.45,0.0,68.47,3.31
20050213,25.39,0.0,68.77,2.75
20050214,25.23,0.0,67.65,2.06
20050215,26.29,0.0,65.24,1.39
20050216,26.68,0.0,65.21,1.88
20050217,26.87,0.0,67.04,1.94
20050218,26.77,0.0,67.52,1.99
20050219,26.79,0.0,69.1,1.87
20050220,26.45,0.0,70.18,2.11
20050221,27.37,0.0,67.79,2.26
20050222,27.97,1.55,70.2,2.35
20050223,28.59,0.22,69.63,2.44
20050224,28.48,0.01,68.58,2.66
20050225,27.68,0.0,65.88,2.19
20050226,27.02,0.0,65.46,2.02
20050227,27.24,0.0,60.55,2.29
20050228,27.25,0.0,62.81,2.39
20050301,27.48,0.0,67.18,2.65
20050302,27.88,0.0,65.62,2.46
20050303,28.06,0.0,67.24,2.48
20050304,28.78,0.02,66.85,2.4
20050305,29.18,0.99,69.2,2.66
20050306,28.8,0.38,66.92,2.51
20050307,28.65,0.13,69.01,2.47
20050308,28.52,0.17,67.9,2.26
20050309,28.29,0.28,70.16,2.19
20050310,28.74,0.54,66.55,1.62
20050311,29.18,0.71,65.53,1.85
20050312,29.96,0.27,64.71,2.29
20050313,29.69,4.46,67.39,2.19
20050314,29.14,1.33,65.88,2.4
20050315,28.71,0.0,63.03,2.44
20050316,28.48,0.0,62.57,2.2
20050317,27.9,0.0,63.99,2.84
20050318,28.47,0.13,62.63,2.1
20050319,29.06,0.38,64.72,2.34
20050320,29.75,0.03,62.43,2.1
20050321,30.11,0.0,61.56,2.16
20050322,30.21,0.0,59.86,2.02
20050323,31.0,0.0,57.44,2.6
20050324,31.81,0.51,59.36,2.83
20050325,31.69,0.26,60.98,2.67
20050326,31.75,0.1,58.61,2.27
20050327,31.72,0.3,58.56,2.44
20050328,31.64,0.0,54.64,2.25
20050329,32.11,0.0,55.45,2.46
20050330,31.92,0.27,59.86,2.55
20050331,31.51,0.77,61.29,2.56
20050401,31.46,0.07,60.98,2.61
20050402,31.09,0.62,64.63,2.92
20050403,27.78,26.72,81.0,3.12
20050404,26.66,42.26,91.88,4.68
20050405,26.94,20.32,88.28,2.94
20050406,26.95,14.89,85.58,1.35
20050407,26.98,10.32,85.55,2.33
20050408,27.05,2.41,81.03,2.64
20050409,28.52,1.5,77.74,2.4
20050410,28.64,1.47,80.33,2.0
