Date,T2M,PRECTOTCORR,RH2M,WS2M
20050101,20.57,0.11,85.88,0.98
20050102,20.23,0.21,86.66,1.11
20050103,20.47,0.17,86.68,0.9
20050104,20.32,0.01,82.77,1.21
20050105,19.57,0.0,83.93,1.25
20050106,18.7,0.0,81.19,1.26
20050107,18.92,0.0,85.39,1.4
20050108,19.46,0.0,82.41,1.32
20050109,18.85,0.0,81.17,1.25
20050110,19.81,0.0,72.74,1.0
20050111,20.28,0.0,59.56,0.88
20050112,20.23,0.0,57.22,1.06
20050113,19.61,0.0,73.95,1.16
20050114,19.13,0.0,77.72,1.31
20050115,19.29,0.0,75.96,1.11
20050116,19.7,0.0,75.65,0.96
20050117,21.15,0.0,74.14,0.8
20050118,22.28,0.08,73.41,0.77
20050119,22.65,0.02,79.62,0.91
20050120,22.2,0.08,75.56,1.4
20050121,21.85,0.41,81.5,1.99
20050122,22.11,0.44,82.93,1.65
20050123,22.42,0.04,77.9,1.26
20050124,22.29,0.01,79.6,1.14
20050125,22.36,0.0,75.55,1.15
20050126,22.44,0.0,72.25,1.07
20050127,22.25,1.89,78.29,0.98
20050128,21.1,0.66,80.2,1.05
20050129,21.75,16.92,78.67,0.84
20050130,21.65,8.56,85.15,0.86
20050131,22.85,2.98,83.29,0.72
20050201,23.44,0.42,82.44,0.63
20050202,23.22,0.1,79.61,1.16
20050203,22.92,0.09,78.44,1.21
20050204,23.02,0.02,75.95,1.16
20050205,23.08,0.03,76.66,1.09
20050206,22.61,0.0,71.92,1.21
20050207,20.97,0.0,65.33,1.2
20050208,21.65,0.0,71.09,1.4
20050209,21.36,0.0,71.57,1.88
20050210,21.47,0.0,71.88,1.92
20050211,21.17,0.0,69.32,1.68
20050212,20.82,0.0,67.32,1.71
20050213,20.88,0.0,61.56,1.51
20050214,22.3,0.0,47.94,1.35
20050215,24.47,0.0,38.64,1.02
20050216,24.78,0.0,41.29,1.23
20050217,24.28,0.0,50.99,1.31
20050218,23.96,0.0,51.3,1.33
20050219,23.59,0.0,51.65,1.32
20050220,22.9,0.0,55.14,1.08
20050221,23.52,0.0,63.31,0.7
20050222,24.32,0.86,72.5,0.97
20050223,25.07,0.2,71.87,1.11
20050224,24.78,0.0,71.53,1.18
20050225,24.41,0.0,61.38,1.27
20050226,23.62,0.0,54.71,1.29
20050227,23.01,0.0,56.52,1.12
20050228,23.15,0.0,53.08,1.21
20050301,23.63,0.0,60.22,1.23
20050302,24.39,0.0,57.08,1.08
20050303,24.77,0.0,58.18,1.25
