Date,T2M,PRECTOTCORR,RH2M,WS2M
20050101,24.87,0.05,83.06,2.65
20050102,25.38,0.01,79.87,3.09
20050103,25.26,0.01,79.31,2.82
20050104,25.21,0.0,76.91,3.34
20050105,25.07,0.01,79.52,3.67
20050106,24.49,0.0,75.84,3.45
20050107,24.93,0.0,77.57,3.97
20050108,25.43,0.0,76.69,3.57
20050109,24.06,0.0,79.37,3.5
20050110,24.59,0.0,74.17,2.76
20050111,24.38,0.0,70.8,2.42
20050112,24.13,0.0,71.35,2.53
20050113,24.61,0.0,73.62,3.24
20050114,24.35,0.0,72.31,3.49
20050115,24.77,0.0,69.59,3.33
20050116,24.95,0.0,73.22,2.97
20050117,25.9,0.0,74.2,2.45
20050118,26.68,0.84,76.31,2.24
20050119,27.12,0.9,77.08,2.59
20050120,27.27,0.57,75.17,4.08
20050121,26.4,3.25,79.37,4.8
20050122,26.42,3.74,80.17,3.99
20050123,26.94,0.53,76.45,3.64
20050124,26.24,0.33,81.3,2.8
20050125,26.92,0.01,75.75,3.17
20050126,26.75,0.0,73.85,3.12
20050127,26.47,0.24,72.55,2.31
20050128,26.33,0.09,73.75,1.96
20050129,26.96,1.61,72.29,2.21
20050130,26.81,2.78,74.13,2.39
20050131,27.35,0.87,75.48,2.17
20050201,27.8,0.23,74.62,2.17
20050202,27.69,0.13,73.0,3.33
20050203,27.66,0.02,69.56,3.24
20050204,27.82,0.0,67.79,3.48
20050205,27.87,0.0,66.1,3.09
20050206,27.83,0.0,63.04,3.38
20050207,26.94,0.0,64.26,3.38
20050208,27.52,0.0,65.99,4.24
20050209,27.35,0.01,64.42,4.99
20050210,27.59,0.01,62.91,4.77
20050211,27.59,0.0,61.21,4.35
20050212,27.0,0.0,63.04,4.29
20050213,27.17,0.0,61.79,3.9
20050214,26.55,0.0,66.56,2.87
20050215,27.3,0.0,63.32,1.72
20050216,27.59,0.0,60.37,1.82
20050217,27.87,0.0,62.32,1.94
20050218,27.99,0.0,59.18,2.07
20050219,27.82,0.0,64.19,2.37
20050220,27.53,0.0,66.81,2.27
20050221,28.61,0.49,66.24,2.26
20050222,28.48,1.83,72.22,2.25
20050223,29.59,0.29,67.52,3.06
20050224,29.79,0.0,65.6,3.37
20050225,29.28,0.0,63.79,3.13
20050226,28.57,0.0,59.41,2.7
20050227,28.36,0.0,59.5,3.0
20050228,27.9,0.0,59.93,2.86
20050301,27.44,0.0,66.55,2.68
20050302,28.61,0.0,64.4,2.98
20050303,28.68,0.0,63.78,2.76
20050304,29.36,0.47,65.53,2.53
20050305,28.98,4.99,72.22,2.33
20050306,28.53,3.16,74.57,2.27
20050307,28.4,0.61,74.12,2.48
20050308,28.66,0.01,69.03,2.44
20050309,28.46,0.18,71.0,2.61
20050310,28.7,0.57,69.05,2.02
20050311,28.52,4.73,71.76,1.88
20050312,28.95,1.48,68.99,1.85
20050313,29.96,1.64,66.43,2.17
20050314,29.45,1.23,66.91,2.36
20050315,29.4,0.0,62.76,2.91
20050316,29.25,0.0,59.91,2.83
20050317,28.57,0.0,60.02,3.26
20050318,28.89,0.35,65.81,2.87
20050319,29.43,4.4,67.53,2.81
20050320,30.05,0.14,64.23,2.48
20050321,30.34,0.07,61.2,2.27
20050322,30.94,0.0,56.21,2.19
20050323,32.1,0.0,56.02,2.27
20050324,32.21,0.44,55.2,2.79
20050325,32.21,0.23,53.8,2.52
20050326,31.97,0.0,50.91,2.63
20050327,31.95,0.23,53.12,2.59
20050328,31.74,0.09,55.38,2.04
20050329,32.31,0.01,55.22,3.0
20050330,31.63,2.55,59.58,2.9
20050331,30.65,0.54,61.92,2.18
20050401,31.29,0.06,59.18,2.92
20050402,29.66,14.62,73.18,2.01
20050403,27.52,16.71,86.51,2.3
20050404,25.8,71.52,89.25,3.08
20050405,26.36,28.02,89.8,3.3
20050406,26.96,22.91,87.4,1.51
20050407,26.93,11.73,88.04,1.98
20050408,27.21,1.17,86.31,2.18
20050409,27.46,0.3,85.56,2.14
20050410,27.8,2.05,85.17,2.36
20050411,27.91,8.33,86.81,2.59
20050412,27.92,1.25,85.56,2.25
20050413,27.85,2.27,83.68,1.62
20050414,27.9,0.21,81.06,1.25
20050415,28.35,1.3,79.73,1.28
20050416,28.34,9.93,78.25,1.25
20050417,28.3,6.19,80.17,1.58
20050418,28.29,5.09,81.62,1.68
20050419,27.64,11.49,85.06,1.34
20050420,27.57,19.84,85.57,1.68
20050421,27.2,4.91,83.08,1.19
20050422,27.51,2.65,80.87,1.16
20050423,27.87,1.12,80.84,1.2
20050424,27.94,0.77,83.21,1.1
20050425,27.98,5.71,81.53,0.81
20050426,29.03,0.91,76.75,0.88
20050427,28.53,0.09,83.32,1.6
20050428,28.79,0.07,82.32,1.85
20050429,29.51,0.08,80.78,1.65
20050430,29.55,8.07,81.02,2.12
20050501,29.44,2.0,79.02,2.02
20050502,28.45,27.01,84.49,1.41
20050503,28.68,6.3,83.31,2.04
20050504,27.95,0.81,84.18,2.19
20050505,28.53,0.05,78.32,2.22
20050506,28.04,0.13,80.76,2.48
20050507,28.33,0.2,80.69,2.8
20050508,29.51,0.01,75.87,2.22
20050509,29.3,0.0,75.59,3.83
20050510,28.97,0.0,72.84,3.44
20050511,29.17,0.04,74.78,3.29
20050512,29.01,0.06,79.55,3.28
20050513,28.9,0.01,79.58,2.93
20050514,28.48,0.63,83.88,2.95
20050515,28.84,0.2,81.96,3.49
20050516,28.57,0.03,81.92,3.36
20050517,29.51,0.03,73.42,3.87
20050518,30.16,0.01,71.05,3.1
20050519,30.52,0.02,72.96,3.03
20050520,30.42,0.05,74.08,3.39
20050521,29.95,0.07,75.1,3.24
20050522,30.24,1.13,74.17,3.51
20050523,30.11,0.26,73.51,3.89
20050524,30.0,0.02,74.74,3.57
20050525,29.47,0.34,77.64,2.86
20050526,29.56,19.66,76.94,2.82
20050527,28.83,6.92,79.54,2.88
20050528,28.58,0.59,77.05,2.52
20050529,28.59,56.69,80.33,2.8
20050530,27.56,14.56,84.97,3.06
