Date,T2M,PRECTOTCORR,RH2M,WS2M
20050101,23.68,0.03,83.27,2.3
20050102,24.31,0.0,80.07,2.65
20050103,23.66,0.0,80.2,2.42
20050104,23.92,0.0,77.89,2.9
20050105,23.62,0.0,80.2,2.78
20050106,23.1,0.0,75.75,2.73
20050107,23.41,0.0,77.89,3.05
20050108,23.66,0.0,77.54,2.7
20050109,22.18,0.0,79.73,2.64
20050110,22.92,0.0,71.41,1.83
20050111,23.41,0.0,68.38,1.46
20050112,23.28,0.0,66.13,1.89
20050113,23.27,0.0,73.97,2.18
20050114,22.8,0.0,72.18,2.97
20050115,23.07,0.0,72.0,2.7
20050116,23.44,0.0,72.95,2.19
20050117,24.83,0.0,71.95,1.54
20050118,25.98,0.3,73.8,1.0
20050119,26.49,0.54,74.98,1.64
20050120,26.5,0.05,72.61,3.75
20050121,25.55,0.27,77.48,4.93
20050122,25.65,0.37,77.6,4.37
20050123,25.99,0.11,73.76,3.67
20050124,25.47,0.22,78.36,2.93
20050125,26.08,0.01,74.07,3.03
20050126,26.04,0.0,70.73,2.51
20050127,25.97,0.12,71.55,1.59
20050128,24.55,0.1,77.26,1.4
20050129,25.93,1.47,74.48,1.32
20050130,25.88,1.53,75.51,1.87
20050131,26.64,0.26,72.31,1.52
20050201,27.13,0.13,71.25,1.21
20050202,26.83,0.1,72.76,2.07
20050203,26.86,0.0,69.46,2.64
20050204,26.71,0.0,67.97,3.22
20050205,26.42,0.0,68.99,2.66
20050206,26.65,0.0,65.21,2.69
20050207,25.49,0.0,65.31,2.92
20050208,26.34,0.0,66.87,3.86
20050209,25.97,0.02,65.18,4.99
20050210,26.21,0.0,63.74,4.62
20050211,25.97,0.0,62.21,4.01
20050212,25.68,0.0,64.67,4.15
20050213,25.74,0.0,64.36,3.41
20050214,25.57,0.0,63.6,2.78
20050215,26.92,0.0,56.49,1.45
20050216,27.59,0.0,55.37,1.35
20050217,28.09,0.0,58.68,1.5
20050218,27.51,0.0,57.28,1.91
20050219,26.76,0.0,56.97,1.94
20050220,26.52,0.0,61.9,1.8
20050221,27.54,0.34,61.05,1.46
20050222,27.92,0.65,68.31,1.89
20050223,28.85,0.02,64.86,2.34
20050224,29.2,0.0,62.2,2.76
20050225,29.03,0.0,58.86,2.7
20050226,27.58,0.0,56.99,2.56
20050227,27.06,0.0,59.52,2.45
20050228,27.32,0.0,54.61,2.07
20050301,26.83,0.0,61.08,2.28
20050302,28.0,0.0,60.71,2.23
20050303,28.22,0.0,58.44,2.28
20050304,28.75,0.27,57.45,1.92
20050305,28.17,6.14,68.31,1.83
20050306,26.64,3.61,78.8,1.82
20050307,26.46,0.25,76.04,2.25
20050308,26.57,0.0,72.23,1.95
20050309,26.76,0.05,73.25,2.13
20050310,27.68,0.24,68.88,1.21
20050311,27.5,4.47,71.92,1.39
20050312,28.05,1.5,67.33,1.23
20050313,29.3,0.2,63.01,1.18
20050314,29.06,0.17,61.8,1.9
20050315,28.68,0.0,60.86,2.4
20050316,27.84,0.0,60.02,2.41
20050317,27.25,0.0,57.66,2.88
20050318,28.31,0.01,60.06,2.55
20050319,29.43,0.51,59.94,2.09
20050320,29.8,0.05,59.66,1.96
20050321,30.08,0.01,57.33,1.79
20050322,30.68,0.0,57.42,1.6
20050323,30.63,0.0,57.73,2.64
20050324,30.68,0.15,57.94,2.83
20050325,30.45,0.02,56.13,2.66
20050326,30.41,0.0,51.83,2.56
20050327,31.0,0.44,54.98,2.68
20050328,30.04,0.24,58.59,1.59
20050329,29.34,0.0,64.28,3.5
20050330,28.64,2.39,69.69,2.93
20050331,28.09,0.47,68.95,3.16
20050401,30.4,0.02,56.6,1.71
20050402,28.53,13.7,70.62,1.6
20050403,26.07,15.91,86.85,1.47
20050404,25.78,101.36,85.42,1.53
20050405,24.69,29.0,91.75,1.44
20050406,25.65,16.5,88.91,1.42
20050407,25.6,11.94,89.18,1.81
20050408,25.7,0.49,89.02,2.21
20050409,25.9,0.05,86.8,1.83
20050410,25.83,2.74,88.75,1.75
20050411,25.99,11.56,90.3,1.8
20050412,26.01,1.97,88.3,1.84
20050413,25.81,2.91,87.91,1.4
20050414,26.38,0.28,83.65,0.9
20050415,26.65,1.95,82.85,0.96
20050416,26.84,13.13,80.66,0.94
20050417,26.63,10.82,83.2,0.99
20050418,26.97,7.91,82.87,0.97
20050419,25.99,14.34,87.95,0.82
20050420,25.21,16.95,91.45,1.67
20050421,25.55,2.46,84.35,1.67
20050422,25.66,0.63,86.17,1.19
20050423,26.23,0.63,84.69,0.95
20050424,26.09,0.8,87.9,0.99
20050425,26.4,8.2,84.9,0.85
20050426,27.62,1.41,81.16,0.73
20050427,26.85,0.01,86.48,1.25
20050428,26.68,0.0,87.11,1.42
20050429,27.49,0.01,86.17,1.36
20050430,27.49,0.82,85.18,1.64
20050501,27.54,0.2,82.39,1.61
20050502,26.64,31.05,88.35,1.22
20050503,26.49,6.47,87.08,1.86
20050504,26.06,0.04,85.11,1.94
20050505,26.43,0.0,79.72,1.99
20050506,26.55,0.03,82.36,2.27
20050507,26.41,0.1,84.39,2.13
20050508,27.06,0.02,83.27,2.28
20050509,26.89,0.0,80.72,3.15
20050510,26.7,0.0,79.73,3.14
20050511,27.02,0.02,80.82,2.54
20050512,27.08,0.02,82.34,2.31
20050513,27.0,0.0,82.4,2.03
20050514,26.79,0.45,86.94,2.01
20050515,27.2,0.08,85.6,2.5
20050516,27.01,0.0,85.75,2.53
20050517,26.97,0.04,81.53,2.85
20050518,28.01,0.01,75.6,2.94
20050519,28.45,0.02,77.61,2.44
20050520,28.26,0.04,79.2,2.07
20050521,27.75,0.06,80.85,2.31
20050522,27.94,1.99,80.38,2.84
20050523,26.99,0.78,83.9,2.76
20050524,27.64,0.08,80.94,3.04
20050525,27.35,0.68,82.55,2.23
20050526,26.84,20.01,86.99,2.18
20050527,26.46,11.9,87.47,2.94
20050528,26.52,0.14,82.97,2.3
20050529,26.15,80.33,88.62,2.89
20050530,25.63,24.21,89.55,2.9
20050531,25.97,4.02,87.14,3.74
20050601,26.26,4.61,87.4,3.62
20050602,25.96,0.66,89.14,3.63
20050603,26.15,0.03,88.91,3.25
20050604,25.62,11.98,91.36,2.38
20050605,25.41,18.06,91.62,2.61
20050606,25.46,7.21,90.02,2.96
20050607,25.83,6.88,90.15,3.05
20050608,26.55,9.9,90.93,3.78
20050609,26.07,44.42,92.28,4.7
20050610,25.9,14.14,90.6,4.32
20050611,26.13,4.63,89.84,4.08
20050612,25.92,7.03,91.0,3.49
20050613,25.12,3.88,89.3,4.26
20050614,25.52,1.22,87.22,3.21
20050615,25.42,5.02,88.18,3.98
20050616,25.2,19.32,91.77,4.55
20050617,24.82,11.77,91.5,5.24
20050618,24.76,4.07,89.93,4.74
20050619,24.94,22.21,90.39,4.68
20050620,24.88,11.86,90.67,4.87
20050621,24.8,2.08,90.03,4.92
20050622,25.06,0.96,88.92,4.16
20050623,25.19,0.28,90.28,4.25
20050624,25.55,5.27,89.64,4.57
20050625,25.43,14.65,90.3,4.27
20050626,25.01,6.08,90.23,3.82
20050627,25.25,0.99,89.88,3.77
20050628,25.35,0.13,88.04,3.78
20050629,24.79,0.23,87.87,3.29
20050630,25.19,16.28,88.28,3.44
20050701,25.29,13.36,89.61,3.37
20050702,24.85,2.0,91.2,2.91
20050703,24.87,6.34,91.57,3.22
20050704,25.06,5.7,91.28,3.93
20050705,25.19,4.31,90.24,3.91
20050706,24.61,1.58,89.58,4.07
20050707,25.07,0.1,88.76,4.44
20050708,24.83,4.98,90.6,4.76
20050709,24.79,18.96,91.48,5.01
20050710,23.85,17.24,90.41,5.05
20050711,24.25,4.8,88.82,4.88
20050712,24.43,1.0,90.15,4.06
20050713,24.3,1.3,89.64,4.27
20050714,24.21,0.86,90.18,3.34
20050715,24.0,0.76,91.09,3.74
20050716,24.46,7.04,89.58,3.46
20050717,24.44,3.33,88.98,4.41
20050718,24.85,0.5,89.18,4.26
20050719,24.77,0.75,90.29,4.45
20050720,24.73,0.95,89.94,4.79
20050721,24.64,0.04,89.36,4.07
