Date,T2M,PRECTOTCORR,RH2M,WS2M
20050101,21.35,0.0,77.06,1.67
20050102,21.83,0.0,80.03,1.85
20050103,22.76,0.05,80.9,1.8
20050104,21.98,0.01,76.7,2.2
20050105,20.99,0.0,77.08,2.12
20050106,20.51,0.0,78.98,2.21
20050107,21.35,0.0,77.64,2.23
20050108,21.31,0.0,77.71,2.13
20050109,20.78,0.0,76.28,2.1
20050110,20.76,0.0,70.12,1.38
20050111,21.59,0.0,66.11,1.23
20050112,21.82,0.0,68.07,1.6
20050113,21.41,0.0,72.84,1.93
20050114,21.12,0.0,75.4,2.14
20050115,20.66,0.0,72.43,1.88
20050116,20.87,0.0,74.22,1.64
20050117,22.32,0.0,74.24,1.5
20050118,23.81,0.0,72.81,1.49
20050119,24.08,0.0,74.45,1.92
20050120,23.5,0.0,73.06,2.62
20050121,23.7,0.31,74.1,3.08
20050122,23.73,0.27,74.82,2.58
20050123,24.31,0.01,72.84,2.09
20050124,24.76,0.0,71.23,1.89
20050125,24.64,0.0,69.84,2.02
20050126,24.75,0.0,68.8,1.74
20050127,24.16,0.29,71.28,2.08
20050128,22.9,0.07,74.67,1.53
20050129,23.57,0.03,69.81,2.2
20050130,23.95,0.3,70.75,2.31
20050131,23.87,1.24,76.58,2.14
20050201,22.84,3.43,85.23,1.9
20050202,24.65,1.05,76.03,2.44
20050203,24.43,1.77,75.91,2.66
20050204,24.22,0.54,75.61,2.63
20050205,24.61,0.0,68.87,1.95
20050206,24.09,0.0,64.57,1.83
20050207,22.83,0.0,65.78,2.23
20050208,23.15,0.0,69.68,2.73
20050209,23.33,0.0,65.39,2.96
20050210,23.28,0.0,65.11,2.84
20050211,23.39,0.0,64.18,2.56
20050212,23.05,0.0,60.21,2.35
20050213,23.47,0.0,50.08,2.2
20050214,25.15,0.0,37.42,1.85
20050215,26.09,0.0,39.05,1.75
20050216,26.79,0.0,39.03,1.8
20050217,26.77,0.0,44.73,2.06
20050218,26.98,0.0,45.62,2.22
20050219,25.46,0.0,54.8,2.16
20050220,24.8,0.0,59.08,2.1
20050221,24.5,0.0,65.66,2.06
20050222,26.37,0.39,68.28,2.15
20050223,27.14,0.06,64.77,2.27
20050224,27.59,0.0,59.12,2.34
20050225,26.59,0.0,55.25,2.15
20050226,26.64,0.0,52.18,2.15
20050227,26.05,0.0,47.57,2.16
20050228,26.31,0.0,48.99,2.31
20050301,26.24,0.0,58.83,2.43
20050302,26.58,0.0,57.86,2.11
20050303,26.98,0.0,56.98,2.22
20050304,27.19,0.0,61.01,2.32
20050305,27.98,0.0,61.46,2.42
20050306,27.65,0.0,59.94,2.45
20050307,27.64,0.0,60.36,2.51
20050308,26.65,0.12,64.44,2.45
20050309,26.67,0.06,68.45,2.16
20050310,27.07,0.56,63.57,1.51
20050311,26.35,4.75,67.24,1.22
20050312,27.88,0.46,63.78,1.59
20050313,27.91,2.47,66.43,2.2
20050314,27.1,1.81,57.46,2.57
20050315,27.71,0.0,57.76,2.15
20050316,27.25,0.0,54.46,2.11
20050317,26.56,0.0,55.08,2.52
20050318,26.67,0.0,50.22,2.11
20050319,27.53,0.0,51.06,1.97
20050320,28.05,0.0,56.46,1.88
20050321,28.71,0.0,52.9,1.91
20050322,28.61,0.0,53.77,1.79
20050323,30.2,0.0,50.36,2.46
20050324,31.44,0.35,46.28,2.23
20050325,31.39,0.28,50.28,2.1
20050326,31.97,0.0,45.98,2.05
20050327,30.92,0.0,50.97,2.38
20050328,31.04,0.0,48.86,2.29
20050329,32.07,0.0,42.74,1.78
20050330,31.64,0.5,49.87,2.55
20050331,31.42,0.04,49.74,2.65
20050401,30.76,2.06,50.1,2.7
20050402,30.02,0.53,57.79,2.88
20050403,27.45,18.46,73.17,2.51
20050404,25.57,17.57,78.51,3.12
20050405,24.78,21.2,86.8,2.7
