Date,T2M,PRECTOTCORR,RH2M,WS2M
20050101,24.13,0.07,72.03,1.54
20050102,23.79,0.13,73.54,1.78
20050103,24.47,0.11,74.58,1.6
20050104,24.3,0.0,68.18,2.0
20050105,23.22,0.0,70.11,1.88
20050106,22.33,0.0,69.71,1.95
20050107,22.88,0.0,71.61,2.28
20050108,23.27,0.0,70.1,1.97
20050109,22.8,0.0,68.97,1.97
20050110,22.67,0.0,64.61,1.19
20050111,22.64,0.0,60.66,1.06
20050112,23.18,0.0,53.29,1.27
20050113,23.28,0.0,63.73,1.62
20050114,22.99,0.0,67.16,2.0
20050115,22.62,0.0,66.48,1.76
20050116,22.74,0.0,67.66,1.24
20050117,23.99,0.0,68.72,1.18
20050118,25.15,0.01,66.93,0.92
20050119,25.78,0.0,69.3,1.59
20050120,25.6,0.02,65.95,2.15
20050121,25.25,0.31,68.74,2.72
20050122,25.64,0.18,70.9,2.53
20050123,26.23,0.01,65.81,1.97
20050124,26.47,0.0,65.12,1.82
20050125,26.05,0.0,64.69,1.89
20050126,25.87,0.0,63.8,1.59
20050127,25.67,0.83,67.91,1.67
20050128,24.17,0.17,71.47,1.38
20050129,24.65,3.39,68.58,1.45
20050130,25.02,2.53,73.42,1.34
20050131,24.57,3.93,81.46,1.19
20050201,24.29,1.03,83.25,1.62
20050202,26.31,0.23,70.24,1.97
20050203,26.41,0.39,68.03,2.34
20050204,26.48,0.12,67.2,2.36
20050205,26.72,0.01,63.96,2.05
20050206,26.42,0.0,58.77,2.01
20050207,24.99,0.0,56.58,1.76
20050208,25.17,0.0,61.18,2.19
20050209,24.98,0.0,59.91,2.84
20050210,24.92,0.0,59.01,2.83
20050211,24.88,0.0,55.91,2.34
20050212,24.52,0.0,55.46,2.31
20050213,24.48,0.0,46.76,1.95
20050214,25.07,0.0,43.7,1.6
20050215,26.66,0.0,38.59,1.34
20050216,27.45,0.0,35.47,1.48
20050217,27.98,0.0,39.78,1.65
20050218,28.2,0.0,42.46,1.95
20050219,27.47,0.0,38.58,1.9
20050220,26.84,0.0,44.82,1.74
20050221,27.03,0.0,50.11,1.68
20050222,28.37,0.96,56.66,1.92
20050223,28.66,0.16,58.33,1.9
20050224,29.15,0.0,56.74,2.33
20050225,28.34,0.0,48.48,2.05
20050226,28.23,0.0,41.71,2.16
20050227,27.28,0.0,40.71,1.89
20050228,26.92,0.0,39.19,1.75
20050301,27.99,0.0,47.32,2.19
20050302,28.22,0.0,45.44,1.57
20050303,28.68,0.0,47.15,1.83
20050304,29.98,0.33,43.21,1.73
20050305,30.23,1.13,52.87,2.11
20050306,29.5,0.08,54.01,2.08
20050307,29.58,0.0,50.26,2.37
20050308,28.81,0.01,54.36,2.39
20050309,28.56,0.0,55.73,1.73
20050310,27.7,4.8,59.58,1.01
20050311,27.93,1.29,59.23,0.98
20050312,29.54,0.43,54.54,0.96
20050313,28.82,13.24,63.72,1.09
20050314,27.49,11.97,71.75,1.78
20050315,27.67,0.18,61.98,1.65
20050316,27.44,0.0,54.1,1.51
20050317,27.05,0.0,51.27,2.07
20050318,27.01,0.0,49.2,1.3
20050319,28.13,0.12,52.09,1.33
20050320,28.85,0.0,53.12,0.89
20050321,29.8,0.0,48.13,1.09
20050322,30.41,0.0,47.81,1.08
20050323,31.06,0.0,50.41,1.7
