Date,T2M,PRECTOTCORR,RH2M,WS2M
20050101,21.67,0.0,81.1,1.51
20050102,22.17,0.0,83.32,1.57
20050103,22.75,0.01,82.52,1.73
20050104,22.01,0.03,82.1,2.06
20050105,21.38,0.0,81.13,2.03
20050106,21.32,0.0,81.74,2.12
20050107,22.12,0.0,80.65,2.07
20050108,21.83,0.0,80.39,1.97
20050109,21.44,0.0,78.94,1.89
20050110,21.21,0.0,73.33,1.3
20050111,21.75,0.0,70.97,1.23
20050112,22.02,0.0,73.98,1.59
20050113,22.2,0.0,76.91,1.83
20050114,21.98,0.0,77.27,1.95
20050115,21.33,0.0,74.67,1.77
20050116,21.94,0.0,75.19,1.59
20050117,22.93,0.0,74.21,1.5
20050118,24.32,0.0,72.03,1.45
20050119,24.31,0.0,76.87,1.67
20050120,23.95,0.0,76.58,2.37
20050121,24.39,0.4,76.55,2.64
20050122,24.38,0.22,76.03,2.27
20050123,24.73,0.06,74.81,1.84
20050124,25.09,0.01,74.65,1.61
20050125,25.19,0.0,72.77,1.67
20050126,25.02,0.0,71.48,1.49
20050127,24.34,0.1,75.68,1.91
20050128,23.35,0.05,78.79,1.61
20050129,23.99,0.0,73.44,2.02
20050130,24.46,0.05,72.21,2.2
20050131,24.76,0.45,74.92,2.36
20050201,23.46,3.19,85.55,1.79
20050202,25.04,0.71,78.21,2.51
20050203,25.02,2.05,76.92,2.65
20050204,24.97,0.41,74.45,2.4
20050205,25.0,0.0,68.5,1.82
20050206,24.4,0.0,65.87,1.7
20050207,23.41,0.0,70.14,2.04
20050208,23.55,0.0,73.76,2.45
20050209,23.9,0.0,69.63,2.53
20050210,24.12,0.0,69.49,2.48
20050211,24.18,0.0,69.83,2.26
20050212,23.75,0.0,66.55,1.97
20050213,24.1,0.0,56.4,1.84
20050214,24.96,0.0,45.38,1.77
20050215,25.92,0.0,48.59,1.73
20050216,26.76,0.0,51.03,2.13
20050217,26.49,0.0,57.3,2.28
20050218,26.84,0.0,56.93,2.47
20050219,25.58,0.0,62.29,2.16
20050220,25.34,0.0,63.84,2.13
20050221,24.95,0.0,69.86,2.1
20050222,26.65,0.15,70.0,2.15
20050223,27.68,0.02,65.63,2.15
20050224,27.86,0.0,59.96,2.1
20050225,27.19,0.0,58.66,2.06
20050226,26.94,0.0,55.05,1.91
20050227,26.58,0.0,51.87,2.12
20050228,26.84,0.0,54.99,2.28
20050301,27.12,0.0,60.57,2.15
20050302,27.39,0.0,59.78,2.03
20050303,27.39,0.0,60.18,2.08
20050304,27.73,0.0,63.38,2.32
20050305,28.61,0.0,63.79,2.36
20050306,28.2,0.0,61.25,2.28
20050307,28.18,0.0,63.45,2.38
20050308,27.37,0.33,64.47,2.25
20050309,27.35,0.32,69.8,1.99
20050310,28.04,0.03,63.55,1.58
20050311,27.46,2.57,66.75,1.54
20050312,28.82,0.24,63.8,2.1
20050313,28.43,0.6,67.06,2.61
20050314,28.73,0.3,53.28,2.45
20050315,28.61,0.0,57.29,2.32
20050316,28.45,0.0,52.45,2.16
20050317,27.5,0.0,55.83,2.47
20050318,27.8,0.0,51.04,2.24
20050319,28.33,0.0,50.9,1.97
20050320,29.02,0.0,57.67,2.13
20050321,29.35,0.0,55.44,2.05
20050322,29.23,0.0,57.2,2.25
20050323,30.53,0.0,56.34,3.2
20050324,32.19,0.39,50.4,2.46
20050325,31.8,0.2,55.27,2.56
20050326,32.18,0.0,51.61,2.2
20050327,31.16,0.0,54.84,2.51
20050328,31.21,0.0,53.84,2.44
20050329,32.09,0.0,49.32,2.43
20050330,32.1,0.08,55.46,2.85
20050331,31.39,0.0,54.79,3.0
20050401,31.24,0.75,54.81,2.82
20050402,30.77,1.35,59.77,2.73
20050403,28.37,14.36,74.65,2.15
20050404,26.61,19.16,80.54,2.46
20050405,25.41,53.97,91.26,1.95
20050406,25.05,22.5,89.31,1.39
20050407,26.09,5.17,85.0,0.91
20050408,26.94,0.19,81.53,1.22
20050409,27.9,0.26,75.15,1.61
20050410,27.74,1.48,80.42,1.78
20050411,27.01,0.76,84.99,1.25
20050412,27.13,0.04,86.73,1.26
20050413,27.3,0.15,82.38,1.83
20050414,27.49,0.08,77.5,1.7
20050415,28.08,0.32,72.93,1.89
20050416,28.33,0.0,69.65,1.9
20050417,28.29,0.0,65.03,1.87
20050418,28.15,0.03,68.49,2.03
20050419,28.59,1.2,70.34,2.07
20050420,27.57,1.16,76.9,2.02
20050421,27.91,0.02,69.47,2.11
20050422,28.14,0.0,69.39,2.15
20050423,28.99,0.01,68.52,2.42
20050424,28.59,0.0,69.99,1.68
20050425,28.91,0.43,69.34,1.23
20050426,29.11,5.93,71.45,1.74
20050427,29.51,1.34,69.09,1.47
20050428,31.14,0.21,64.7,1.6
20050429,31.56,0.04,63.43,1.76
20050430,30.94,0.66,66.91,2.49
20050501,29.66,15.42,73.44,2.5
20050502,28.73,5.59,75.9,1.83
20050503,29.78,8.69,69.76,1.74
20050504,27.47,13.2,80.62,1.75
20050505,28.37,4.81,75.12,1.48
20050506,30.05,0.25,69.3,1.66
20050507,30.48,0.01,67.42,1.94
20050508,30.39,0.05,66.26,1.85
20050509,30.18,0.01,59.77,2.79
20050510,31.95,0.1,58.02,3.1
20050511,31.85,0.02,60.96,2.26
20050512,31.66,0.01,60.59,2.4
20050513,31.76,0.0,61.21,2.51
20050514,32.14,0.0,59.2,3.16
20050515,32.91,0.03,47.93,2.92
20050516,32.18,0.04,51.64,2.61
20050517,31.99,0.0,52.26,2.36
20050518,32.08,0.0,55.42,2.29
20050519,31.14,0.0,60.63,2.57
20050520,30.68,0.0,64.06,2.91
20050521,31.19,1.34,63.91,2.54
20050522,31.95,2.04,63.94,1.53
20050523,30.89,3.36,68.13,1.89
20050524,31.61,1.6,61.76,2.46
20050525,30.42,1.2,66.73,1.82
20050526,29.93,2.33,71.59,2.0
20050527,28.97,12.35,74.47,1.61
20050528,29.77,0.35,65.6,2.34
20050529,29.05,2.65,67.83,2.61
20050530,28.69,1.19,70.19,1.67
20050531,29.1,9.13,72.81,1.26
20050601,30.08,2.01,67.75,2.61
20050602,30.05,1.66,67.73,2.77
20050603,29.58,2.92,70.41,2.02
20050604,30.17,2.24,69.72,1.79
20050605,30.65,1.21,65.46,1.99
20050606,29.97,0.07,65.97,2.29
20050607,29.82,0.86,66.21,2.41
20050608,30.93,1.47,63.65,2.06
20050609,28.09,1.45,74.93,2.13
20050610,27.79,1.7,71.96,3.37
20050611,29.91,0.01,62.35,3.68
20050612,30.73,0.0,59.36,2.58
20050613,31.68,0.21,57.26,1.93
20050614,31.04,0.0,57.12,2.39
20050615,31.3,0.0,58.04,2.21
20050616,31.66,0.01,54.59,2.53
20050617,31.75,0.0,53.62,4.05
20050618,30.1,0.01,57.18,4.48
20050619,30.43,0.0,56.57,3.77
20050620,29.11,1.53,64.9,3.74
20050621,28.64,0.65,61.95,3.8
20050622,29.09,1.13,59.38,3.7
20050623,28.97,0.01,57.71,3.19
20050624,28.51,1.47,63.4,2.95
20050625,29.75,1.19,59.77,3.31
20050626,29.39,0.01,58.73,3.56
20050627,29.41,0.06,59.42,3.79
20050628,29.62,0.01,57.74,4.28
20050629,30.34,0.0,54.3,3.67
20050630,30.08,0.37,56.61,3.19
20050701,29.99,1.01,58.51,3.79
20050702,29.94,0.98,58.01,3.54
20050703,30.41,0.07,56.49,3.99
20050704,30.35,0.37,55.92,4.2
20050705,29.97,0.85,55.64,4.76
20050706,29.96,0.19,53.3,4.05
20050707,29.93,0.0,55.84,3.87
20050708,29.97,1.02,55.95,3.64
20050709,30.12,0.77,53.28,4.57
20050710,29.24,3.74,54.96,2.87
20050711,29.17,0.62,58.94,2.97
20050712,29.64,0.44,60.51,2.53
20050713,28.93,1.77,67.41,1.73
20050714,27.84,5.73,74.33,1.42
20050715,27.75,6.22,73.59,1.38
20050716,27.22,5.8,77.81,1.11
20050717,27.58,1.79,75.07,0.93
20050718,29.34,0.11,67.08,1.32
20050719,29.37,0.97,68.19,1.02
20050720,28.97,13.72,70.87,1.79
20050721,29.2,1.2,67.28,2.64
20050722,28.17,5.26,68.58,3.37
20050723,27.15,16.28,71.56,3.9
20050724,26.56,6.46,74.29,4.33
20050725,28.03,3.08,67.76,4.66
20050726,28.48,1.37,65.15,4.8
20050727,29.19,0.65,62.41,4.9
20050728,29.03,1.64,62.76,4.56
20050729,28.98,0.19,62.25,4.76
20050730,28.7,0.39,63.67,4.42
20050731,28.84,0.84,63.49,4.61
20050801,28.4,0.15,66.4,4.29
20050802,27.83,0.15,66.34,4.18
20050803,28.62,0.06,61.88,3.99
20050804,28.14,0.45,65.78,3.26
20050805,28.23,0.45,64.68,3.56
20050806,29.43,0.07,58.93,3.92
20050807,29.71,0.0,58.84,3.85
20050808,29.24,0.38,61.52,3.5
20050809,29.5,0.41,63.74,2.7
20050810,28.76,8.73,67.33,3.3
20050811,29.55,0.74,62.92,3.8
20050812,29.68,1.36,61.78,3.54
20050813,28.88,1.26,65.06,3.39
20050814,28.25,11.89,71.43,2.76
20050815,27.09,9.8,76.2,2.86
20050816,27.89,0.43,69.59,3.15
20050817,29.23,0.09,61.68,3.68
20050818,28.76,0.0,62.5,3.32
20050819,28.56,3.52,67.27,3.01
20050820,28.61,0.12,65.08,2.15
20050821,29.46,0.67,62.04,1.83
20050822,28.66,1.29,69.22,1.24
20050823,27.32,15.43,78.4,1.68
20050824,27.57,6.87,74.31,1.34
20050825,27.72,10.5,72.64,1.55
20050826,27.53,3.48,74.52,1.9
20050827,27.59,11.77,74.59,0.99
20050828,28.45,7.55,72.67,1.19
20050829,28.49,2.6,75.02,1.06
20050830,28.8,3.84,73.71,1.2
20050831,27.39,2.71,80.44,1.78
20050901,28.41,6.22,74.05,1.4
20050902,27.93,7.7,79.13,1.04
20050903,27.21,5.8,82.25,1.15
20050904,27.27,12.25,82.54,1.23
20050905,26.8,1.89,84.79,1.1
20050906,26.87,6.22,82.71,1.07
20050907,27.1,11.04,80.37,1.04
20050908,27.69,15.64,78.83,0.92
20050909,27.43,14.23,83.48,1.82
20050910,26.7,6.59,83.2,2.48
20050911,26.55,2.43,79.51,2.78
20050912,26.38,0.0,79.76,2.99
20050913,27.05,0.26,77.98,2.78
