District,Start Year,End Year,Years Analysed,Slope,R2 Score,Percentage Change (%),Average Temperature Range,Temperature Std,Trend,Strength
Ariyalur,2005,2025,21,0.0105,0.037,-0.39,11.51,2.72,Stable,Stable
Chengalpattu,2005,2025,21,0.0117,0.117,-0.14,9.93,2.29,Stable,Stable
Chennai,2005,2025,21,0.0088,0.058,-0.47,11.21,2.55,Stable,Stable
Coimbatore,2005,2025,21,0.0309,0.179,0.49,10.68,2.2,Increasing,Moderate Increase
Cuddalore,2005,2025,21,0.0154,0.222,0.25,7.61,1.82,Stable,Stable
Dharmapuri,2005,2025,21,0.0345,0.197,1.33,13.7,2.82,Increasing,Moderate Increase
Dindigul,2005,2025,21,0.0167,0.045,0.67,12.42,2.65,Stable,Stable
Erode,2005,2025,21,0.0243,0.095,0.73,12.72,2.62,Stable,Stable
Kallakurichi,2005,2025,21,0.0156,0.058,-0.11,13.19,2.87,Stable,Stable
Kanchipuram,2005,2025,21,0.0088,0.058,-0.47,11.21,2.55,Stable,Stable
Kanniyakumari,2005,2025,21,0.0288,0.45,1.24,4.7,1.01,Stable,Stable
Karur,2005,2025,21,0.0262,0.104,0.62,12.71,2.7,Stable,Stable
Krishnagiri,2005,2025,21,0.0352,0.22,1.76,13.8,2.78,Increasing,Moderate Increase
Madurai,2005,2025,21,0.0172,0.042,1.87,12.05,2.58,Stable,Stable
Mayiladuthurai,2005,2025,21,0.0105,0.037,-0.39,11.51,2.72,Stable,Stable
Nagapattinam,2005,2025,21,0.0149,0.217,0.32,7.34,1.76,Stable,Stable
Namakkal,2005,2025,21,0.0262,0.104,0.62,12.71,2.7,Stable,Stable
Nilgiris,2005,2025,21,0.0319,0.195,0.77,11.04,2.25,Increasing,Moderate Increase
Perambalur,2005,2025,21,0.0124,0.032,-0.33,12.64,2.81,Stable,Stable
Pudukkottai,2005,2025,21,0.0103,0.02,0.18,11.92,2.72,Stable,Stable
Ramanathapuram,2005,2025,21,0.0367,0.28,3.18,8.85,2.02,Increasing,Moderate Increase
Ranipet,2005,2025,21,0.0122,0.046,-0.6,14.39,3.24,Stable,Stable
Salem,2005,2025,21,0.0318,0.152,1.05,13.22,2.79,Increasing,Moderate Increase
Sivagangai,2005,2025,21,0.0187,0.066,1.73,10.9,2.51,Stable,Stable
Tenkasi,2005,2025,21,0.053,0.389,2.64,10.42,2.01,Increasing,Moderate Increase
Thanjavur,2005,2025,21,0.0105,0.037,-0.39,11.51,2.72,Stable,Stable
Theni,2005,2025,21,0.0268,0.124,2.06,10.84,2.21,Stable,Stable
Thoothukudi,2005,2025,21,0.0485,0.379,3.75,9.15,1.92,Increasing,Moderate Increase
Tiruchirappalli,2005,2025,21,0.0124,0.032,-0.33,12.64,2.81,Stable,Stable
Tirunelveli,2005,2025,21,0.0467,0.407,2.2,9.37,1.8,Increasing,Moderate Increase
Tirupathur,2005,2025,21,0.0214,0.1,0.7,14.11,2.97,Stable,Stable
Tiruppur,2005,2025,21,0.018,0.055,0.45,12.3,2.54,Stable,Stable
Tiruvallur,2005,2025,21,0.0088,0.058,-0.47,11.21,2.55,Stable,Stable
Tiruvannamalai,2005,2025,21,0.0133,0.068,-0.18,12.79,2.91,Stable,Stable
Tiruvarur,2005,2025,21,0.0105,0.037,-0.39,11.51,2.72,Stable,Stable
Vellore,2005,2025,21,0.0122,0.046,-0.6,14.39,3.24,Stable,Stable
Viluppuram,2005,2025,21,0.0133,0.068,-0.18,12.79,2.91,Stable,Stable
Virudhunagar,2005,2025,21,0.0352,0.158,3.44,11.01,2.3,Increasing,Moderate Increase
