,Area,Production,Yield,AvgTemperature,MaxTemperature,MinTemperature,TotalRainfall,AvgRainfall,MaxRainfall,AvgHumidity,AvgWindSpeed,RainyDays,TemperatureStd,RainfallStd
Area,1.0,0.17,-0.06,0.1,0.05,0.06,0.1,0.1,0.11,0.07,0.09,0.02,0.05,0.12
Production,0.17,1.0,0.46,0.05,0.03,0.05,0.01,0.01,0.01,-0.02,-0.0,0.03,0.01,0.0
Yield,-0.06,0.46,1.0,0.04,-0.0,0.08,-0.02,-0.02,-0.03,-0.04,-0.0,0.05,-0.06,-0.05
AvgTemperature,0.1,0.05,0.04,1.0,0.62,0.78,-0.16,-0.16,0.16,-0.26,0.55,-0.39,0.08,0.07
MaxTemperature,0.05,0.03,-0.0,0.62,1.0,0.13,-0.32,-0.32,-0.05,-0.65,-0.07,-0.52,0.68,-0.13
MinTemperature,0.06,0.05,0.08,0.78,0.13,1.0,0.04,0.04,0.22,0.17,0.78,0.0,-0.48,0.15
TotalRainfall,0.1,0.01,-0.02,-0.16,-0.32,0.04,1.0,1.0,0.61,0.73,0.12,0.66,-0.18,0.86
AvgRainfall,0.1,0.01,-0.02,-0.16,-0.32,0.04,1.0,1.0,0.61,0.73,0.12,0.66,-0.18,0.85
MaxRainfall,0.11,0.01,-0.03,0.16,-0.05,0.22,0.61,0.61,1.0,0.44,0.27,0.2,-0.13,0.88
AvgHumidity,0.07,-0.02,-0.04,-0.26,-0.65,0.17,0.73,0.73,0.44,1.0,0.39,0.69,-0.58,0.57
AvgWindSpeed,0.09,-0.0,-0.0,0.55,-0.07,0.78,0.12,0.12,0.27,0.39,1.0,0.05,-0.5,0.22
RainyDays,0.02,0.03,0.05,-0.39,-0.52,0.0,0.66,0.66,0.2,0.69,0.05,1.0,-0.37,0.31
TemperatureStd,0.05,0.01,-0.06,0.08,0.68,-0.48,-0.18,-0.18,-0.13,-0.58,-0.5,-0.37,1.0,-0.1
RainfallStd,0.12,0.0,-0.05,0.07,-0.13,0.15,0.86,0.85,0.88,0.57,0.22,0.31,-0.1,1.0
