Rank,District,Total_Records,Total_Crops,Years,Seasons,Average_Area,Average_Production,Average_Yield,Maximum_Yield,Minimum_Yield,Avg_Temperature,Avg_Rainfall,Avg_Humidity
1,CHENNAI,1,1,1,1,27.0,116600.0,4318.52,4318.52,4318.52,28.36,1207.03,72.52
2,NILGIRIS,63,7,15,4,283.22,284785.67,1386.26,10675.0,1.17,23.48,968.73,72.79
3,THOOTHUKUDI,216,8,15,6,6760.44,4278449.0,1188.7,12279.45,0.22,28.0,937.69,72.82
4,TIRUVARUR,94,7,15,6,29212.55,4631739.61,1043.36,10791.67,0.29,28.24,1029.39,70.67
5,TIRUPPUR,109,8,11,5,4589.19,3490426.47,982.39,13454.72,0.28,27.29,691.65,65.38
6,NAGAPATTINAM,110,8,15,6,23059.92,3265278.32,840.27,10746.51,0.45,28.32,1074.66,75.1
7,ARIYALUR,130,8,11,6,5384.92,3713947.27,826.4,10464.89,0.25,28.35,984.27,70.16
8,THENI,160,8,15,6,3570.14,3462460.88,823.61,12051.78,0.24,23.9,1033.2,73.25
9,TIRUVALLUR,134,8,15,6,12145.57,4468182.4,792.38,10270.31,1.12,27.97,1246.35,72.23
10,CUDDALORE,160,8,15,6,17751.18,12448675.71,790.58,12142.79,0.16,28.24,1084.5,75.32
11,THANJAVUR,142,8,15,6,20157.88,6137891.78,769.05,10828.15,0.43,28.27,1015.53,70.52
12,RAMANATHAPURAM,125,8,15,4,16022.14,1129497.91,765.95,10812.05,0.05,28.35,909.47,71.85
13,PUDUKKOTTAI,148,8,15,6,11344.14,2982510.98,752.68,12255.55,1.19,28.18,812.64,68.07
14,KANCHIPURAM,143,8,15,6,11180.39,2524410.64,751.1,10678.98,1.0,27.96,1244.36,72.27
15,NAMAKKAL,161,8,15,6,6532.73,6361913.3,741.21,13847.48,0.21,27.55,741.63,66.55
16,ERODE,157,8,15,6,10760.24,9774833.48,740.13,12942.35,0.18,26.53,728.59,65.17
17,VILUPPURAM,161,8,15,6,26812.91,27574514.16,722.81,11753.02,0.21,27.87,1075.52,70.41
18,KARUR,150,8,15,5,2812.31,1451077.79,718.83,12700.0,0.26,27.54,745.54,66.61
19,KRISHNAGIRI,161,8,15,6,7961.14,1382571.04,689.93,10761.36,0.27,24.9,872.11,68.54
20,COIMBATORE,158,8,15,6,2710.68,1448504.56,686.51,10750.43,0.26,24.6,1156.87,75.08
21,TIRUCHIRAPPALLI,158,8,15,6,9497.92,3187905.09,665.22,9375.75,0.2,27.68,816.69,68.39
22,PERAMBALUR,155,8,15,6,9238.7,3697552.12,656.11,10200.0,0.26,27.68,818.91,68.41
23,SALEM,160,8,15,6,9836.92,4351326.71,645.61,9835.53,0.27,27.05,781.69,66.32
24,VELLORE,158,8,15,6,11270.37,3917468.44,642.0,9943.98,0.29,27.05,1047.08,69.79
25,VIRUDHUNAGAR,161,8,15,6,6425.78,1747531.18,635.2,10758.35,0.13,28.05,930.25,69.73
26,DINDIGUL,160,8,15,6,6162.62,2095401.83,633.49,11508.87,0.24,27.36,790.36,67.45
27,MADURAI,161,8,15,6,7031.85,2072959.33,631.98,9151.45,0.14,27.47,883.8,68.04
28,TIRUVANNAMALAI,161,8,15,6,20887.94,10071200.14,624.75,10300.0,0.28,27.87,1075.52,70.41
29,DHARMAPURI,160,8,15,6,7190.42,2779200.26,616.14,9156.84,0.27,25.94,845.78,67.6
30,TIRUNELVELI,160,8,15,6,9630.87,3055577.26,588.21,10600.0,0.17,25.95,1159.31,78.61
31,SIVAGANGAI,158,8,15,6,7992.56,1567082.87,569.88,9700.0,0.23,28.31,863.84,69.06
32,CHENGALPATTU,1,1,1,1,2.0,1100.0,550.0,550.0,550.0,28.34,1181.62,74.02
33,KANNIYAKUMARI,74,6,15,6,4138.95,1373782.61,393.7,3543.36,1.36,27.56,1191.47,79.99
