Feature,Importance
Year,0.5012505988856989
Crop,0.32011151962489826
Season,0.1131097009665784
Area,0.01810881594923924
District,0.014986441122221302
AvgRainfall,0.006725627912920241
MaxTemperature,0.00541824249662004
MaxRainfall,0.0037841490307095635
AvgWindSpeed,0.0033180641543459183
AvgTemperature,0.0029238818251586746
RainfallStd,0.0023210780776314996
TemperatureStd,0.002009512132720377
TotalRainfall,0.0016248930134387125
AvgHumidity,0.0014161871437386292
MinTemperature,0.0011021552283303324
Humidity_Category,0.0010206656307238783
RainyDays,0.0007375030529773041
Rainfall_Category,3.0963752048652995e-05
Temperature_Category,0.0
Wind_Category,0.0
