Feature,Importance
Year,0.493623478696256
Crop,0.3353601001225405
Season,0.09066290112766544
Area,0.019358608157965758
District,0.009621920932728062
AvgHumidity,0.006331429960748503
TotalRainfall,0.0055039324129546536
RainyDays,0.0054904487398032146
AvgWindSpeed,0.005331244853036854
AvgRainfall,0.005097983844182366
MaxTemperature,0.004208197075195532
AvgTemperature,0.0039679269308681734
RainfallStd,0.0039586722055909036
MinTemperature,0.0037885086695370416
TemperatureStd,0.003449428902462243
MaxRainfall,0.0033861126449337008
Rainfall_Category,0.000459306177530837
Wind_Category,0.00022705062566194043
Humidity_Category,0.00014452574655217712
Temperature_Category,2.822217378608097e-05
