Feature,Importance
Crop,0.59379137
Humidity_Category,0.064910285
Season,0.06255138
Wind_Category,0.043862205
Year,0.04341566
AvgWindSpeed,0.020251878
Area,0.019918077
District,0.019093683
MaxTemperature,0.01833749
AvgTemperature,0.01620671
AvgHumidity,0.014850443
TemperatureStd,0.014044759
RainyDays,0.01318554
RainfallStd,0.011167282
MinTemperature,0.010982811
MaxRainfall,0.010391573
TotalRainfall,0.010251374
AvgRainfall,0.006674902
Rainfall_Category,0.003963936
Temperature_Category,0.002148707
