District,Rows,Missing Values,Duplicate Rows,Invalid Temperature,Invalid Rainfall,Invalid Humidity,Invalid WindSpeed,Start Date,End Date,Minimum Temperature,Maximum Temperature,Maximum Rainfall,Status
Ariyalur,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,21.05,34.83,104.12,PASS
Chengalpattu,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,21.83,33.89,156.79,PASS
Chennai,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,21.38,35.26,187.88,PASS
Coimbatore,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,18.29,32.21,57.95,PASS
Cuddalore,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,23.09,32.73,135.18,PASS
Dharmapuri,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,17.6,35.56,154.37,PASS
Dindigul,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,19.24,35.47,111.92,PASS
Erode,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,18.9,35.24,82.37,PASS
Kallakurichi,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,19.07,35.27,84.37,PASS
Kanchipuram,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,21.38,35.26,187.88,PASS
Kanniyakumari,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,24.31,31.18,199.47,PASS
Karur,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,19.06,35.9,81.82,PASS
Krishnagiri,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,16.5,34.92,266.32,PASS
Madurai,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,19.91,35.19,105.44,PASS
Mayiladuthurai,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,21.05,34.83,104.12,PASS
Nagapattinam,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,22.97,32.44,134.66,PASS
Namakkal,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,19.06,35.9,81.82,PASS
Nilgiris,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,17.33,31.37,73.27,PASS
Perambalur,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,19.99,35.4,91.02,PASS
Pudukkottai,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,20.75,35.2,85.27,PASS
Ramanathapuram,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,22.12,33.68,79.03,PASS
Ranipet,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,18.88,36.01,130.99,PASS
Salem,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,18.5,35.88,86.18,PASS
Sivagangai,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,21.34,34.69,80.71,PASS
Tenkasi,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,19.9,33.27,212.91,PASS
Thanjavur,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,21.05,34.83,104.12,PASS
Theni,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,17.28,31.83,141.71,PASS
Thoothukudi,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,22.15,34.51,202.34,PASS
Tiruchirappalli,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,19.99,35.4,91.02,PASS
Tirunelveli,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,20.21,32.18,209.16,PASS
Tirupathur,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,17.73,35.81,91.01,PASS
Tiruppur,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,19.84,35.84,94.78,PASS
Tiruvallur,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,21.38,35.26,187.88,PASS
Tiruvannamalai,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,20.5,35.96,134.94,PASS
Tiruvarur,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,21.05,34.83,104.12,PASS
Vellore,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,18.88,36.01,130.99,PASS
Viluppuram,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,20.5,35.96,134.94,PASS
Virudhunagar,7670,0,0,0,0,0,0,2005-01-01,2025-12-31,21.34,35.31,106.75,PASS
